Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
ALFA ROMEO,147,1.6 (120 bhp),M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1681,74,0.131,0.048,0.023,,
ALFA ROMEO,147,2,M5,1970,Petrol,12.1,7,8.9,23.3,40.4,31.7,211,1824,74,0.364,0.055,0.06,,
ALFA ROMEO,147,1.9 JTDM,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,153,1266,72,0.138,,0.209,0.233,0.024
ALFA ROMEO,147,1.9 JTDM 16v,M6,1910,Diesel,8,4.7,5.9,35.3,60.1,47.9,157,1287,74,0.199,,0.216,0.262,0.024
ALFA ROMEO,GT,1.8 TS,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,1742,73,0.271,0.041,0.022,,
ALFA ROMEO,GT,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1779,73,0.512,0.066,0.064,,
ALFA ROMEO,GT,3.2 V6 24v,M6,3179,Petrol,18.6,8.7,12.4,15.2,32.5,22.8,295,2536,74,0.267,0.034,0.061,,
ALFA ROMEO,GT,1.9 JTDM 16v,M6,1910,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,165,1352,74.5,0.214,,0.221,0.276,0.024
ALFA ROMEO,159 (2008 Model Year),1.8 MPI,M5,1796,Petrol,10.3,6,7.6,27.4,47.1,37.2,179,1554,69,0.527,0.043,0.038,,
ALFA ROMEO,159 (2008 Model Year),2.2 JTS,M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1884,73,0.568,0.028,0.055,,
ALFA ROMEO,159 (2008 Model Year),3.2 JTS V6 Q4 (4x4),M6,3195,Petrol,16.7,8.3,11.4,16.9,34,24.8,270,2332,72,0.566,0.068,0.019,,
ALFA ROMEO,159 (2008 Model Year),3.2 JTS V6 Q4 (4x4) QTronic,A6,3195,Petrol,18.2,8.5,12.2,15.5,33.2,23.2,286,2492,71,0.358,0.078,0.046,,
ALFA ROMEO,159 (2008 Model Year),3.2 JTS V6 (4x2),M6,3195,Petrol,16.4,7.9,11,17.2,35.8,25.7,260,2250,75,0.305,0.047,0.042,,
ALFA ROMEO,159 (2008 Model Year),1.9 JTDM 16v,M6,1910,Diesel,7.9,4.8,5.9,35.8,58.9,47.9,157,1287,74,0.475,,0.22,0.268,0.003
ALFA ROMEO,159 (2008 Model Year),1.9 JTDM 16v QTronic,A6,1910,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,187,1549,74,0.052,,0.214,0.224,0.004
ALFA ROMEO,159 (2008 Model Year),2.4 JTDM ,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1485,74,0.192,,0.212,0.232,0.004
ALFA ROMEO,159 (2008 Model Year),2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1722,72,0.172,,0.21,0.237,0.004
ALFA ROMEO,159 (2008 Model Year),2.4 JTDM Q4 (4x4),M6,2387,Diesel,9.7,5.8,7.2,29.1,48.7,39.2,192,1573,74.5,0.131,,0.233,0.257,0.004
ALFA ROMEO,159 Sportwagon (2008 Model Year),1.8 MPI,M5,1796,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,183,1597,69,0.527,0.043,0.038,,
ALFA ROMEO,159 Sportwagon (2008 Model Year),2.2 JTS,M6,2198,Petrol,13,7.2,9.3,21.7,39.2,30.4,220,1902,73,0.568,0.028,0.055,,
ALFA ROMEO,159 Sportwagon (2008 Model Year),3.2 JTS V6 Q4 (4x4),M6,3195,Petrol,17,8.3,11.5,16.6,34,24.6,272,2351,72,0.566,0.068,0.019,,
ALFA ROMEO,159 Sportwagon (2008 Model Year),3.2 JTS V6 Q4 (4x4) QTronic,A6,3195,Petrol,18.3,8.6,12.2,15.4,32.8,23.2,288,2492,71,0.358,0.078,0.046,,
ALFA ROMEO,159 Sportwagon (2008 Model Year),3.2 JTS V6 (4x2),M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,2277,75,0.305,0.047,0.042,,
