Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
PEUGEOT,306,1.8 (112 bhp) Cabriolet,M5,1761,Petrol,11.9,6.6,8.5,23.7,42.8,33.2,198,616,III,73.2,0.265,,0.028,0.020,
PEUGEOT,307,1.4 (75 bhp),M5,1360,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,159,485,III,71.7,1.117,,0.096,0.025,
PEUGEOT,307,1.6 (110 bhp),M5,1587,Petrol,9.5,5.8,7.2,29.7,48.7,39.2,169,522,III,72.4,0.258,,0.059,0.042,
PEUGEOT,307,1.6 (110 bhp),A4,1587,Petrol,10.9,6.2,7.9,25.9,45.6,35.8,189,571,III,72.9,0.962,,0.114,0.118,
PEUGEOT,307,2.0 (138 bhp),M5,1997,Petrol,10.9,6.2,7.9,25.9,45.6,35.8,188,571,III,72.8,1.068,,0.164,0.127,
PEUGEOT,307,1.4 HDi (70 bhp),M5,1398,Diesel,5.5,4.0,4.5,51.3,70.5,62.7,120,339,III,71.8,0.264,0.397,,0.355,0.038
PEUGEOT,307,2.0 HDi (90 bhp),M5,1997,Diesel,6.9,4.3,5.2,40.9,65.7,54.3,138,392,III,72.8,0.542,0.416,,,0.025
PEUGEOT,307,2.0 HDi FAP (110 bhp),M5,1997,Diesel,7.0,4.2,5.2,40.4,67.3,54.1,138,393,III,74.0,0.100,0.370,0.030,0.339,0.003
PEUGEOT,406 Saloon,1.8 (116 bhp),M5,1749,Petrol,10.6,6.0,7.7,26.7,47.1,36.7,182,557,III,72.4,0.376,,0.061,0.066,
PEUGEOT,406 Saloon,2.0 (138 bhp),M5,1997,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,197,602,III,74.0,0.523,0.113,0.065,0.048,
PEUGEOT,406 Saloon,2.0 (138 bhp),A4,1997,Petrol,12.3,6.5,8.6,23.0,43.5,32.9,206,622,III,72.4,0.727,,0.198,0.137,
PEUGEOT,406 Saloon,2.2 (160 bhp),M5,2230,Petrol,12.8,6.5,8.8,22.1,43.5,32.1,210,637,III,73.5,1.106,,0.115,0.086,
PEUGEOT,406 Saloon,3.0 V6 (210 bhp),M5,2946,Petrol,13.7,7.2,9.6,20.6,39.2,29.4,229,696,III,74.0,0.126,0.090,0.053,0.037,
