Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 SE Multitronic (165 bhp),AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,750,IV,73,0.274,0,0.05,0.035,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 SE (165 bhp),M5,2393,Petrol,14,7.5,9.9,20.2,37.7,28.5,238,766,IV,72,0.229,0,0.047,0.036,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),QM5,2393,Petrol,15.2,8.3,10.9,18.6,34,25.9,262,843,IV,73,0.257,0,0.044,0.026,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6  Quattro SE Tiptronic (165 bhp),QA5,2393,Petrol,16.1,8.1,11.2,17.5,34.9,25.2,269,866,IV,73,0.184,0,0.049,0.037,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.8 V6 Sport & Quattro Models  (194 bhp),QM5,2771,Petrol,15.4,8.2,10.8,18.3,34.4,26.2,259,833,IV,72,0.332,0,0.042,0.032,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.8 V6 Sport & Quattro Models Tiptronic (194 bhp),QA5,2771,Petrol,16.8,8.6,11.6,16.8,32.8,24.4,278,894,IV,72,0.235,0,0.042,0.036,0
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",4.2 V8 Sport & Quattro Models (300 bhp),QA5,4172,Petrol,19.4,9.5,13.1,14.6,29.7,21.6,314,1010,IV,74,0.419,0,0.058,0.038,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T  & SE Multitronic Models (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,671,IV,72,0.496,0,0.053,0.04,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T & SE Models (150 bhp),M5,1781,Petrol,11.5,6.7,8.5,24.6,42.2,33.2,204,657,IV,72,0.35,0,0.032,0.037,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T Quattro & SE Models (150 bhp),QM5,1781,Petrol,12.7,7.5,9.5,22.2,37.7,29.7,228,735,IV,74,0.42,0,0.042,0.04,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 SE Multitronic (165 bhp),AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,750,IV,73,0.274,0,0.05,0.035,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 SE (165 bhp),M5,2393,Petrol,14.1,7.6,10,20,37.2,28.2,240,774,IV,72,0.229,0,0.047,0.036,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 Quattro SE Tiptronic (165 bhp),QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25,271,873,IV,73,0.184,0,0.049,0.037,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),QM5,2393,Petrol,15.3,8.4,11,18.5,33.6,25.7,264,849,IV,73,0.257,0,0.044,0.026,0
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.8 V6 Sport & Quattro Models Tiptronic (194 bhp),QA5,2771,Petrol,16.8,8.6,11.6,16.8,32.8,24.4,278,894,IV,72,0.235,0,0.042,0.036,0
