Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
ALFA ROMEO,147 Range,GTA,M6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,IV,74.0,0.4,,0.0,0.0,,27 March 2003,
ALFA ROMEO,156 Saloon (2003) Range,2.0 JTS,M5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.5,,0.1,0.1,,08 August 2003,
ALFA ROMEO,156 Saloon (2003) Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.5,,0.1,0.1,,08 August 2003,
ALFA ROMEO,156 Sportwagon (2003) Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.5,,0.1,0.1,,08 August 2003,
ALFA ROMEO,156 Sportwagon (2003) Range,2.0 JTS,M5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.5,,0.1,0.1,,08 August 2003,
ALFA ROMEO,GT Range,3.2 V6 24v,M6,3179,Petrol,18.6,8.7,12.4,15.2,32.5,22.8,295,861,IV,74.0,0.3,,0.0,0.1,,18 February 2004,
ALFA ROMEO,GT Range,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,604,IV,73.0,0.5,,0.1,0.1,,18 February 2004,
ALFA ROMEO,GT Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,604,IV,73.0,0.5,,0.1,0.1,,18 February 2004,
ALFA ROMEO,Spider/GTV (2003) Range,2.0 JTS,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,640,IV,72.5,0.3,,0.1,0.0,,08 August 2003,
ALFA ROMEO,166 (2004) Range,3.2 V6 24v,M6,3179,Petrol,18.3,9.1,12.5,15.4,31.0,22.6,297,869,IV,71.0,0.4,,0.1,0.1,,18 February 2004,
ASTON MARTIN LAGONDA,DB9,Coupe & Convertible,A6,5935,Petrol,24.9,11.7,16.5,11.3,24.1,17.1,394,1148,IV,74.0,0.5,,0.1,0.0,,25 February 2004,
AUDI,"A2 (Standard, SE & Sport)",1.4 TDI (75 PS),M5,1422,Diesel,5.7,3.6,4.4,49.6,78.5,64.2,119,319,IV,72.0,0.1,0.2,,0.2,0.0,06 August 2003,
AUDI,"A2 (Standard, SE & Sport)",1.4 (75 PS),M5,1390,Petrol,8.2,4.7,6.0,34.4,60.1,47.1,144,417,IV,71.0,0.2,,0.1,0.0,,20 March 2003,
AUDI,"A2 (Standard, SE & Sport)",1.4 SE (75 PS),M5,1390,Petrol,8.3,4.8,6.1,34.0,58.9,46.3,146,424,IV,71.0,0.3,,0.1,0.0,,30 May 2003,
AUDI,"A2 (Standard, SE & Sport)",1.6 FSI (110 PS),M5,1589,Petrol,8.2,4.8,6.0,34.4,58.9,47.1,144,417,IV,73.0,0.1,,0.1,0.0,,20 March 2003,
