Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI with DPF 215 Tyres at rear,M6,1992,Diesel,6.9,4.6,5.4,40.9,61.4,52.3,140,1179,73.0,0.259,,0.187,0.221,0.003,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI no DPF 195 Tyres at rear,CVT,1992,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,149,1243,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI no DPF 215 Tyres at rear 17'' Wheels,CVT,1992,Diesel,7.5,4.9,5.9,37.7,57.6,47.9,156,1287,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI no DPF 215 Tyres at rear 18'' Wheels,CVT,1992,Diesel,7.9,5.0,6.0,35.8,56.5,47.1,159,1309,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI with DPF 195 Tyres at rear,CVT,1992,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,149,1243,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI with DPF 215 Tyres at rear 17'' Wheels,CVT,1992,Diesel,7.5,4.9,5.9,37.7,57.6,47.9,156,1287,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,A-Class (169) Model Year 2009,A 200 CDI with DPF 215 Tyres at rear 18'' Wheels,CVT,1992,Diesel,7.9,5.0,6.0,35.8,56.5,47.1,159,1309,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 15"" rear wheels",CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,1179,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 15"" rear wheels",M5,1991,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,118,982,70.0,0.245,,0.195,0.227,0.002,
MERCEDES-BENZ,A-Class Model Year 2010,"A 160 CDI with 15"" rear wheels No DPF",CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,1179,71.0,0.040,,0.216,0.228,0.020,
