Manufacturer,Model,Description,Transmission,Transmission type,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Electric range (Km),Electric range (miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost of driving 12000 Miles (£s),Electricity cost of driving 12000 Miles (£s),Total costs 12000 miles (£s),Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [mg/km],Euro Standard,Booklet,VED Band
ABARTH,500,595 and 595C,Automatic,SAT5,1368,Petrol,,,,,8.4,5.4,6.5,33.6,52.3,43.5,151,"£1,731.00",,"£1,731.00",73.5,439,33,36,,,5,August 2013,G
ABARTH,500,595 and 595C,Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,"£1,731.00",,"£1,731.00",74.0,222,35,19,,,5,August 2013,G
ABARTH,500,Abarth 500 and 500C,Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,"£1,731.00",,"£1,731.00",74.0,222,35,36,,,5,August 2013,G
ABARTH,500,Abarth 500 and 500C ,Automatic,SAT5,1368,Petrol,,,,,8.4,5.4,6.5,33.6,52.3,43.5,151,"£1,731.00",,"£1,731.00",73.0,445,25,22,,,5,August 2013,G
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,Manual,M6,1368,Petrol,,,,,8.0,5.0,6.1,35.3,56.5,46.3,142,"£1,626.00",,"£1,626.00",71.5,378,44,23,,,5,August 2013,F
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,Manual,M6,1368,Petrol,,,,,8.4,5.3,6.4,33.6,53.3,44.1,149,"£1,707.00",,"£1,707.00",73.0,356,30,26,,,5,August 2013,F
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,Manual,M6,1368,Petrol,,,,,7.8,4.6,5.8,36.2,61.4,48.7,134,"£1,546.00",,"£1,546.00",72.5,276,48,29,,,5,August 2013,E
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,Automatic,SAT6,1368,Petrol,,,,,6.7,4.3,5.2,42.2,65.7,54.3,121,"£1,386.00",,"£1,386.00",70.5,440,37,30,,,5,August 2013,D
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp,Manual,M6,1598,Diesel,,,,,5.5,3.7,4.4,51.4,76.3,64.2,114,"£1,232.00",,"£1,232.00",74.0,215,,173,207,0.8,5,August 2013,C
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,Manual,M6,1742,Petrol,,,,,10.8,5.8,7.6,26.2,48.7,37.2,177,"£2,024.00",,"£2,024.00",74.0,375,49,22,,,5,August 2013,I
ALFA ROMEO,Giulietta,2.0 JTDm-2 140 bhp,Manual,M6,1956,Diesel,,,,,5.6,3.9,4.5,50.4,72.4,62.8,119,"£1,260.00",,"£1,260.00",72.5,389,,161,216,0.5,5,August 2013,C
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp ,Manual,M6,1956,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,"£1,316.00",,"£1,316.00",74.5,152,,158,201,0.8,5,August 2013,D
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp Alfa TCT,Automatic,SAT6,1956,Diesel,,,,,5.3,4.0,4.5,53.3,70.6,62.8,119,"£1,260.00",,"£1,260.00",72.5,182,,160,186,0.6,5,August 2013,C
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,Manual,M5,1248,Diesel,,,,,4.4,2.9,3.5,64.2,97.4,80.7,90,£980.00,,£980.00,73.0,393,,167,194,0.5,5,August 2013,A
ALFA ROMEO,MiTo,1.4 8v 78 bhp,Manual,M5,1368,Petrol,,,,,7.3,4.6,5.6,38.7,61.4,50.4,130,"£1,494.00",,"£1,494.00",73.0,337,48,37,,,5,August 2013,D
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,Manual,M6,1368,Petrol,,,,,7.5,4.7,5.7,37.7,60.1,49.6,134,"£1,518.00",,"£1,518.00",72.5,192,49,40,,,5,August 2013,E
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp,Manual,M5,1368,Petrol,,,,,7.3,4.4,5.5,38.7,64.2,51.4,128,"£1,465.00",,"£1,465.00",71.5,519,52,32,,,5,August 2013,D
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp Alfa TCT,Automatic,SAT6,1368,Petrol,,,,,7.1,4.5,5.5,39.8,62.8,51.4,126,"£1,465.00",,"£1,465.00",72.5,255,21,24,,,5,August 2013,D
ALFA ROMEO,MiTo,1.4 TB MultiAir 170 bhp,Manual,M6,1368,Petrol,,,,,8.1,4.8,6.0,34.9,58.9,47.1,139,"£1,598.00",,"£1,598.00",73.5,254,20,24,,,5,August 2013,E
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp,Manual,M6,1598,Diesel,,,,,5.3,3.8,4.4,53.3,74.3,64.2,114,"£1,232.00",,"£1,232.00",73.0,389,,155,216,0.3,5,August 2013,C
ALFA ROMEO,MiTo,875cc TB TwinAir 85 bhp,Manual,M6,875,Petrol,,,,,4.9,3.8,4.2,57.6,74.3,67.3,98,"£1,119.00",,"£1,119.00",74.0,528,49,37,,,5,August 2013,A
ASTON MARTIN LAGONDA,"Cygnet, MY2011",Hatchback,Manual,6MT,1329,Petrol,,,,,5.8,4.5,5.0,48.7,62.8,56.5,116,"£1,332.00",,"£1,332.00",69.5,296,34,20,,,5,August 2013,C
ASTON MARTIN LAGONDA,"Cygnet, MY2011",Hatchback,Automatic,CVT,1329,Petrol,,,,,6.1,4.6,5.2,46.3,61.4,54.3,120,"£1,386.00",,"£1,386.00",67.3,213,40,6,,,5,August 2013,C
ASTON MARTIN LAGONDA,"DB9, Model Year 2010",Coupé & Convertible March 2010 onwards,Automatic,A6,5935,Petrol,,,,,22.3,10.2,14.6,12.7,27.7,19.3,345,"£3,901.00",,"£3,901.00",73.0,547,66,9,,,5,August 2013,M
ASTON MARTIN LAGONDA,"DB9, Model Year 2010",Coupé & Convertible March 2010 onwards,Manual,M6,5935,Petrol,,,,,24.6,11.7,16.4,11.5,24.1,17.2,389,"£4,377.00",,"£4,377.00",75.0,231,32,6,,,5,August 2013,M
ASTON MARTIN LAGONDA,"DB9, MY2013 onwards",Coupé & Convertible,Automatic,A6,5935,Petrol,,,,,21.6,10.0,14.3,13.1,28.3,19.8,333,"£3,802.00",,"£3,802.00",72.0,187,41,29,,,5,August 2013,M
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,Automatic,A6,5935,Petrol,,,,,24.2,10.5,15.5,11.7,26.9,18.2,367,"£4,136.00",,"£4,136.00",74.0,577,61,11,,,5,August 2013,M
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,Manual,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£4,377.00",,"£4,377.00",75.0,325,32,12,,,5,August 2013,M
ASTON MARTIN LAGONDA,"Rapide S, From Feb 2013",4 door Sports,Automatic,A6,5935,Petrol,,,,,21.4,10.1,14.3,13.2,28.0,19.9,332,"£3,783.00",,"£3,783.00",73.0,251,35,30,,,5,August 2013,M
ASTON MARTIN LAGONDA,"Rapide, Model Year 2010",4 Door Sports March 2010 onwards,Automatic,A6,5935,Petrol,,,,,22.6,10.4,14.9,12.5,27.2,19.0,355,"£3,962.00",,"£3,962.00",74.0,543,53,15,,,5,August 2013,M
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback from Mar 2010,Manual,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£4,377.00",,"£4,377.00",75.0,326,31,13,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V12 Vantage Roadster, From August 2012",Roadster,Manual,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£4,377.00",,"£4,377.00",75.0,326,31,13,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V12 Vantage, MY2013",Hatchback and Roadster,Manual,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.3,388,"£4,352.00",,"£4,352.00",75.0,326,31,13,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage MY2012, December 2011 onwards",Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£3,438.00",,"£3,438.00",73.0,529,44,14,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage S, 2011MY",Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£3,438.00",,"£3,438.00",74.0,529,44,14,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage S, MY2013 onwards",Coupé & Convertible,Manual,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£3,672.00",,"£3,672.00",75.0,588,50,37,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage S, MY2013 onwards",Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£3,438.00",,"£3,438.00",74.0,529,44,14,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible,Manual,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£3,672.00",,"£3,672.00",75.0,588,50,37,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (ASM6),Automatic,ASM  ,4735,Petrol,,,,,18.3,9.3,12.6,15.4,30.4,22.4,295,"£3,361.00",,"£3,361.00",74.0,403,55,23,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (Sports Muffler),Manual,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£3,672.00",,"£3,672.00",75.0,588,50,37,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (Sports Muffler/ASM6)  ,Automatic,ASM  ,4735,Petrol,,,,,18.3,9.3,12.6,15.4,30.4,22.4,295,"£3,361.00",,"£3,361.00",72.0,403,55,23,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2013 onwards",Coupé & Convertible,Manual,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£3,672.00",,"£3,672.00",75.0,588,50,37,,,5,August 2013,M
ASTON MARTIN LAGONDA,"V8 Vantage, MY2013 onwards",Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£3,438.00",,"£3,438.00",73.0,529,44,14,,,5,August 2013,M
ASTON MARTIN LAGONDA,"Vanquish, MY2013 onwards",Coupé,Automatic,A6,5935,Petrol,,,,,21.4,10.2,14.4,13.2,27.7,19.6,335,"£3,841.00",,"£3,841.00",72.0,619,39,37,,,5,August 2013,M
ASTON MARTIN LAGONDA,"Virage, MY2012",Coupé & Convertible,Automatic,A6,5935,Petrol,,,,,22.3,10.8,15.0,12.7,26.2,18.8,349,"£4,004.00",,"£4,004.00",74.0,574,61,11,,,5,August 2013,M
ASTON MARTIN LAGONDA,"Zagato, from August 2012",Coupé,Manual,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£4,377.00",,"£4,377.00",75.0,326,31,13,,,5,August 2013,M
AUDI,A1,1.2 TFSI 86PS Stop-Start,Manual,M5,1197,Petrol,,,,,6.2,4.4,5.1,45.6,64.2,55.4,118,"£1,359.00",,"£1,359.00",72.0,664,42,39,,,5,August 2013,C
AUDI,A1,1.4 TFSI 122PS Stop-Start,Manual,M6,1390,Petrol,,,,,6.8,4.4,5.3,41.5,64.2,53.3,124,"£1,412.00",,"£1,412.00",72.0,328,38,31,,,5,August 2013,D
AUDI,A1,1.4 TFSI S line 122PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,122,"£1,412.00",,"£1,412.00",71.0,411,42,34,,,5,August 2013,D
AUDI,A1,1.4 TFSI S line 185PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,572.00",,"£1,572.00",72.0,229,43,35,,,5,August 2013,E
AUDI,A1,1.4 TFSI Sport 122PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,,,,,6.5,4.4,5.2,43.5,64.2,54.3,119,"£1,386.00",,"£1,386.00",71.0,411,42,34,,,5,August 2013,C
AUDI,A1,1.6 TDI 105PS Stop-Start ,Manual,M5,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,"£1,065.00",,"£1,065.00",71.0,310,,118,156,0,5,August 2013,A
AUDI,A1,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,108,"£1,148.00",,"£1,148.00",74.0,224,,139,171,0.2,5,August 2013,B
AUDI,A1,2.0 TFSI quattro 256PS,Manual,QM6,1984,Petrol,,,,,11.7,6.8,8.6,24.1,41.5,32.8,152,"£2,295.00",,"£2,295.00",72.0,229,36,28,,,5,August 2013,G
AUDI,A1 Sportback,1.2 TFSI 86PS Stop-Start,Manual,M5,1197,Petrol,,,,,6.2,4.4,5.1,45.6,64.2,55.4,118,"£1,359.00",,"£1,359.00",72.0,664,42,39,,,5,August 2013,C
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start,Manual,M6,1390,Petrol,,,,,6.9,4.6,5.4,40.9,61.4,52.3,126,"£1,439.00",,"£1,439.00",72.0,328,38,31,,,5,August 2013,D
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start 7speed S-Tronic,Automatic,D7,1390,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,122,"£1,412.00",,"£1,412.00",71.0,411,42,34,,,5,August 2013,D
AUDI,A1 Sportback,1.4 TFSI 185PS Stop-Start 7speed S-Tronic,Automatic,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,572.00",,"£1,572.00",72.0,229,43,35,,,5,August 2013,E
AUDI,A1 Sportback,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,"£1,065.00",,"£1,065.00",71.0,310,,118,156,0,5,August 2013,A
AUDI,A1 Sportback,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,108,"£1,148.00",,"£1,148.00",72.0,224,,139,171,0,5,August 2013,B
AUDI,A3,1.2 TFSI 105PS 7speed S-Tronic with Stop-Start,Automatic,D7,1197,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,123,"£1,412.00",,"£1,412.00",70.0,465,25,21,,,5,August 2013,D
AUDI,A3,1.2 TFSI 105PS with Stop-Start,Manual,M6,1197,Petrol,,,,,6.7,4.7,5.5,42.2,60.1,51.4,127,"£1,465.00",,"£1,465.00",71.0,399,35,30,,,5,August 2013,D
AUDI,A3,1.4 TFSI 125PS 7speed S-Tronic with Stop-Start,Automatic,D7,1390,Petrol,,,,,6.4,4.7,5.3,44.1,60.1,53.3,124,"£1,412.00",,"£1,412.00",70.0,409,48,45,,,5,August 2013,D
AUDI,A3,1.4 TFSI 125PS Stop-Start,Manual,M6,1390,Petrol,,,,,7.3,4.8,5.7,38.7,58.9,49.6,132,"£1,518.00",,"£1,518.00",73.0,239,25,22,,,5,August 2013,E
AUDI,A3,1.6 TDI 105PS Stop Start 7speed S-Tronic,Automatic,D7,1598,Diesel,,,,,4.5,3.9,4.2,62.8,72.4,67.3,109,"£1,175.00",,"£1,175.00",69.0,113,,122,140,0.1,5,August 2013,B
AUDI,A3,1.6 TDI 105PS with Stop-Start,Manual,M5,1598,Diesel,,,,,5.0,3.7,4.1,56.5,76.3,68.9,109,"£1,148.00",,"£1,148.00",72.0,252,,158,183,0,5,August 2013,B
AUDI,A3,1.8 TFSI 160PS,Manual,M6,1798,Petrol,,,,,8.7,5.3,6.6,32.5,53.3,42.8,152,"£1,759.00",,"£1,759.00",74.0,618,71,57,,,5,August 2013,G
AUDI,A3,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,,,,,8.5,5.2,6.5,33.2,54.3,43.5,149,"£1,731.00",,"£1,731.00",73.0,459,49,38,,,5,August 2013,F
AUDI,A3,2.0 TDI 140PS S-Tronic ,Automatic,D6,1968,Diesel,,,,,5.8,4.4,4.9,48.7,64.2,57.6,129,"£1,373.00",,"£1,373.00",73.0,151,,105,126,0.1,5,August 2013,D
AUDI,A3,2.0 TDI 140PS with Stop-Start,Manual,M6,1968,Diesel,,,,,5.5,3.8,4.4,51.4,74.3,64.2,115,"£1,232.00",,"£1,232.00",75.0,276,,127,160,0,5,August 2013,C
AUDI,A3,2.0 TDI 170PS with Stop-Start ,Manual,M6,1968,Diesel,,,,,5.7,4.2,4.7,49.6,67.3,60.1,123,"£1,316.00",,"£1,316.00",72.0,353,,120,166,0,5,August 2013,D
AUDI,A3,2.0 TFSI 200PS quattro S-Tronic,Automatic,QD6,1984,Petrol,,,,,9.9,6.1,7.5,28.5,46.3,37.7,174,"£1,997.00",,"£1,997.00",71.0,327,44,36,,,5,August 2013,H
AUDI,A3,S3 2.0 TFSI 265PS quattro ,Manual,QM6,1984,Petrol,,,,,11.8,6.6,8.5,23.9,42.8,33.2,198,"£2,268.00",,"£2,268.00",75.0,270,33,26,,,5,August 2013,J
AUDI,A3,S3 2.0 TFSI 265PS quattro S-Tronic,Automatic,QD6,1984,Petrol,,,,,11.1,6.7,8.3,25.4,42.2,34.0,193,"£2,214.00",,"£2,214.00",72.0,263,41,34,,,5,August 2013,J
AUDI,A3 Cabriolet,1.2 TFSI 105PS ,Manual,M6,1197,Petrol,,,,,7.0,5.0,5.7,40.4,56.5,49.6,132,"£1,518.00",,"£1,518.00",71.0,433,34,30,,,5,August 2013,E
AUDI,A3 Cabriolet,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,,,,,5.2,3.9,4.3,54.3,72.4,65.7,114,"£1,204.00",,"£1,204.00",72.0,245,,155,180,0.1,5,August 2013,C
AUDI,A3 Cabriolet,1.8 TFSI 160PS,Manual,M6,1798,Petrol,,,,,8.9,5.5,6.7,31.7,51.4,42.2,156,"£1,784.00",,"£1,784.00",74.0,618,71,57,,,5,August 2013,G
AUDI,A3 Cabriolet,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,,,,,8.7,5.4,6.6,32.5,52.3,42.8,154,"£1,759.00",,"£1,759.00",73.0,571,62,50,,,5,August 2013,G
AUDI,A3 Cabriolet,2.0 TDI 140PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.7,3.9,4.6,49.6,72.4,61.4,119,"£1,288.00",,"£1,288.00",75.0,235,,130,158,0.1,5,August 2013,C
AUDI,A3 Cabriolet,2.0 TDI 140PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,,,,,6.0,4.6,5.1,47.1,61.4,55.4,134,"£1,428.00",,"£1,428.00",73.0,199,,121,153,0,5,August 2013,E
AUDI,A3 Cabriolet,2.0 TFSI 200PS,Manual,M6,1984,Petrol,,,,,10.0,5.6,7.2,28.2,50.4,39.2,169,"£1,920.00",,"£1,920.00",73.0,587,60,48,,,5,August 2013,H
AUDI,A3 Cabriolet,2.0 TFSI 200PS S-Tronic,Automatic,D6,1984,Petrol,,,,,9.9,5.9,7.4,28.5,47.9,38.2,171,"£1,971.00",,"£1,971.00",71.0,311,49,38,,,5,August 2013,H
AUDI,A3 Sportback,1.2 TFSI 105PS 7speed S-Tronic Stop-Start,Automatic,D7,1197,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,123,"£1,412.00",,"£1,412.00",70.0,465,25,21,,,5,August 2013,D
AUDI,A3 Sportback,1.2 TFSI 105PS with Stop-Start,Manual,M6,1197,Petrol,,,,,6.7,4.7,5.5,42.2,60.1,51.4,127,"£1,465.00",,"£1,465.00",71.0,399,35,30,,,5,August 2013,D
AUDI,A3 Sportback,1.4 TFSI 125PS Stop-Start,Manual,M6,1390,Petrol,,,,,7.3,4.9,5.8,38.7,57.6,48.7,134,"£1,546.00",,"£1,546.00",73.0,187,25,23,,,5,August 2013,E
AUDI,A3 Sportback,1.4 TSI 125PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,,,,,6.6,4.8,5.5,42.8,58.9,51.4,127,"£1,465.00",,"£1,465.00",70.0,409,48,45,,,5,August 2013,D
AUDI,A3 Sportback,1.6 102PS,Manual,M5,1595,Petrol,,,,,9.4,5.6,7.0,30.1,50.4,40.4,164,"£1,863.00",,"£1,863.00",70.0,430,44,29,,,5,August 2013,G
AUDI,A3 Sportback,1.6 TDI 105PS 7speed S-Tronic Stop-Start,Automatic,D7,1598,Diesel,,,,,4.9,3.9,4.3,57.6,72.4,65.7,112,"£1,204.00",,"£1,204.00",69.0,113,,122,140,0.1,5,August 2013,C
AUDI,A3 Sportback,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,,,,,5.0,3.7,4.1,56.5,76.3,68.9,109,"£1,148.00",,"£1,148.00",72.0,252,,158,183,0.4,5,August 2013,B
AUDI,A3 Sportback,1.8 TFSI 160PS,Manual,M6,1798,Petrol,,,,,8.7,5.3,6.6,32.5,53.3,42.8,153,"£1,759.00",,"£1,759.00",74.0,678,71,57,,,5,August 2013,G
AUDI,A3 Sportback,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,,,,,8.5,5.2,6.5,33.2,54.3,43.5,149,"£1,731.00",,"£1,731.00",73.0,459,49,38,,,5,August 2013,F
AUDI,A3 Sportback,2.0 TDI 140PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.5,3.8,4.4,51.4,74.3,64.2,115,"£1,232.00",,"£1,232.00",75.0,276,,127,160,0.1,5,August 2013,C
AUDI,A3 Sportback,2.0 TDI 140PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,,,,,5.8,4.4,4.9,48.7,64.2,57.6,129,"£1,373.00",,"£1,373.00",73.0,151,,105,126,0.3,5,August 2013,D
AUDI,A3 Sportback,2.0 TDI 170PS quattro Stop-Start,Manual,QM6,1968,Diesel,,,,,6.2,4.7,5.3,45.6,60.1,53.3,139,"£1,484.00",,"£1,484.00",73.0,241,,120,160,0.1,5,August 2013,E
AUDI,A3 Sportback,2.0 TDI 170PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.7,4.2,4.7,49.6,67.3,60.1,123,"£1,316.00",,"£1,316.00",72.0,353,,120,166,0.6,5,August 2013,D
AUDI,A3 Sportback,2.0 TDI 170PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,,,,,5.6,4.6,5.0,50.4,61.4,56.5,130,"£1,400.00",,"£1,400.00",69.0,179,,135,162,0.1,5,August 2013,D
AUDI,A3 Sportback,2.0 TFSI 200PS,Manual,M6,1984,Petrol,,,,,9.9,5.6,7.2,28.5,50.4,39.2,168,"£1,920.00",,"£1,920.00",71.0,235,37,29,,,5,August 2013,H
AUDI,A3 Sportback,2.0 TFSI 200PS quattro S-Tronic,Automatic,QD6,1984,Petrol,,,,,10.0,6.2,7.6,28.2,45.6,37.2,176,"£2,024.00",,"£2,024.00",71.0,327,44,36,,,5,August 2013,I
AUDI,A3 Sportback,2.0 TFSI 200PS S-Tronic,Automatic,D6,1984,Petrol,,,,,9.8,5.7,7.2,28.8,49.6,39.2,168,"£1,920.00",,"£1,920.00",71.0,327,44,36,,,5,August 2013,H
AUDI,A3 Sportback,RS3 2.5 TFSI quattro 340PS 7speed S-Tronic,Automatic,QD7,2480,Petrol,,,,,13.1,6.8,9.1,21.6,41.5,31.0,212,"£2,428.00",,"£2,428.00",71.0,444,33,29,,,5,August 2013,K
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro ,Manual,QM6,1984,Petrol,,,,,11.8,6.7,8.5,23.9,42.2,33.2,199,"£2,268.00",,"£2,268.00",75.0,229,36,28,,,5,August 2013,J
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro S-Tronic,Automatic,QD6,1984,Petrol,,,,,11.2,6.8,8.4,25.2,41.5,33.6,195,"£2,241.00",,"£2,241.00",72.0,266,43,35,,,5,August 2013,J
AUDI,A4 Allroad,2.0 TDI quattro 177PS 7speed S-Tronic Stop-Start,Automatic,QD7,1968,Diesel,,,,,7.0,5.4,6.0,40.4,52.3,47.1,156,"£1,679.00",,"£1,679.00",71.0,124,,150,170,0.2,5,August 2013,G
AUDI,A4 Allroad,2.0 TDI quattro 177PS Stop-Start,Manual,QM6,1968,Diesel,,,,,6.9,5.3,5.8,40.9,53.3,48.7,153,"£1,624.00",,"£1,624.00",73.0,135,,147,168,0,5,August 2013,G
AUDI,A4 Allroad,2.0 TFSI quattro 211PS 7speed S-Tronic Stop-Start,Automatic,QD7,1984,Petrol,,,,,9.0,6.3,7.3,31.4,44.8,38.7,170,"£1,945.00",,"£1,945.00",72.0,547,54,46,,,5,August 2013,H
AUDI,A4 Allroad,2.0 TFSI quattro 211PS Stop-Start,Manual,QM6,1984,Petrol,,,,,9.1,6.1,7.2,31.0,46.3,39.2,169,"£1,920.00",,"£1,920.00",74.0,279,38,34,,,5,August 2013,H
AUDI,A4 Allroad,3.0 V6 TDI quattro 245PS 7speed S-Tronic Stop-Start ,Automatic,QD7,2967,Diesel,,,,,7.2,5.5,6.2,39.2,51.4,45.6,161,"£1,735.00",,"£1,735.00",70.0,389,,144,175,0.3,5,August 2013,G
AUDI,A4 Avant,1.8 TFSI 120PS Stop-Start,Manual,M6,1798,Petrol,,,,,8.6,5.5,6.6,32.8,51.4,42.8,154,"£1,759.00",,"£1,759.00",73.0,385,45,39,,,5,August 2013,G
AUDI,A4 Avant,1.8 TFSI 170PS Multitronic Stop-Start,Automatic,AV,1798,Petrol,,,,,7.0,5.4,6.0,40.4,52.3,47.1,139,"£1,598.00",,"£1,598.00",70.0,260,49,42,,,5,August 2013,E
AUDI,A4 Avant,1.8 TFSI 170PS Stop-Start,Manual,M6,1798,Petrol,,,,,7.7,5.2,6.1,36.7,54.3,46.3,141,"£1,626.00",,"£1,626.00",71.0,399,50,42,,,5,August 2013,F
AUDI,A4 Avant,2.0 TDI 143PS Multitronic Stop-Start,Automatic,AV,1968,Diesel,,,,,5.6,4.5,4.9,50.4,62.8,57.6,129,"£1,373.00",,"£1,373.00",70.0,103,,142,158,0,5,August 2013,D
AUDI,A4 Avant,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,316.00",,"£1,316.00",70.0,144,,138,156,0.2,5,August 2013,D
AUDI,A4 Avant,2.0 TDI 177PS Multitronic Stop-Start,Automatic,AV,1968,Diesel,,,,,5.6,4.5,4.9,50.4,62.8,57.6,129,"£1,373.00",,"£1,373.00",71.0,103,,142,158,0,5,August 2013,D
AUDI,A4 Avant,2.0 TDI 177PS Stop-Start,Manual,M6,1968,Diesel,,,,,5.7,4.3,4.8,49.6,65.7,58.9,129,"£1,343.00",,"£1,343.00",71.0,185,,133,163,0,5,August 2013,D
AUDI,A4 Avant,2.0 TDI quattro 177PS Stop-Start,Manual,QM6,1968,Diesel,,,,,6.3,4.7,5.3,44.8,60.1,53.3,139,"£1,484.00",,"£1,484.00",71.0,207,,143,174,0,5,August 2013,E
