Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
AUDI,A3,1.4 TFSI 125ps 7speed DSG,D7,1390,Petrol,7.4,4.7,5.7,38.2,60.1,49.6,133,1232,70.0,588.2,52.2,45.9,,,
AUDI,A3,2.0 TDI 140ps DPF,M6,1968,Diesel,6.6,4.3,5.1,42.8,65.7,55.4,134,1113,74.0,177.2,,121.6,145.5,0.310,
AUDI,A3 Sportback,2.0 TDI 140ps DPF,M6,1968,Diesel,6.6,4.3,5.1,42.8,65.7,55.4,134,1113,72.0,177.2,,121.6,145.5,0.310,
AUDI,A4 Saloon,2.0 TDI 143ps with Stop-Start,M6,1968,Diesel,6.5,4.3,5.1,43.5,65.7,55.4,134,1113,72.0,316.6,,143.8,176.2,0.200,
AUDI,A4 Saloon,2.0 CR TDI 170ps with Stop-Start,M6,1968,Diesel,6.2,4.4,5.1,45.6,64.2,55.4,134,1113,73.0,217.2,,129.9,157.6,0.060,
AUDI,A4 Avant,2.0 TDI 120ps with Stop-Start,M6,1968,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,134,1113,73.0,217.8,,152.7,176.9,1.000,
AUDI,A5 Coupé,2.0 CR TDI 170ps with Stop-Start,M6,1968,Diesel,6.2,4.4,5.1,45.6,64.2,55.4,134,1113,73.0,217.8,,129.9,157.6,0.600,
AUDI,A5 Sportback,2.0 TDI 170ps with Stop-Start,M6,1968,Diesel,6.5,4.5,5.2,43.5,62.8,54.3,137,1135,74.0,248.6,,149.8,177.0,0.070,
AUDI,A3 Sportback,1.4 TFSI 125ps 7speed DSG S-tronic,D7,1390,Petrol,7.6,4.9,5.9,37.2,57.6,47.9,137,1276,70.0,588.6,52.2,45.9,,,
AUDI,A3,2.0 CR TDI 170ps with DPF,M6,1968,Diesel,6.9,4.2,5.2,40.9,67.3,54.3,139,1135,72.0,311.8,,138.8,183.5,0.700,
AUDI,A3 Sportback,2.0 CR TDI 170ps with DPF,M6,1968,Diesel,6.9,4.2,5.2,40.9,67.3,45.3,139,1361,72.0,311.8,,138.8,183.5,0.700,
AUDI,A3 Cabriolet,2.0 TDI 140ps with DPF,M6,1968,Diesel,6.7,4.4,5.3,42.2,64.2,53.3,139,1157,73.0,157.1,,136.1,157.3,1.190,
AUDI,A4 Avant,2.0 TDI 143ps with Stop-Start,M6,1968,Diesel,6.6,4.5,5.3,42.8,62.8,53.3,139,1157,72.0,263.3,,153.8,182.8,0.500,
AUDI,A6 Saloon,2.0 CR TDIe 136ps ,M6,1968,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,139,1157,72.0,267.6,,153.3,189.4,0.600,
AUDI,A6 Avant,2.0 CR TDIe 136ps,M6,1968,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,139,1157,72.0,268.0,,153.0,189.0,0.600,
AUDI,TT Coupé,2.0 TDI quattro 170ps,QM6,1984,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,139,1157,73.0,358.8,,144.9,182.2,0.170,
AUDI,A3,1.4 TFSI 125ps,M6,1390,Petrol,8.0,4.8,6.0,35.3,58.9,47.1,139,1297,73.0,357.2,37.9,34.1,,,
AUDI,A3,2.0 TDI 140ps S-tronic with DPF,D6,1968,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,1179,70.0,66.8,,142.5,158.2,0.250,
AUDI,A3 Sportback,2.0 TDI 140ps S-tronic with DPF,D6,1968,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,1179,69.0,66.8,,142.5,158.2,0.250,
AUDI,A3 Sportback,1.4 TFSI 125ps ,M6,1390,Petrol,8.2,4.9,6.1,34.4,57.6,46.3,143,1320,73.0,357.5,37.9,34.1,,,
AUDI,A4 Avant,2.0 TDI 170ps with Stop-Start,M6,1968,Diesel,6.7,4.7,5.5,42.2,60.1,51.4,144,1199,73.0,181.1,,148.0,172.3,0.320,
AUDI,TT Roadster,2.0 TDI quattro 170ps,QM6,1984,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,144,1199,73.0,364.1,,143.7,180.3,0.230,
AUDI,A3,2.0 CR TDI 170ps S-tronic with DPF,D6,1968,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1223,69.0,179.2,,145.8,169.9,0.200,
AUDI,A5 Cabriolet,2.0 CR TDI 170ps,M6,1968,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,1223,73.0,181.0,,148.0,172.3,0.320,
AUDI,A3,2.0 TDI 170ps quattro ,QM6,1968,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,148,1223,73.0,343.1,,147.7,176.7,0.500,
AUDI,A3 Sportback,2.0 TDI 170ps quattro with DPF,QM6,1968,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,148,1223,73.0,343.1,,147.6,176.7,0.500,
AUDI,A3 Cabriolet,2.0 TDI 140ps S-tronic with DPF,D6,1968,Diesel,7.7,4.4,5.6,36.7,64.3,50.4,148,1223,69.0,65.5,,144.2,159.2,0.340,
AUDI,A3 Sportback,2.0 CR TDI 170ps S-tronic with DPF,D6,1968,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,149,1243,69.0,179.2,,145.8,169.9,0.200,
AUDI,A4 Saloon,2.0 TDI 143ps Multitronic,AV,1968,Diesel,7.3,4.8,5.7,38.7,58.9,49.6,149,1243,72.0,100.2,,110.3,122.2,0.700,
AUDI,A4 Saloon,2.0 CR TDI quattro 170ps with Stop-Start,QM6,1968,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,149,1243,73.0,239.3,,123.6,158.5,0.170,
AUDI,A5 Coupé,2.0 CR TDI quattro 170ps with Stop-Start,QM6,1968,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,149,1243,73.0,239.3,,123.6,158.5,0.170,
AUDI,A6 Saloon,2.0 CR TDI 170ps,M6,1984,Diesel,7.5,4.7,5.7,37.7,60.1,49.6,149,1243,73.0,187.8,,127.3,154.8,1.640,
AUDI,A3,1.8 TFSI 160ps S-tronic,D7,1781,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,1405,73.0,291.3,33.6,25.6,,,
AUDI,A3 Sportback,1.8 TFSI 160ps 7speed DSG S-tronic,D7,1781,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,1405,73.0,291.3,33.6,25.6,,,
AUDI,A4 Saloon,2.0 TFSI 211ps with Stop-Start,M6,1984,Petrol,8.3,5.3,6.4,34.0,53.3,44.1,149,1385,74.0,266.7,37.2,32.5,,,
AUDI,A5 Coupé,2.0 FSI 180ps with Stop-Start,M6,1984,Petrol,8.3,5.3,6.5,34.0,53.3,44.1,149,1385,73.0,266.7,37.2,32.5,,,
AUDI,A5 Coupé,2.0 TFSI 211ps with Stop-Start,M6,1984,Petrol,8.3,5.3,6.4,34.0,53.3,44.1,149,1385,74.0,266.7,37.2,32.5,,,
AUDI,A6 Saloon,2.0 TDI 136ps Multitronic,AV,1968,Diesel,7.3,4.9,5.8,38.7,57.6,48.7,151,1266,72.0,84.8,,161.3,176.8,0.800,
AUDI,A5 Sportback,2.0 TDI 143ps Multitronic,AV,1968,Diesel,7.5,4.8,5.8,37.7,58.9,47.7,152,1292,72.0,100.0,,110.0,122.0,0.690,
AUDI,A5 Sportback,2.0 TDI quattro 170ps with Stop-Start,M6,1968,Diesel,7.3,5.0,5.8,38.7,56.5,48.7,152,1266,74.0,278.3,,140.3,177.3,0.540,
AUDI,A6 Avant,2.0 CR TDI 170ps,M6,1984,Diesel,7.5,4.8,5.8,58.9,37.7,58.9,152,1047,73.0,187.8,,127.3,154.8,1.640,
AUDI,A3,1.8 TFSI 160ps,M6,1781,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,152,1428,74.0,302.5,43.4,33.9,,,
AUDI,A5 Sportback,2.0 TFSI 180ps with Stop-Start,M6,1984,Petrol,8.4,5.4,6.5,33.6,52.3,43.4,152,1408,74.0,239.1,28.0,23.9,,,
AUDI,A5 Sportback,2.0 TFSI 211ps with Stop-Start,M6,1984,Petrol,8.4,5.4,6.5,33.6,52.3,43.5,152,1405,74.0,239.1,28.0,23.9,,,
AUDI,A6 Saloon,2.0 CR TDI 170ps Multitronic,AV,1984,Diesel,7.3,5.0,5.8,38.7,56.5,48.7,153,1266,72.0,100.1,,158.5,172.3,0.480,
AUDI,A3 Sportback,1.8 TFSI 160ps,M6,1781,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,153,1428,74.0,302.5,43.4,33.9,,,
AUDI,A4 Avant,2.0 CR TDI quattro 170ps with Stop-Start,QM6,1968,Diesel,7.1,5.1,5.8,39.8,55.4,48.7,154,1266,73.0,222.1,,132.7,167.3,0.420,
AUDI,A6 Avant,2.0 CR TDI 170ps Multitronic,AV,1984,Diesel,7.4,5.0,5.9,38.2,56.5,47.9,154,1287,72.0,100.1,,158.5,172.3,0.480,
AUDI,A3 Cabriolet,1.8 TFSI 160ps S-tronic,D6,1781,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,154,1428,73.0,571.7,62.4,50.4,,,
AUDI,A4 Avant,2.0 TFSI 211ps,M6,1984,Petrol,8.4,5.6,6.6,33.6,50.4,42.8,154,1428,74.0,519.1,50.8,43.7,,,
AUDI,A4 Avant,2.0 TDI 143ps Multitronic with DPF,AV,1968,Diesel,7.5,5.0,5.9,37.7,56.5,47.9,155,1287,72.0,82.8,,132.4,143.4,1.500,
AUDI,A6 Avant,2.0 TDI 136ps Multitronic,AV,1968,Diesel,7.5,5.0,5.9,37.7,56.5,47.9,155,1287,72.0,267.6,,153.3,189.4,0.600,
AUDI,A3 Cabriolet,1.8 TFSI 160ps,M6,1781,Petrol,8.9,5.5,6.7,31.7,51.4,42.2,156,1448,74.0,587.4,60.0,48.6,,,
AUDI,A5 Cabriolet,2.0 TFSI 211ps with Stop-Start,M6,1984,Petrol,8.5,5.7,6.7,33.2,49.6,42.2,156,1448,74.0,222.4,32.4,28.4,,,
AUDI,TT Roadster,1.8 TFSI 160ps,M6,1798,Petrol,9.1,5.6,6.9,31.0,50.4,40.9,159,1494,74.0,270.6,42.4,31.1,,,
AUDI,A4 Avant,2.0 TDI 170ps quattro with DPF,QM6,1968,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,162,1352,73.0,222.1,,132.7,167.3,0.420,
AUDI,A4 Allroad,2.0 TDI quattro 170ps with Stop-Start,QM6,1968,Diesel,7.5,5.5,6.2,37.7,51.4,45.6,164,1352,72.0,267.2,,121.2,149.1,0.090,
AUDI,A5 Cabriolet,2.7 V6 TDI 190ps,M6,2697,Diesel,8.1,5.2,6.2,34.9,54.3,45.6,164,1352,73.0,200.0,,152.0,192.0,0.510,
AUDI,A6 Saloon,2.7 V6 TDI 190ps,M6,2698,Diesel,8.3,5.0,6.2,34.0,56.5,45.6,164,1352,72.0,475.3,,144.0,185.7,1.200,
AUDI,A6 Avant,2.7 V6 TDI 190ps,M6,2698,Diesel,8.3,5.0,6.2,34.0,56.5,45.6,164,1352,72.0,475.3,,144.0,185.7,1.200,
AUDI,A3,2.0 TFSI 200ps,M6,1984,Petrol,9.8,5.5,7.1,28.8,51.4,39.8,164,1535,73.0,294.0,25.5,19.5,,,
AUDI,A4 Saloon,1.8 TFSI 120ps,M6,1798,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1535,73.0,302.6,47.6,37.6,,,
AUDI,A4 Saloon,1.8 FSI 160ps ,M6,1798,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1535,73.0,302.6,47.6,37.6,,,
AUDI,A5 Coupé,1.8 TFSI 160ps ,M6,1798,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1535,73.0,302.0,47.0,37.0,,,
AUDI,A3,2.0 TFSI 200ps DSG,D6,1984,Petrol,9.8,5.7,7.2,28.2,49.6,39.2,166,1559,71.0,235.5,37.7,29.9,,,
AUDI,A3 Sportback,2.0 TFSI 200ps S-tronic,D6,1984,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,166,1559,71.0,235.5,37.7,29.9,,,
AUDI,A4 Saloon,2.7 V6 TDI 190ps Multitronic,AV,2697,Diesel,7.9,5.5,6.4,35.8,51.4,44.1,167,1398,72.0,258.4,,154.5,182.1,0.900,
AUDI,A5 Coupé,2.7 V6 TDI 190ps Multitronic,AV,2697,Diesel,7.9,5.5,6.4,35.8,51.4,44.1,167,1398,72.0,258.4,,154.5,182.1,0.900,
AUDI,A3 Sportback,2.0 TFSI 200ps,M6,1984,Petrol,9.9,5.6,7.2,28.5,50.4,39.2,167,1559,73.0,294.0,25.5,19.5,,,
AUDI,A4 Saloon,2.0 TFSI 211ps Multitronic,AV,1984,Petrol,9.4,5.7,7.1,30.1,49.6,39.8,167,1535,73.0,630.5,54.8,46.4,,,
AUDI,A5 Coupé,2.0 FSI 180ps Multitronic,AV,1984,Petrol,9.4,5.7,7.1,30.1,49.6,39.8,167,1535,74.0,630.5,54.8,46.4,,,
AUDI,A5 Coupé,2.0 TFSI 211ps Multitronic,AV,1984,Petrol,9.4,5.7,7.1,30.1,49.6,39.8,167,1535,73.0,630.5,54.8,46.4,,,
AUDI,A4 Avant,2.7 V6 TDI 190ps Multitronic,AV,2697,Diesel,7.7,5.8,6.5,36.7,48.7,43.5,169,1417,72.0,225.6,,165.1,190.5,0.900,
AUDI,A5 Cabriolet,2.7 V6 TDI 190ps Multitronic,AV,2697,Diesel,7.7,5.8,6.5,36.7,48.7,43.5,169,1417,73.0,300.0,,152.0,192.0,0.510,
AUDI,A5 Sportback,2.7 TDI Multitronic 190ps,AV,2698,Diesel,8.0,5.6,6.5,35.3,50.4,43.5,169,1417,74.0,258.4,,154.5,182.5,0.930,
AUDI,A6 Saloon,2.7 V6 TDI 190ps Multitronic,AV,2698,Diesel,8.0,5.5,6.4,35.3,51.4,44.1,169,1398,72.0,127.8,,158.2,173.9,0.700,
AUDI,A3 Cabriolet,2.0 TFSI 200ps,M6,1984,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,169,1559,73.0,587.4,60.0,48.6,,,
AUDI,A4 Saloon,1.8 FSI 160ps Multitronic,AV,1798,Petrol,9.4,5.9,7.2,30.1,47.9,39.2,169,1559,74.0,292.1,39.1,33.4,,,
AUDI,A4 Saloon,1.8 TFSI 160ps Multitronic,AV,1798,Petrol,9.4,5.9,7.2,30.1,47.9,39.2,169,1559,74.0,292.1,39.1,33.4,,,
AUDI,A4 Saloon,2.0 TFSI 211ps quattro with Stop-Start,QM6,1984,Petrol,9.7,5.8,7.3,29.1,48.7,38.7,169,1579,74.0,474.4,33.7,28.3,,,
AUDI,A4 Avant,1.8 TFSI 120ps,M6,1798,Petrol,9.6,5.8,7.2,29.4,48.7,39.2,169,1559,73.0,310.4,46.1,36.7,,,
AUDI,A4 Avant,1.8 FSI 160ps,M6,1798,Petrol,9.6,5.8,7.2,29.4,48.7,39.2,169,1559,73.0,310.4,46.1,37.7,,,
AUDI,A5 Coupé,1.8 TFSI 160ps Multitronic,AV,1798,Petrol,9.4,5.9,7.2,30.1,47.9,39.2,169,1559,74.0,292.0,39.0,33.0,,,
AUDI,A5 Coupé,2.0 TFSI quattro 211ps with Stop-Start,QM6,1984,Petrol,9.7,5.8,7.3,29.1,48.7,38.7,169,1579,74.0,474.4,33.7,28.3,,,
AUDI,A5 Sportback,2.0 TFSI Multitronic 180ps,AV,1984,Petrol,9.5,5.8,7.2,29.7,48.7,39.2,169,1559,74.0,630.5,54.8,46.4,,,
AUDI,A5 Sportback,2.0 FSI 211ps Multitronic,AV,1684,Petrol,9.5,5.8,7.2,29.7,48.7,39.2,169,1559,74.0,630.0,54.0,46.0,,,
AUDI,A3 Cabriolet,2.0 TFSI 200ps S-tronic,D6,1984,Petrol,9.9,5.9,7.5,28.5,47.9,38.2,171,1599,71.0,311.7,49.7,38.0,,,
AUDI,A6 Avant,2.7 TDI 190ps Multitronic,AV,2698,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,172,1417,72.0,127.8,,158.2,173.9,0.700,
AUDI,Q5,2.0 CR TDI 143ps,QM6,1968,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,172,1417,72.0,142.0,,138.0,157.0,0.670,
AUDI,Q5,2.0 CR TDI quattro 143ps,QM6,1968,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,172,1417,72.0,142.0,,138.0,157.0,0.670,
AUDI,A4 Saloon,2.0 TFSI quattro 211ps S-tronic,D7,1984,Petrol,9.3,6.3,7.4,30.4,44.8,38.2,172,1599,74.0,252.0,52.0,45.0,,,
AUDI,A4 Avant,2.0 TFSI 211ps Multitronic,AV,1984,Petrol,9.8,5.9,7.3,28.8,47.9,38.7,172,1579,73.0,573.4,58.6,49.7,,,
AUDI,A5 Coupé,2.0 TFSI quattro 211ps 7speed S-tronic,D7,1984,Petrol,9.3,6.3,7.4,28.2,47.9,38.2,172,1599,74.0,525.0,53.0,45.0,,,
AUDI,A5 Cabriolet,1.8 TFSI 160ps,M6,1798,Petrol,10.0,5.9,7.4,28.2,47.9,38.7,172,1579,73.0,310.0,46.0,36.0,,,
AUDI,A5 Sportback,2.0 TFSI quattro 211ps S-tronic ,D7,1984,Petrol,9.3,6.3,7.4,30.4,44.8,38.2,172,1599,74.0,525.0,53.3,45.4,,,
AUDI,A5 Sportback,2.0 FSI quattro 211ps with Stop-Start,QM6,1984,Petrol,9.8,5.9,7.3,28.8,47.9,38.7,172,1579,74.0,474.0,33.0,28.0,,,
AUDI,A4 Saloon,3.0 V6 TDI 240ps quattro,QM6,2967,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,173,1440,74.0,239.3,,159.5,194.3,0.500,
AUDI,A5 Coupé,3.0 V6 TDI quattro 240ps DPF,QM6,2967,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,173,1440,74.0,239.3,,159.5,194.3,0.500,
AUDI,A5 Coupé,3.0 V6 TDI 240ps quattro S-tronic,D6,2967,Diesel,8.3,5.7,6.6,34.0,49.6,42.8,174,1440,74.0,208.1,,165.1,184.6,0.900,
AUDI,A5 Sportback,3.0 TDI quattro S-tronic 240ps,D7,2967,Diesel,8.3,5.7,6.6,34.0,49.6,42.8,174,1440,74.0,208.1,,165.1,184.6,0.900,
AUDI,A3,2.0 TFSI 200ps quattro S-tronic,D6,1984,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,174,1621,71.0,327.0,44.2,36.1,,,
AUDI,A4 Avant,1.8 FSI 160ps Multitronic,AV,1798,Petrol,9.6,6.3,7.5,29.4,44.8,37.7,174,1621,74.0,490.9,45.9,40.1,,,
AUDI,A4 Avant,2.0 TFSI quattro 210ps with Stop-Start,QM6,1984,Petrol,9.8,6.1,7.5,28.8,46.3,37.7,174,1621,74.0,385.5,34.0,28.7,,,
AUDI,A5 Cabriolet,1.8 TFSI 160ps Multitronic,AV,1798,Petrol,9.5,6.4,7.5,29.7,44.1,37.7,174,1621,73.0,310.0,46.0,36.0,,,
AUDI,A5 Cabriolet,2.0 TFSI 180ps Multitronic,AV,1984,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,174,1599,73.0,573.4,58.6,42.3,,,
AUDI,A5 Cabriolet,2.0 TFSI 211ps Multitronic,AV,1984,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,174,1599,73.0,573.4,58.6,42.3,,,
AUDI,A6 Saloon,2.0 TFSI 170ps,M6,1984,Petrol,10.2,5.9,7.5,27.7,47.9,37.7,174,1621,72.0,396.1,34.4,29.3,,,
AUDI,A6 Avant,2.0 TFSI 170ps,M6,1984,Petrol,10.2,5.9,7.5,27.7,47.9,37.7,174,1621,72.0,396.1,34.4,29.3,,,
AUDI,A4 Saloon,3.0 V6 TDI 240ps quattro S-tronic ,D6,2967,Diesel,8.7,5.5,6.7,32.5,51.4,42.2,175,1461,72.0,326.4,,76.7,107.7,0.400,
AUDI,A4 Avant,2.0 TFSI 211ps 7speed quattro S-tronic ,D7,1984,Petrol,9.4,6.5,7.6,30.1,43.5,37.2,175,1642,74.0,521.4,56.4,48.9,,,
AUDI,A4 Avant,3.0 V6 TDI 240ps quattro with DPF,QM6,2967,Diesel,8.8,5.5,6.8,32.1,51.4,41.5,176,1485,74.0,246.7,,157.0,191.8,0.400,
AUDI,A5 Sportback,3.0 TDI quattro 240ps,M6,2967,Diesel,8.9,5.4,6.7,31.7,52.3,42.2,176,1461,74.0,239.3,,159.2,194.3,0.530,
AUDI,A3 Sportback,2.0 TFSI 200ps quattro S-tronic,D6,1984,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,176,1642,71.0,327.0,44.2,36.1,,,
