Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
ABARTH,500,Abarth,M5,1368,Petrol,8.5,5.4,6.5,33.2,52.3,43.5,155,1405,74.0,222.0,35.1,36.8,,,
ALFA ROMEO,MiTo,1.3 JTDm 95,M5,1248,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,112,938,73.5,366.0,,177.0,218.0,2.000,
ALFA ROMEO,MiTo,1.6 JTDm 120,M6,1598,Diesel,5.9,4.1,4.8,47.9,68.9,58.9,126,1047,73.0,297.0,,151.0,188.0,1.000,
ALFA ROMEO,MiTo,1.4 TB MultiAir 135,M5,1368,Petrol,7.4,4.5,5.6,38.2,62.8,50.4,129,1212,71.5,519.0,52.0,32.0,,,
ALFA ROMEO,MiTo,1.4 16v Junior (78CV),M6,1368,Petrol,7.7,4.8,5.9,36.7,58.9,47.9,138,1276,72.0,254.0,30.0,30.0,,,
ALFA ROMEO,MiTo,1.4 16v ,M6,1368,Petrol,7.7,4.8,5.9,36.7,58.9,47.9,138,1276,72.5,400.0,47.0,34.0,,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 170,M6,1368,Petrol,8.1,4.8,6.0,34.9,58.9,47.1,139,1297,73.5,254.0,20.0,24.0,,,
ALFA ROMEO,159,2.0 JTDm 16v (170),M6,1956,Diesel,7.1,4.4,5.4,39.8,64.2,52.3,142,1179,73.5,88.0,,165.0,183.0,2.600,
ALFA ROMEO,Brera ,2.0 JTDm,M6,1956,Diesel,7.1,4.4,5.4,39.8,64.2,52.3,142,1179,73.0,189.0,,155.0,180.0,2.000,
ALFA ROMEO,Spider,2.0 JTDm,M6,1956,Diesel,7.1,4.4,5.4,39.8,64.2,52.3,142,1179,73.0,189.0,,155.0,180.0,2.000,
ALFA ROMEO,159 Sportwagon,2.0 JTDm 16v (170) ,M6,1956,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,1199,73.5,88.0,,165.0,183.0,2.600,
ALFA ROMEO,MiTo,1.4 16v TB 155 ,M6,1368,Petrol,8.5,5.3,6.5,33.2,53.3,43.5,153,1405,74.0,266.0,22.0,27.0,,,
ALFA ROMEO,159,1750 TBi (200),M6,1742,Petrol,11.8,6.0,8.1,23.9,47.1,34.9,189,1751,73.0,392.0,47.0,32.0,,,
ALFA ROMEO,Brera ,1750 TBi,M6,1742,Petrol,11.8,6.0,8.1,23.9,47.1,34.9,189,1751,73.0,601.0,60.0,40.0,,,
ALFA ROMEO,Spider,1750 TBi,M6,1742,Petrol,11.9,6.1,8.2,23.7,46.3,34.4,192,1776,73.0,601.0,60.0,40.0,,,
ALFA ROMEO,159 Sportwagon,1750 TBi (200),M6,1742,Petrol,12.0,6.2,8.3,23.5,45.6,34.0,194,1797,73.0,392.0,47.0,32.0,,,
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible March 2010 onwards,A6,5935,Petrol,22.3,10.2,14.6,12.7,27.7,19.3,345,3166,73.0,547.0,66.0,9.0,,,
ASTON MARTIN LAGONDA,Rapide,Hatchback March 2010 onwards,A6,5935,Petrol,22.6,10.4,14.9,12.5,27.2,19.0,355,3216,74.0,543.0,53.0,15.0,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,A6,5935,Petrol,24.2,10.5,15.5,11.7,26.9,18.2,367,3357,74.0,577.0,61.0,11.0,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,3552,75.0,325.0,32.0,12.0,,,
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback March 2010 onwards,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,3552,75.0,326.0,31.0,13.0,,,
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible March 2010 onwards,M6,5935,Petrol,24.6,11.7,16.4,11.5,24.1,17.2,389,3552,75.0,231.0,32.0,6.0,,,
AUDI,A3,1.6 TDIe 105ps with Stop-Start ,M5,1598,Diesel,5.0,3.7,4.1,56.5,76.3,68.9,109,895,72.0,252.0,,158.0,183.0,0.360,
AUDI,A3,1.6 TDI 105ps S-tronic,D7,1598,Diesel,4.5,3.9,4.2,62.8,72.4,67.3,109,916,69.0,113.0,,122.0,140.0,0.120,
AUDI,A3 Sportback,1.6 TDIe 105ps with Stop-Start 2 ( limited equipment ),M5,1598,Diesel,5.0,3.7,4.1,56.5,76.3,68.9,109,895,72.0,252.8,,158.2,183.4,0.360,
AUDI,A3 Sportback,1.6 TDI 105ps S-tronic,D7,1598,Diesel,4.9,3.9,4.3,57.6,72.4,65.7,112,938,69.0,113.0,,122.0,140.0,0.120,
AUDI,A3 Sportback,1.6 TDIe 105ps with Stop-Start 1 ,M5,1598,Diesel,5.1,3.8,4.2,55.4,74.3,67.3,112,916,72.0,252.0,,158.0,183.0,0.360,
AUDI,A3 Cabriolet,1.6 TDI 105ps with Stop-Start,M5,1595,Diesel,5.2,3.9,4.3,54.3,72.4,65.7,114,938,72.0,245.0,,155.0,180.0,0.140,
AUDI,A3,2.0 CR TDI 140ps with Stop-Start,M6,1968,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,960,75.0,276.0,,127.0,160.0,0.800,
AUDI,A4 Saloon,2.0 TDIe 136ps with Stop-Start 2 ( limited equipment ),M6,1968,Diesel,5.8,3.8,4.6,38.2,60.1,49.6,119,1243,72.0,192.0,,164.0,181.0,1.190,
AUDI,A4 Saloon,"2.0 TDIe 136ps with Stop-Start 3 (16""+17"" Wheel Rim Only )",M6,1968,Diesel,5.8,3.8,4.6,48.7,47.3,61.4,120,1004,72.0,290.0,,139.0,179.0,1.250,
AUDI,A4 Saloon,2.0 TDIe 136ps with Stop-Start 1 ,M5,1968,Diesel,6.1,4.0,4.8,38.2,60.1,49.6,124,1243,72.0,290.9,,139.9,179.8,1.250,
AUDI,A4 Avant,2.0 TDIe 136ps with Stop-Start 2 (Limited Equipment),M6,1968,Diesel,5.8,4.0,4.7,48.7,70.6,60.1,124,1026,72.0,221.1,,132.7,167.3,0.420,
AUDI,A4 Saloon,2.0 CR TDI 120ps with Stop-Start,M6,1968,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,129,1070,73.0,217.8,,152.7,176.9,1.000,
AUDI,A4 Avant,2.0 TDIe 136ps with Stop-Start 1 ,M6,1968,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,129,1070,72.0,221.0,,132.0,167.0,0.420,
AUDI,A3 Cabriolet,1.2 TFSI 105ps,M6,1197,Petrol,7.0,5.0,5.7,40.4,56.5,49.6,132,1232,71.0,433.0,34.0,30.0,,,
