Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
ASTON MARTIN LAGONDA,Aston Martin,DB7 GT,M6,5935,Petrol,30.7,13.6,19.9,9.2,20.7,14.2,476,1383,III,75.0,,,,,,15 May 2003,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 TDI up to December 2002,M5,1422,Diesel,5.7,3.6,4.4,49.6,78.5,64.2,119,319,III,72.0,0.1,0.4,,0.3,0.0,23 May 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.9 TDI  (100 PS),M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,384,III,72.0,0.2,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.9 TDI (100 PS),A4,1896,Diesel,8.7,5.2,6.5,32.5,54.3,43.5,176,470,III,68.0,0.1,0.5,,0.4,0.0,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.9 TDI (130 PS),M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,391,III,74.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.8 (125 PS),M5,1781,Petrol,10.7,6.3,7.9,26.4,44.8,35.8,190,549,III,72.0,0.9,,0.1,0.0,,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.8 (125 PS),A4,1781,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,214,620,III,71.0,1.9,,0.2,0.1,,20 March 2003,
AUDI,Audi A3 (3 & 5 door Sport Quattro),1.9 TDI Quattro (130 PS),QM6,1896,Diesel,8.1,5.2,6.3,34.9,54.3,44.8,170,457,III,75.0,0.2,0.4,,0.4,0.0,20 March 2003,
AUDI,Audi A3 (3 & 5 door Sport Quattro),1.8T Quattro (180 PS),QM6,1781,Petrol,13.1,7.6,9.5,21.6,37.2,29.7,228,661,III,74.0,1.0,,0.1,0.0,,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI (100 PS),M5,1896,Diesel,7.1,4.6,5.5,39.8,61.4,51.4,149,398,III,72.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 V6 TDI (155 PS),M6,2496,Diesel,9.8,5.4,7.0,28.8,52.3,40.4,189,506,III,74.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 TDI V6 Quattro (180 PS),QM6,2496,Diesel,11.2,6.0,7.9,25.2,47.1,35.8,213,571,III,72.0,0.1,0.4,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI (130 PS),M5,1896,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,151,406,III,73.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI Multitronic (130 PS),AV,1896,Diesel,7.6,4.8,5.7,37.2,58.9,49.6,152,412,III,71.0,0.3,0.4,,0.4,0.0,22 May 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI (130 PS),M6,1896,Diesel,7.7,4.8,5.8,36.7,58.9,48.7,157,420,III,73.0,0.3,0.4,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 TDI V6 Quattro Tiptronic (180 PS),QA5,2496,Diesel,12.7,6.4,8.7,22.2,44.1,32.5,235,629,III,73.0,0.0,0.4,,0.4,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 TDI (163 PS),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,74.0,0.1,0.3,,0.3,0.0,20 March 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 TDI (163 PS),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.0,0.3,,0.3,0.0,20 March 2003,
