Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
CITROEN,Berlingo Multispace,Berlingo Multispace 1.8i,M5,1761,Petrol,11.9,7.1,8.9,23.7,39.8,31.7,210,645,II,71.4,1.010,0.128,,,
CITROEN,Berlingo Multispace,Berlingo Multispace 1.9D,M5,1868,Diesel,8.6,5.4,6.6,32.8,52.3,42.8,178,497,II,73.4,0.179,0.551,,,0.029
CITROEN,Xsara,Xsara 1.4i,M5,1360,Petrol,9.1,5.6,6.9,31.0,50.4,40.9,170,500,II,71.5,0.684,0.346,,,
CITROEN,Xsara,Xsara 1.4i Estate,M5,1360,Petrol,9.1,5.6,6.9,31.0,50.4,40.9,170,500,II,71.5,0.684,0.346,,,
CITROEN,Xsara,Xsara 1.6i,M5,1587,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,177,529,II,73.9,0.706,0.145,,,
CITROEN,Xsara,Xsara 1.6i Estate,M5,1587,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,177,529,II,73.9,0.706,0.145,,,
CITROEN,Xsara,Xsara 1.6i VTR,M5,1587,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,177,529,II,73.9,0.706,0.145,,,
CITROEN,Xsara,Xsara 1.6i,A4,1587,Petrol,10.8,6.0,7.8,26.2,47.1,36.2,185,565,II,73.8,1.703,0.344,,,
CITROEN,Xsara,Xsara 1.6i Estate,A4,1587,Petrol,10.8,6.0,7.8,26.2,47.1,36.2,185,565,II,73.8,1.703,0.344,,,
CITROEN,Xsara,Xsara 1.8i 16v,M5,1761,Petrol,12.0,6.3,8.3,23.5,44.8,34.0,198,602,II,71.1,0.482,0.142,,,
CITROEN,Xsara,Xsara 1.8i 16v Estate,M5,1761,Petrol,12.1,6.4,8.4,23.3,44.1,33.6,198,609,II,71.1,0.482,0.142,,,
