Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T (190 PS),M6,1781,Petrol,11.9,6.8,8.7,23.7,41.5,32.5,209,604,IV,72.0,0.5,,0.0,0.0,,22 May 2003,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T Quattro (190 PS),QM6,1781,Petrol,13.0,7.4,9.5,21.7,38.2,29.7,228,661,IV,72.0,0.5,,0.0,0.0,,22 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.6 (102 PS),M5,1595,Petrol,11.0,6.2,7.9,25.7,45.6,35.8,190,549,IV,73.0,0.4,,0.0,0.0,,22 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T (190 PS),M6,1781,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,211,612,IV,72.0,0.5,,0.0,0.0,,22 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Quattro (190 PS),QM6,1781,Petrol,13.1,7.5,9.6,21.6,37.7,29.4,230,668,IV,72.0,0.5,,0.0,0.0,,22 May 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 FSI (150 PS),M5,1984,Petrol,10.4,5.8,7.5,27.2,48.7,37.7,180,521,IV,73.0,0.2,,0.1,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.4,M5,2393,Petrol,13.8,7.4,9.7,20.5,38.2,29.1,233,675,IV,71.0,0.3,,0.0,0.0,,29 January 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.4 Multitronic,AV,2393,Petrol,13.7,7.1,9.5,20.6,39.8,29.7,228,661,IV,72.0,0.4,,0.1,0.0,,29 January 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 PS),QM6,2976,Petrol,16.0,8.7,11.3,17.7,32.5,25.0,271,786,IV,74.0,0.5,,0.0,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Quattro (163 PS),QM5,1781,Petrol,12.6,7.3,9.3,22.4,38.7,30.4,223,646,IV,71.0,0.5,,0.0,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Multitronic (163 PS),AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,71.0,0.6,,0.1,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T (163 PS),M5,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,71.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 PS),QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,758,IV,74.0,0.5,,0.1,0.1,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 (130 PS),M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,563,IV,73.0,0.7,,0.1,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T (150 PS),M5,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,71.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Multitronic (150 PS),AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,74.0,0.6,,0.1,0.0,,20 March 2003,
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 Multitronic (130 PS),AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,IV,72.0,0.7,,0.1,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v (150 PS),M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,599,IV,72.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Multitronic (150 PS),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,604,IV,72.0,0.5,,0.1,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Quattro (150 PS),QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,668,IV,74.0,0.4,,0.0,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 PS),M5,1984,Petrol,11.9,6.6,8.5,23.7,42.8,33.2,204,592,IV,74.0,0.6,,0.1,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 PS),AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,592,IV,74.0,0.5,,0.1,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 (170 PS),M5,2393,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,240,696,IV,72.0,0.2,,0.0,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Multitronic (170 PS),AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,675,IV,73.0,0.3,,0.1,0.0,,20 March 2003,
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro (170 PS),QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,764,IV,73.0,0.3,,0.0,0.0,,20 March 2003,
