Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,156 Saloon 2002 MY Range,2.0 JTS,M5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Saloon 2002 MY Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.0 JTS,M5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.459,,0.078,0.050,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 (75 bhp),M5,1390,Petrol,8.3,4.8,6.1,34.0,58.9,46.3,146,424,IV,71.0,0.258,,0.068,0.025,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.6 (102 bhp),M5,1595,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,170,493,IV,73.0,0.718,,0.053,0.039,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.6 (102 bhp),A4,1595,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,IV,71.0,0.480,,0.058,0.044,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.631,,0.065,0.038,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.8T (150 bhp),A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,634,IV,70.0,0.775,,0.051,0.026,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.6 (102 bhp),M5,1595,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,187,543,IV,73.0,0.404,,0.047,0.023,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,578,IV,71.0,0.408,,0.026,0.025,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T Quattro (150 bhp),QM5,1781,Petrol,12.6,7.3,9.3,22.4,38.7,30.4,223,646,IV,73.0,0.458,,0.025,0.023,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T (150 bhp) multitronic,AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,74.0,0.617,,0.058,0.049,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,563,IV,73.0,0.682,,0.068,0.044,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.0 Multitronic (130 bhp),AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,IV,72.0,0.705,,0.088,0.038,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",3.0 V6 Quattro (220 bhp),QM5,2976,Petrol,15.0,8.1,10.6,18.8,34.9,26.6,254,738,IV,72.0,0.451,,0.036,0.052
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,758,IV,74.0,0.507,,0.056,0.064
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,71.0,0.408,,0.026,0.025
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Multitronic (150 bhp),AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,74.0,0.617,,0.058,0.049
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,563,IV,73.0,0.682,,0.068,0.044
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 Multitronic (130 bhp),AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,IV,72.0,0.705,,0.088,0.038
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,758,IV,74.0,0.507,,0.056,0.064
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v (150 bhp),M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,599,IV,72.0,0.350,,0.032,0.037
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Multitronic (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,604,IV,72.0,0.496,,0.053,0.040
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Quattro (150 bhp),QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,668,IV,74.0,0.420,,0.042,0.040
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.9,6.5,8.4,23.7,43.5,33.6,202,584,IV,74.0,0.560,,0.073,0.036
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 bhp),AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,592,IV,74.0,0.462,,0.080,0.035
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 (170 bhp),M5,2393,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,240,696,IV,72.0,0.229,,0.047,0.036
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Multitronic (170 bhp),AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,675,IV,73.0,0.274,,0.050,0.035
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro (170 bhp),QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,764,IV,73.0,0.257,,0.044,0.026
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro Tiptronic (170 bhp),QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25.0,271,786,IV,73.0,0.184,,0.049,0.037
