,,,,,,Fuel Consumption and CO2 Emissions,,,,,,,,"Other Type Approval Emissions Data                                        (read ""How to use the list""                                                      before comparing models).",,,,,,
,,,,,,,Metric l/100km,,,Imperial mpg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Manufacturer/Model,Model,Description,Trans-mission,Engine Capacity cc,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Comb-ined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Comb-ined,CO2 g/km,Fuel Cost   of driving 12000 Miles (£'s),Noise Level dB(A) (moving),Emissions CO    (g/km),Emissions HC    (g/km),Emissions  NOx        (g/km),Emissions    HC+NOx          (g/km),Emissions        Particles              (g/km),
FORD,Focus 2004½ Model Year Onwards,1.6i 16V 4 Door Saloon (14 inch tyre) ,A4,1596,Petrol,10.9,6.0,7.8,25.9,47.1,36.2,186,1206,70.0,0.588,0.114,0.077,,
FORD,Focus 2004½ Model Year Onwards,1.6i 16V Saloon (15 inch tyre) ,A4,1596,Petrol,11.2,6.2,8.0,25.2,45.6,35.3,192,1236,70.0,0.588,0.114,0.077,,
FORD,Focus 2004½ Model Year Onwards,1.6i 16V Estate (14 inch tyre) ,A4,1596,Petrol,11.3,6.4,8.2,25.0,44.1,34.4,196,1269,70.0,0.588,0.114,0.077,,
FORD,Focus 2004½ Model Year Onwards,1.6i 16V Estate (15 inch tyre) ,A4,1596,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,1299,70.0,0.588,0.114,0.077,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V 3/5 Door Saloon (15 inch tyre) ,M5,1796,Petrol,10.2,6.0,7.6,27.7,47.1,37.2,181,1173,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V 4 Door Saloon (15 inch tyre) ,M5,1796,Petrol,10.2,6.0,7.5,27.7,47.1,37.7,179,1158,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V 3/5 Door Saloon (16/17 inch tyre) ,M5,1796,Petrol,10.3,6.1,7.7,27.4,46.3,36.7,183,1189,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V 4 Door Saloon (16 inch tyre) ,M5,1796,Petrol,10.3,6.1,7.6,27.4,46.3,37.2,181,1173,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V Estate (15 inch tyre) ,M5,1796,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,184,1189,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,1.8i 16V Estate (16/17 inch tyre) ,M5,1796,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,185,1206,71.0,0.895,0.091,0.043,,
FORD,Focus 2004½ Model Year Onwards,2.0i 16V 3/5 Door Saloon ,M5,1988,Petrol,11.6,6.9,8.7,24.4,40.9,32.5,207,1343,74.0,0.679,0.055,0.145,,
FORD,Focus 2004½ Model Year Onwards,2.0i 16V 4 Door Saloon ,M5,1988,Petrol,11.6,6.9,8.6,24.4,40.9,32.8,205,1331,74.0,0.679,0.055,0.145,,
FORD,Focus 2004½ Model Year Onwards,2.0i 16V Estate ,M5,1988,Petrol,11.6,6.9,8.6,24.4,40.9,32.8,205,1331,74.0,0.679,0.055,0.145,,
FORD,Focus 2004½ Model Year Onwards,1.8 TDdi 3/5 Door Saloon ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,876,71.0,0.109,,0.489,0.507,0.044
FORD,Focus 2004½ Model Year Onwards,1.8 TDdi 4 Door Saloon ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,142,876,71.0,0.109,,0.489,0.507,0.044
FORD,Focus 2004½ Model Year Onwards,1.8 TDdi Estate ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,876,71.0,0.109,,0.489,0.507,0.044
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (100PS) 3/5 Door Saloon ,M5,1753,Diesel,7.0,4.2,5.2,40.4,67.3,54.3,138,844,70.0,0.179,,0.360,0.385,0.038
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (100PS) 4 Door Saloon  ,M5,1753,Diesel,7.0,4.2,5.2,40.4,67.3,54.3,137,844,70.0,0.179,,0.360,0.385,0.038
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (100PS) Estate ,M5,1753,Diesel,7.0,4.2,5.2,40.4,67.3,54.3,138,844,70.0,0.179,,0.360,0.385,0.038
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (115PS) 3/5 Door Saloon ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,876,70.0,0.172,,0.409,0.435,0.030
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (115PS) 4 Door Saloon ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,142,876,70.0,0.172,,0.409,0.435,0.030
FORD,Focus 2004½ Model Year Onwards,1.8 TDCi (115PS) Estate  ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,876,70.0,0.172,,0.409,0.435,0.030
FORD,New Focus,1.4 Duratec 16V  ,M5,1388,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,159,1020,72.0,0.517,0.090,0.038,,
FORD,New Focus,1.6 Duratec 16V  ,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,161,1034,73.0,0.547,0.072,0.050,,
FORD,New Focus,2.0 Duratec 16V  ,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,170,1097,71.0,0.528,0.108,0.043,,
FORD,New Focus,2.0 Duratec 16V  ,A4,1999,Petrol,11.4,6.2,8.1,24.8,45.6,34.9,170,1250,71.0,0.509,0.087,0.061,,
FORD,New Focus,1.6 Duratorq TDCi (90PS) ,M5,1560,Diesel,5.9,4.0,4.7,47.9,70.6,60.1,125,762,71.0,0.056,0.003,0.216,0.220,0.019
FORD,New Focus,1.6 Duratorq TDCi (110PS) ,M5,1560,Diesel,6.2,4.0,4.8,45.6,70.6,58.9,127,778,71.0,0.406,,0.413,0.444,0.031
FORD,New Focus,1.6 Duratorq TDCi (110PS) Saloon ,CVT,1560,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,146,892,71.0,0.102,,0.378,0.392,0.040
FORD,New Focus,1.6 Duratorq TDCi (110PS) Estate ,CVT,1560,Diesel,7.0,4.8,5.6,40.4,58.9,50.4,149,909,71.0,0.102,,0.378,0.392,0.040
FORD,New Focus,2.0 Duratorq TDCi 3/5 Door Saloon ,M6,1997,Diesel,7.4,4.4,5.5,38.2,64.2,51.4,145,892,72.0,0.582,,0.300,0.381,0.013
FORD,New Focus,2.0 Duratorq TDCi 4 Door Saloon/5 Door Estate ,M6,1997,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,148,909,72.0,0.582,,0.300,0.381,0.013
FORD,Focus C-Max,1.6i 16V Duratec ,M5,1596,Petrol,8.9,5.7,6.9,31.7,49.6,40.9,166,1067,73.0,0.547,0.072,0.050,,
FORD,Focus C-Max,1.8i 16V Duratec (120PS) ,M5,1798,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,1097,70.0,0.386,0.075,0.027,,
FORD,Focus C-Max,1.8i 16V Duratec (125PS) ,M5,1798,Petrol,9.7,5.7,7.1,29.1,49.6,39.8,172,1097,70.0,0.463,0.110,0.049,,
FORD,Focus C-Max,2.0i 16V Duratec ,M5,1999,Petrol,10.0,5.6,7.3,28.2,50.4,38.7,176,1128,71.0,0.528,0.108,0.043,,
FORD,Focus C-Max,1.6 16V Duratorq TDCi (90PS) ,M5,1560,Diesel,6.0,4.1,4.8,47.1,68.9,58.9,127,778,71.0,0.056,,0.216,0.220,0.019
FORD,Focus C-Max,1.6 16V Duratorq TDCi (110PS) ,M5,1560,Diesel,6.3,4.1,4.9,44.8,68.9,57.6,129,796,71.0,0.406,,0.413,0.444,0.031
FORD,Focus C-Max,1.6 16V Duratorq TDCi (110PS) ,CVT,1560,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,153,924,71.0,0.102,,0.378,0.392,0.040
FORD,Focus C-Max,2.0 16V Duratorq TDCi ,M6,1998,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,148,909,72.0,0.582,,0.300,0.381,0.013
FORD,Mondeo Pre-2004½ Model Year,1.8i 16V Saloon (16 inch tyre) ,M5,1798,Petrol,11.0,5.6,7.6,25.7,50.4,37.2,182,1173,71.0,0.608,0.094,0.081,,
FORD,Mondeo Pre-2004½ Model Year,1.8i 16V Estate (16 inch tyre) ,M5,1798,Petrol,11.1,5.8,7.8,25.4,48.7,36.2,186,1206,71.0,0.608,0.094,0.081,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (16 inch tyre) ,M5,1999,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,187,1206,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (17 inch tyre) ,M5,1999,Petrol,11.3,5.9,7.9,25.0,47.9,35.8,189,1219,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (18 inch tyre) ,M5,1999,Petrol,11.5,6.1,8.1,24.6,46.3,34.9,194,1250,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Estate (16 inch tyre) ,M5,1999,Petrol,11.3,6.0,8.0,25.0,47.1,35.3,191,1236,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Estate (17 inch tyre) ,M5,1999,Petrol,11.4,6.1,8.0,24.8,46.3,35.3,193,1236,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Estate (18 inch tyre) ,M5,1999,Petrol,11.6,6.2,8.2,24.4,45.6,34.4,192,1269,72.0,0.510,0.080,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Saloon (16 inch tyre) ,M5,1998,Diesel,7.8,4.4,5.6,36.2,64.2,50.4,148,909,71.0,0.269,,0.376,0.398,0.036
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Saloon (16 inch tyre) ,M6,1998,Diesel,7.8,4.7,5.7,36.2,60.1,49.6,151,924,71.0,0.204,,0.469,0.479,0.028
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Saloon (16 inch tyre) ,A5,1998,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,198,1200,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre) ,M5,1998,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,153,941,71.0,0.269,,0.376,0.398,0.036
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre) ,M6,1998,Diesel,7.9,4.8,5.8,35.8,58.9,48.7,154,941,71.0,0.204,,0.469,0.479,0.028
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre) ,A5,1998,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,198,1215,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (16 inch tyre) ,M6,1998,Diesel,7.7,4.7,5.8,36.7,60.1,48.7,154,941,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (17 inch tyre) ,M6,1998,Diesel,7.8,4.8,5.9,36.2,58.9,47.9,156,957,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (18 inch tyre) ,M6,1998,Diesel,7.9,5.0,6.1,35.8,56.5,46.3,161,990,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (16 inch tyre) ,M6,1998,Diesel,7.8,4.9,6.0,36.2,57.6,47.1,158,973,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (17 inch tyre) ,M6,1998,Diesel,7.9,5.0,6.0,35.8,56.5,47.1,160,973,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (18 inch tyre) ,M6,1998,Diesel,8.0,5.2,6.2,35.3,54.3,45.6,165,1005,71.0,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (16 inch tyre) ,A5,1998,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,196,1200,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (17 inch tyre) ,A5,1998,Diesel,10.3,5.9,7.5,27.4,47.9,37.7,199,1215,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (18 inch tyre) ,A5,1998,Diesel,10.4,6.1,7.7,27.2,46.3,36.7,203,1249,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (16 inch tyre) ,A5,1998,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,198,1215,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (17 inch tyre) ,A5,1998,Diesel,10.3,6.0,7.6,27.4,47.1,37.2,201,1232,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (18 inch tyre) ,A5,1998,Diesel,10.5,6.2,7.7,26.9,45.6,36.7,205,1249,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo 2004½ Model Year Onwards,1.8i 16V Saloon ,M5,1798,Petrol,11.0,5.6,7.6,25.7,50.4,37.2,182,1173,71.0,0.608,0.094,0.081,,
FORD,Mondeo 2004½ Model Year Onwards,1.8i 16V Estate ,M5,1798,Petrol,11.1,5.8,7.8,25.4,48.7,36.2,186,1206,71.0,0.608,0.094,0.081,,
FORD,Mondeo 2004½ Model Year Onwards,2.0i 16V Saloon ,M5,1999,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,187,1206,72.0,0.671,0.121,0.091,,
FORD,Mondeo 2004½ Model Year Onwards,2.0i 16V Saloon ,A4,1999,Petrol,12.6,7.2,9.1,22.4,39.2,31.0,218,1408,70.0,0.401,0.129,0.093,,
FORD,Mondeo 2004½ Model Year Onwards,2.0i 16V Estate ,M5,1999,Petrol,11.3,6.0,8.0,25.0,47.1,35.3,191,1236,72.0,0.671,0.121,0.091,,
FORD,Mondeo 2004½ Model Year Onwards,2.0i 16V Estate ,A4,1999,Petrol,12.7,7.3,9.2,22.2,38.7,30.7,221,1422,70.0,0.401,0.129,0.093,,
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Saloon ,M5,1998,Diesel,7.8,4.4,5.6,36.2,64.2,50.4,148,909,71.0,0.269,,0.376,0.398,0.036
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Saloon ,M6,1998,Diesel,7.8,4.7,5.7,36.2,60.1,49.6,151,924,73.0,0.259,,0.495,0.513,0.025
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Saloon ,A5,1998,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,196,1200,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Estate ,M5,1998,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,153,941,71.0,0.269,,0.376,0.398,0.036
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Estate ,M6,1998,Diesel,7.9,4.8,5.8,35.8,58.9,48.7,154,941,73.0,0.259,,0.495,0.513,0.025
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (115PS) Estate ,A5,1998,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,198,1215,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (130PS) Saloon ,M6,1998,Diesel,7.7,4.7,5.8,36.7,60.1,48.7,154,941,73.0,0.328,,0.362,0.406,0.030
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (130PS) Saloon ,A5,1998,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,196,1200,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (130PS) Estate ,M6,1998,Diesel,7.8,4.9,6.0,36.2,57.6,47.1,158,973,73.0,0.328,,0.362,0.406,0.030
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratorq TDCi (130PS) Estate ,A5,1998,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,198,1215,68.0,0.198,,0.478,0.509,0.044
FORD,Mondeo 2004½ Model Year Onwards,2.2 Duratorq TDCi Saloon ,M6,2198,Diesel,8.2,4.9,6.1,34.4,57.6,46.3,161,990,74.0,0.222,,0.393,0.418,0.018
FORD,Mondeo 2004½ Model Year Onwards,2.2 Duratorq TDCi Estate ,M6,2198,Diesel,8.4,5.1,6.3,33.6,56.5,44.8,166,1023,74.0,0.222,,0.393,0.418,0.018
FORD,Galaxy,2.3i DOHC ,M5,2295,Petrol,14.0,7.8,10.1,20.2,36.2,28.0,242,1559,74.0,0.559,0.128,0.078,,
FORD,Galaxy,2.3i DOHC ,A4,2295,Petrol,15.1,8.6,11.0,18.7,32.8,25.7,264,1698,72.0,0.341,0.106,0.084,,
FORD,Galaxy,1.9 PD TDi (90PS) ,M6,1896,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,176,1053,73.0,0.081,,0.387,0.411,0.025
FORD,Galaxy,1.9 PD TDi (115PS) ,M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,1071,74.0,0.463,,0.387,0.464,0.035
FORD,Galaxy,1.9 PD TDi (115PS) ,A5,1896,Diesel,9.9,6.5,7.8,28.5,43.5,36.2,211,1266,73.0,0.159,,0.457,0.484,0.026
FORD,Galaxy,1.9 PD TDI (130PS) ,M6,1896,Diesel,8.3,5.5,6.5,34.0,51.4,43.5,176,1053,70.0,0.247,,0.319,0.354,0.026
FORD,Galaxy,1.9 PD TDi (150PS) ,M6,1896,Diesel,8.4,5.5,6.6,33.6,51.4,42.8,178,1071,72.0,0.352,,0.369,0.421,0.028
FORD,Tourneo Connect ,1.8 TDCi (90PS) ,M5,1753,Diesel,7.9,5.8,6.6,35.8,48.7,42.8,172,1071,73.0,0.190,,0.430,0.480,0.040
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 62.5kW (85PS) 4.23 FDR ,M5,1998,Diesel,10.0,6.9,8.0,28.2,40.9,35.3,212,1298,72.0,0.143,,0.718,0.732,0.068
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 62.5kW (85PS) 4.54 FDR ,M5,1998,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,212,1298,72.0,0.121,,0.699,0.720,0.066
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 73.6kW (100PS) 4.23 FDR ,M5,1998,Diesel,9.9,6.8,7.9,28.5,41.5,35.8,210,1280,74.0,0.125,,0.735,0.751,0.072
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 73.6kW (100PS) 4.54 FDR ,M5,1998,Diesel,9.9,6.7,7.9,28.5,42.2,35.8,209,1280,74.0,0.132,,0.654,0.674,0.071
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDCi 92kW (125PS) 4.23 FDR ,M5,1998,Diesel,9.3,6.6,7.6,30.4,42.8,37.2,201,1232,73.0,0.240,,0.630,0.670,0.090
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDCi 92kW (125PS) 4.54 FDR ,M5,1998,Diesel,9.7,6.8,7.9,29.1,41.5,35.8,208,1280,73.0,0.240,,0.630,0.670,0.090
HONDA,Civic 3 Door ,1.4i S,5MT,1396,Petrol,8.0,5.4,6.3,35.3,52.3,44.8,150,974,71.8,0.391,0.126,0.036,,
HONDA,Civic 3 Door ,1.6i VTEC SE ,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,1020,73.0,0.424,0.125,0.038,,
HONDA,Civic 3 Door ,1.6i VTEC SE ,4AT,1590,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,169,1097,71.6,0.606,0.106,0.051,,
HONDA,Civic 3 Door ,1.6i VTEC Sport ,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,1020,71.7,0.424,0.125,0.038,,
HONDA,Civic 3 Door ,2.0 i-VTEC Type-R ,M6,1998,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,212,1377,72.0,0.475,0.050,0.028,,
HONDA,Civic 5 Door ,1.4i S ,5MT,1396,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,990,71.3,0.311,0.134,0.046,,
HONDA,Civic 5 Door ,1.4i SE ,5MT,1396,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,990,71.3,0.311,0.134,0.046,,
HONDA,Civic 5 Door ,1.4i SE ,4AT,1396,Petrol,9.9,5.7,7.2,28.5,49.6,39.2,172,1113,68.6,0.443,0.157,0.064,,
HONDA,Civic 5 Door ,1.6i VTEC SE ,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,1020,71.5,0.329,0.113,0.041,,
HONDA,Civic 5 Door ,1.6i VTEC SE ,4AT,1590,Petrol,9.8,5.8,7.2,28.8,48.7,39.2,172,1113,69.9,0.383,0.114,0.080,,
HONDA,Civic 5 Door ,1.6i VTEC Executive ,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,1020,71.5,0.329,0.113,0.041,,
HONDA,Civic 5 Door ,1.6i VTEC Executive ,4AT,1590,Petrol,9.8,5.8,7.2,28.8,48.7,39.2,172,1113,69.9,0.383,0.114,0.080,,
HONDA,Civic 1.7 Diesel,1.7i CTDi SE 5 Door ,5MT,1686,Diesel,6.3,4.4,5.0,44.8,64.2,56.5,134,811,71.0,0.220,,0.400,0.450,0.024
HONDA,Civic 1.7 Diesel,1.7i CTDi SE 3 Door ,5MT,1686,Diesel,6.3,4.4,5.0,44.8,64.2,56.5,134,811,71.0,0.220,,0.400,0.450,0.024
HONDA,HR-V,1.6i VTEC 5 Door ,5MT,1590,Petrol,10.4,7.6,8.6,27.2,37.2,32.8,205,1331,71.7,1.081,0.118,0.055,,,
HONDA,STREAM,2.0i-VTEC Sport ,5MT,1998,Petrol,11.4,7.0,8.6,24.8,40.4,32.8,204,1331,71.7,0.730,0.070,0.020,,,
HONDA,STREAM,2.0i-VTEC Sport ,SS5,1998,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,213,1390,70.5,0.600,0.070,0.010,,,
HONDA,HONDA S2000,2.0i VTEC,6MT,1997,Petrol,13.7,8.0,10.0,20.6,35.3,28.2,237,1548,72.6,1.022,0.080,0.075,,,
HONDA,Insight,Insight ,5MT,995,Petrol Electric,4.1,3.0,3.4,68.9,94.2,83.1,80,256,69.0,0.179,0.084,0.032,,,
HONDA,NSX,3.2i Coupé ,6MT,3179,Petrol,17.9,9.1,12.4,15.8,31.0,22.8,291,1914,72.0,0.740,0.087,0.053,,,
HONDA,NSX,3.2i Targa (Open Top) ,6MT,3179,Petrol,17.9,9.1,12.4,15.8,31.0,22.8,291,1914,72.0,0.740,0.087,0.053,,,
HONDA,NSX,3.0i Coupé ,4AT,2977,Petrol,18.3,8.8,12.3,15.4,32.1,23.0,287,1897,73.0,1.009,0.096,0.037,,,
HONDA,NSX,3.0i Targa (Open Top) ,4AT,2977,Petrol,18.3,8.8,12.3,15.4,32.1,23.0,287,1897,73.0,1.009,0.096,0.037,,,
HYUNDAI,Getz,1.1l ,M5,1086,Petrol,7.1,4.8,5.6,39.8,58.9,50.4,133,866,72.0,0.470,0.023,0.012,0.035,,
HYUNDAI,Getz,1.3l ,M5,1341,Petrol,7.0,5.0,5.7,40.4,56.5,49.6,136,880,70.0,0.372,0.034,0.036,0.070,,
HYUNDAI,Getz,1.3l ,A4,1341,Petrol,9.0,5.6,6.9,31.4,50.4,40.9,164,1067,71.0,0.312,0.037,0.036,0.073,,
HYUNDAI,Getz,1.6l ,M5,1599,Petrol,7.9,5.4,6.3,35.8,52.3,44.8,150,974,71.0,0.350,0.040,0.010,0.050,,
HYUNDAI,Getz,1.6l ,A4,1599,Petrol,9.7,6.0,7.3,29.1,47.1,38.7,175,1128,72.0,0.400,0.050,0.040,0.090,,
HYUNDAI,Getz,1.5l CRTD ,M5,1493,Diesel,6.0,3.8,4.7,47.1,74.3,60.1,122,762,73.0,0.200,,0.420,0.440,0.030,
HYUNDAI,Accent,1.3l SOHC ,M5,1341,Petrol,7.8,5.1,6.0,36.2,55.4,47.1,144,927,72.0,0.384,0.036,0.036,0.072,,
HYUNDAI,Accent,1.6l DOHC ,M5,1599,Petrol,9.0,5.4,6.7,31.4,52.3,42.2,160,1034,72.0,0.500,0.050,0.010,0.060,
HYUNDAI,Accent,1.6l DOHC ,A4,1599,Petrol,10.2,6.2,7.7,27.7,45.6,36.7,183,1189,72.0,0.500,0.050,0.050,0.100,
HYUNDAI,Accent,1.5l CRTD ,M5,1493,Diesel,6.8,4.0,5.0,41.5,70.6,56.5,132,811,73.0,0.200,,0.397,0.420,0.031
HYUNDAI,Matrix,1.6l DOHC ,M5,1599,Petrol,9.1,6.3,7.3,31.0,44.8,38.7,174,1128,74.0,0.480,0.050,0.020,0.070,
HYUNDAI,Matrix,1.6l DOHC ,A4,1599,Petrol,11.1,6.6,8.3,25.4,42.8,34.0,198,1284,74.0,0.410,0.050,0.020,0.070,
HYUNDAI,Matrix,1.8l DOHC ,M5,1795,Petrol,10.8,6.7,8.3,26.2,42.2,34.0,198,1284,74.0,0.480,0.040,0.020,0.060,
HYUNDAI,Matrix,1.8l DOHC ,A4,1795,Petrol,12.2,7.0,9.0,23.2,40.4,31.4,215,1390,72.0,0.360,0.040,0.020,0.060,
HYUNDAI,Matrix,1.5l CRTD ,M5,1493,Diesel,6.8,4.6,5.4,41.5,61.4,52.3,142,876,72.0,0.317,,0.398,0.449,0.033
HYUNDAI,Elantra,2.0l CRTD ,M5,1991,Diesel,8.2,4.9,6.1,34.4,57.6,46.3,160,990,74.0,0.150,,0.340,0.374,0.034
HYUNDAI,Coupé,1.6l DOHC ,M5,1599,Petrol,9.8,6.3,7.6,28.8,44.8,37.2,182,1173,73.0,0.204,0.034,0.108,0.142,
HYUNDAI,Coupé,2.0l ,M5,1975,Petrol,10.9,6.4,8.0,25.9,44.1,35.3,193,1236,74.0,0.276,0.024,0.036,0.060,
HYUNDAI,Coupé,2.0l ,A4,1975,Petrol,11.9,6.6,8.5,23.7,42.8,33.2,203,1315,73.0,0.180,0.035,0.048,0.083,
HYUNDAI,Coupé,2.7l V6 ,M6,2656,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,236,1531,73.0,0.144,0.020,0.048,0.068,
HYUNDAI,Coupé,2.7l V6 ,A4,2656,Petrol,14.2,8.0,10.3,19.9,35.3,27.4,247,1593,71.0,0.108,0.036,0.000,0.036,
HYUNDAI,Trajet,2.0l DOHC ,M5,1997,Petrol,11.2,7.2,8.7,25.2,39.2,32.5,208,1343,74.0,0.552,0.038,0.012,0.050,
