Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
TOYOTA,Avensis,1.8 VVT-i 5 door CDX,,A4,1794,Petrol,11.2,6.5,8.3,25.2,43.5,34.0,197,602,IV,71.0,0.390,,0.060,0.010
TOYOTA,Avensis,1.8 VVT-i Estate,,M5,1794,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,182,550,IV,73.0,0.540,,0.040,0.020
VAUXHALL,"Agila, Model Year 2001",1.0i 12v,,M5,973,Petrol,7.5,5.6,6.3,37.7,50.4,44.8,151,457,IV,72.0,0.403,0.115,0.064,0.051
VAUXHALL,"Agila, Model Year 2001",1.2i 16v,,M5,1199,Petrol,8.0,5.7,6.5,35.3,49.6,43.5,156,470,IV,73.0,0.348,0.087,0.055,0.032
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Estate,,M5,1389,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,180,543,IV,73.0,0.247,0.117,0.094,0.023
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Hatch,,M5,1389,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,522,IV,73.0,0.247,0.117,0.094,0.023
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,,M5,1598,Petrol,9.8,5.8,7.3,28.8,48.7,38.7,175,529,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,,A4,1598,Petrol,11.4,6.6,8.4,24.8,42.8,33.6,201,609,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,,M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,172,522,IV,72.0,0.219,0.063,0.037,0.026
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,,A4,1598,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,190,571,IV,72.0,0.318,0.085,0.044,0.041
VAUXHALL,"Astra, Model Year 2001",1.6i Hatch/Saloon,,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,514,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i 3 Door Hatch,,A4,1598,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,195,586,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 5 Door Hatch/Saloon,,A4,1598,Petrol,11.3,6.4,8.2,25.0,44.1,34.4,197,595,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 3 Door Hatch,,M5,1598,Petrol,9.5,5.5,7.0,29.7,51.4,40.4,168,506,IV,72.0,0.487,0.056,0.030,0.026
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 5 Door Hatch/Saloon,,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,514,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Hatch/Saloon,,A4,1598,Petrol,10.6,6.0,7.7,26.6,47.1,36.7,185,557,IV,72.0,0.318,0.085,0.044,0.041
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,,M5,1796,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,580,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,,A4,1796,Petrol,12.1,6.8,8.8,23.3,41.5,32.1,211,637,IV,71.0,0.486,0.050,0.037,0.013
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,,M5,1796,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,565,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,,A4,1796,Petrol,12.0,6.6,8.6,23.5,42.8,32.8,207,624,IV,71.0,0.486,0.050,0.037,0.013
VAUXHALL,"Astra, Model Year 2001",2.2i 16v Hatch,,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,609,IV,74.0,0.755,0.069,0.043,0.026
VAUXHALL,"Astra Coupé, Model Year 2001",1.8i 16v,,M5,1796,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,565,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra Coupé, Model Year 2001",2.0i 16v turbo,,M5,1998,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,214,645,IV,74.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,609,IV,74.0,0.755,0.069,0.043,0.026
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,,A4,2198,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,207,624,IV,73.0,0.522,0.124,0.061,0.063
VAUXHALL,"Corsa, Model Year 2001",1.0i 12v,,M5,973,Petrol,7.2,4.7,5.6,39.2,60.1,50.4,135,406,IV,71.0,0.342,0.108,0.060,0.048
VAUXHALL,"Corsa, Model Year 2001",1.2i 16v,,M5,1199,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,151,457,IV,71.0,0.211,0.083,0.052,0.031
VAUXHALL,"Corsa, Model Year 2001",1.2i 16v,,MTA,1199,Petrol,8.0,5.2,6.2,35.3,54.3,45.6,149,449,IV,73.0,0.253,0.083,0.054,0.029
VAUXHALL,"Corsa, Model Year 2001",1.4i 16v,,M5,1389,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,173,522,IV,72.0,0.371,0.071,0.045,0.026
VAUXHALL,"Corsa, Model Year 2001",1.4i 16v 3 Door,,A4,1389,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,190,571,IV,72.0,0.287,0.122,0.065,0.057
VAUXHALL,"Corsa, Model Year 2001",1.4i 16v 5 Door,,A4,1389,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,192,580,IV,72.0,0.287,0.122,0.065,0.057
VAUXHALL,"Corsa, Model Year 2001",1.8i 16v,,M5,1796,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,190,571,IV,74.0,0.657,0.058,0.047,0.011
VAUXHALL,"Omega, Model Year 2001",2.2i 16v Estate,,M5,2198,Petrol,14.1,7.3,9.8,20.0,38.7,28.8,236,710,IV,74.0,0.406,0.100,0.064,0.036
VAUXHALL,"Omega, Model Year 2001",2.2i 16v Saloon,,M5,2198,Petrol,14.0,7.1,9.6,20.2,39.8,29.4,231,696,IV,74.0,0.406,0.100,0.064,0.036
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,,M5,1598,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,171,514,IV,72.0,0.273,0.062,0.043,0.019
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,,A4,1598,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,195,586,IV,71.0,0.418,0.104,0.038,0.066
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate  (exc. SXi/SRi),,M5,1798,Petrol,10.8,6.0,7.8,26.2,47.1,36.2,187,565,IV,72.0,0.784,0.074,0.063,0.011
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate SXi/SRi,,M5,1798,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,580,IV,72.0,0.503,0.047,0.035,0.012
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate,,A4,1798,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,211,637,IV,72.0,0.693,0.082,0.066,0.016
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon (exc. SXi/SRi),,M5,1798,Petrol,10.7,5.8,7.6,26.4,48.7,37.2,183,550,IV,72.0,0.784,0.074,0.063,0.011
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon SXi/SRi,,M5,1798,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,565,IV,72.0,0.503,0.047,0.035,0.012
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon,,A4,1798,Petrol,12.1,6.6,8.6,23.3,42.8,32.8,207,624,IV,72.0,0.693,0.082,0.066,0.016
VAUXHALL,"Vectra, Model Year 2001",2.2i 16v Estate,,M5,2198,Petrol,12.1,6.5,8.6,23.3,43.5,32.8,207,624,IV,73.0,0.904,0.124,0.076,0.048
VAUXHALL,"Vectra, Model Year 2001",2.2i 16v Estate,,A4,2198,Petrol,13.2,7.0,9.3,21.4,40.4,30.4,224,673,IV,73.0,0.457,0.096,0.048,0.048
VAUXHALL,"Vectra, Model Year 2001",2.2i 16v Hatch/Saloon,,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,609,IV,73.0,0.904,0.124,0.076,0.048
VAUXHALL,"Vectra, Model Year 2001",2.2i 16v Hatch/Saloon,,A4,2198,Petrol,13.1,6.8,9.1,21.6,41.5,31.8,219,643,IV,73.0,0.417,0.096,0.048,0.048
VAUXHALL,"VX220, Model Year 2001",VX220,,M5,2198,Petrol,12.3,6.4,8.5,23.0,44.0,33.3,205,614,IV,74.0,0.366,0.059,0.016,0.043
VAUXHALL,"Zafira, Model Year 2001",1.6i 16v,,M5,1598,Petrol,10.3,6.5,7.9,27.4,43.5,35.8,190,571,IV,73.0,0.219,0.063,0.037,0.026
VAUXHALL,"Zafira, Model Year 2001",1.8i 16v,,M5,1796,Petrol,11.4,6.9,8.6,24.8,40.9,32.8,207,624,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Zafira, Model Year 2001",1.8i 16v,,A4,1796,Petrol,12.4,7.2,9.1,22.8,39.2,31.0,219,660,IV,71.0,0.486,0.050,0.037,0.013
VAUXHALL,"Zafira, Model Year 2001",2.2i 16v,,M5,2198,Petrol,12.2,7.0,8.9,23.2,40.4,31.7,214,645,IV,74.0,0.755,0.069,0.043,0.026
VAUXHALL,"Zafira, Model Year 2001",2.2i 16v,,A4,2198,Petrol,13.1,7.4,9.5,21.6,38.2,29.7,228,689,IV,73.0,0.552,0.124,0.061,0.063
VOLKSWAGEN,Lupo,1.0 (50 bhp),,M5,999,Petrol,7.8,4.7,5.8,36.2,60.1,48.7,139,420,IV,72.5,0.209,,0.071,0.025
VOLKSWAGEN,Lupo,1.4 (75 bhp),,M5,1390,Petrol,8.7,4.9,6.3,32.5,57.6,44.8,151,457,IV,72.5,0.294,,0.067,0.030
VOLKSWAGEN,Lupo,1.4 (75 bhp),,A4,1390,Petrol,10.1,5.7,7.3,28.0,49.6,38.7,175,529,IV,71.0,0.203,,0.089,0.025
VOLKSWAGEN,Lupo,1.4 (100 bhp),,M5,1390,Petrol,9.6,5.2,6.8,29.4,54.3,41.5,163,493,IV,73.0,0.283,,0.061,0.014
VOLKSWAGEN,Lupo,1.6 16v (125 bhp),,M6,1598,Petrol,10.5,5.6,7.4,26.9,50.4,38.2,178,536,IV,74.0,0.293,,0.076,0.040
VOLKSWAGEN,Polo Hatch,1.0 (50 bhp),,M5,999,Petrol,8.0,4.8,6.0,35.3,58.9,47.1,144,434,IV,72.0,0.209,,0.071,0.025
VOLKSWAGEN,Polo Hatch,1.4 (60 bhp),,M5,1390,Petrol,8.8,5.0,6.4,32.1,56.5,44.1,154,464,IV,73.0,0.251,,0.043,0.023
VOLKSWAGEN,Polo Hatch,1.4 (60 bhp),,A4,1390,Petrol,10.5,6.3,7.8,26.9,44.8,36.2,187,565,IV,73.0,0.310,,0.062,0.019
VOLKSWAGEN,Polo Hatch,1.4 16V (75 bhp),,M5,1390,Petrol,9.1,5.0,6.5,31.0,56.5,43.5,156,470,IV,72.5,0.355,,0.071,0.032
VOLKSWAGEN,Polo Hatch,1.4 16V (75 bhp),,A4,1390,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,180,543,IV,70.0,0.110,,0.072,0.070
VOLKSWAGEN,Polo Hatch,1.4 16V (100 bhp),,M5,1390,Petrol,9.8,5.4,7.0,28.8,52.3,40.4,168,506,IV,74.0,0.283,,0.061,0.014
VOLKSWAGEN,Polo Hatch,1.6 GTI (125 bhp),,M5,1598,Petrol,10.2,5.5,7.2,27.7,51.4,39.2,173,522,IV,74.0,0.191,,0.059,0.042
VOLKSWAGEN,Polo Saloon,1.4 (75 bhp),,M5,1390,Petrol,9.2,5.4,6.8,30.7,52.3,41.5,163,493,IV,72.0,0.301,,0.086,0.074
VOLKSWAGEN,Polo Saloon,1.6 (100 bhp),,M5,1590,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,190,571,IV,71.0,0.592,,0.061,0.058
VOLKSWAGEN,Polo Estate,1.4 (75 bhp),,M5,1390,Petrol,9.2,5.5,6.9,30.7,51.4,40.9,166,500,IV,73.0,0.301,,0.086,0.074
VOLKSWAGEN,Polo Estate,1.6 (100 bhp),,M5,1595,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,580,IV,72.0,0.583,,0.046,0.054
VOLKSWAGEN,Golf  Hatchback (3 Door),1.4 (75 bhp),,M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,493,IV,72.0,0.121,,0.074,0.040
VOLKSWAGEN,Golf  Hatchback (3 Door),2.0 (115 bhp),,M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,586,IV,73.0,0.794,,0.068,0.030
VOLKSWAGEN,Golf  Hatchback (3 Door),1.8T (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
VOLKSWAGEN,Golf  Hatchback (3 Door),V5 (170 bhp),,M5,2324,Petrol,12.5,6.7,8.8,22.6,42.2,32.1,211,637,IV,72.0,0.461,,0.058,0.048
VOLKSWAGEN,Golf  Hatchback (3 Door),V6 4MOTION (204 bhp),,QM6,2792,Petrol,15.7,8.2,11.0,18.0,34.4,25.7,264,796,IV,74.0,0.473,,0.059,0.025
VOLKSWAGEN,Golf Hatchback (5 Door),1.4 (75 bhp),,M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,493,IV,72.0,0.121,,0.074,0.040
VOLKSWAGEN,Golf Hatchback (5 Door),1.6 (102 bhp),,A4,1595,Petrol,11.5,6.4,8.3,24.6,44.1,34.0,199,602,IV,67.0,0.480,,0.058,0.044
VOLKSWAGEN,Golf Hatchback (5 Door),1.6 (105 bhp),,M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,522,IV,72.0,0.353,,0.061,0.032
VOLKSWAGEN,Golf Hatchback (5 Door),2.0 (115 bhp),,M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,586,IV,73.0,0.794,,0.068,0.030
VOLKSWAGEN,Golf Hatchback (5 Door),1.8T (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
VOLKSWAGEN,Golf Hatchback (5 Door),V5 (170 bhp),,M5,2324,Petrol,12.5,6.7,8.8,22.6,42.2,32.1,211,637,IV,72.0,0.461,,0.058,0.048
VOLKSWAGEN,Golf Hatchback (5 Door),V6 4MOTION,,QM6,2792,Petrol,15.8,8.3,11.1,17.9,34.0,25.4,266,805,IV,74.0,0.473,,0.059,0.025
VOLKSWAGEN,Golf Estate,1.4 (75 bhp),,M5,1390,Petrol,9.3,5.6,7.0,30.4,50.4,40.4,168,506,IV,72.0,0.121,,0.074,0.040
VOLKSWAGEN,Golf Estate,1.6 (102 bhp),,A4,1595,Petrol,11.6,6.5,8.4,24.4,43.5,33.6,202,609,IV,67.0,0.480,,0.058,0.044
VOLKSWAGEN,Golf Estate,1.6 (105 bhp),,M5,1598,Petrol,9.5,5.7,7.1,29.7,49.6,39.8,170,514,IV,71.0,0.504,,0.083,0.047
VOLKSWAGEN,Golf Estate,2.0 (115 bhp),,A4,1984,Petrol,13.1,7.2,9.3,21.6,39.2,30.4,223,673,IV,71.0,0.391,,0.047,0.026
VOLKSWAGEN,Golf Estate,2.0 (115 bhp),,M5,1984,Petrol,11.4,6.3,8.2,24.8,44.8,34.4,197,595,IV,72.0,0.245,,0.014,0.020
VOLKSWAGEN,Golf Estate,1.8T (150 bhp),,M5,1781,Petrol,10.9,6.4,8.1,25.9,44.1,34.9,194,586,IV,71.0,0.667,,0.054,0.030
VOLKSWAGEN,Golf Cabriolet,2.0 (115 bhp),,M5,1984,Petrol,11.3,6.3,8.1,25.0,44.8,34.9,194,586,IV,72.0,0.569,,0.064,0.032
VOLKSWAGEN,Beetle,1.6 (102 bhp),,M5,1598,Petrol,10.5,6.0,7.7,26.9,47.1,36.7,185,557,IV,73.0,0.530,,0.055,0.031
VOLKSWAGEN,Beetle,1.6 (102 bhp),,A4,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,199,602,IV,69.0,0.751,,0.068,0.040
VOLKSWAGEN,Beetle,2.0 (115 bhp),,M5,1984,Petrol,11.9,6.8,8.7,23.7,41.5,32.5,209,629,IV,73.5,0.685,,0.068,0.030
VOLKSWAGEN,Beetle,1.8T (150 bhp),,M5,1718,Petrol,11.1,6.5,8.2,25.4,43.5,34.4,197,595,IV,72.0,0.646,,0.047,0.017
VOLKSWAGEN,Beetle,1.8T (150 bhp),,A4,1718,Petrol,12.9,7.1,9.2,21.9,39.8,30.7,221,666,IV,74.0,0.527,,0.041,0.029
VOLKSWAGEN,Bora,1.6 (102 bhp),,A4,1595,Petrol,11.5,6.4,8.3,24.6,44.1,34.0,199,602,IV,67.0,0.480,,0.058,0.044
VOLKSWAGEN,Bora,1.6 (105 bhp),,M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,522,IV,72.0,0.353,,0.061,0.032
VOLKSWAGEN,Bora,2.0 (115 bhp),,M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,586,IV,73.0,0.794,,0.068,0.030
VOLKSWAGEN,Bora,2.0 (115 bhp),,A4,1984,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,666,IV,71.0,0.391,,0.047,0.026
VOLKSWAGEN,Bora,1.8T (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
VOLKSWAGEN,Bora,V5 (170 bhp),,M5,2324,Petrol,12.6,6.8,8.9,22.4,41.5,31.7,214,645,IV,72.0,0.461,,0.058,0.048
VOLKSWAGEN,Bora,V5 (170 bhp),,A5,2324,Petrol,13.9,7.4,9.8,20.3,38.2,28.8,235,710,IV,73.0,0.661,,0.079,0.017
VOLKSWAGEN,Bora,V6 4MOTION (204 bhp),,QM6,2792,Petrol,15.8,8.3,11.1,17.9,34.0,25.4,266,805,IV,74.0,0.473,,0.059,0.025
VOLKSWAGEN,New Passat  Saloon,2.0 (115 bhp),,A4,1984,Petrol,13.4,7.6,9.7,21.1,37.2,29.1,233,703,IV,71.0,0.536,,0.041,0.017
VOLKSWAGEN,New Passat  Saloon,2.0 (115 bhp),,M5,1984,Petrol,12.1,6.6,8.6,23.3,42.8,32.8,206,624,IV,73.0,0.337,,0.023,0.016
VOLKSWAGEN,New Passat  Saloon,1.8T (150 bhp),,A5,1781,Petrol,13.6,7.2,9.6,20.8,39.2,29.4,233,696,IV,71.0,0.392,,0.041,0.037
VOLKSWAGEN,New Passat  Saloon,1.8T (150 bhp),,M5,1781,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,199,602,IV,72.0,0.350,,0.032,0.037
VOLKSWAGEN,New Passat  Saloon,2.3 V5 (170 bhp),,A5,2324,Petrol,15.0,7.1,9.9,18.8,39.8,28.5,238,718,IV,71.0,0.593,,0.065,0.040
VOLKSWAGEN,New Passat  Saloon,2.3 V5 (170 bhp),,M5,2324,Petrol,13.0,7.2,9.3,21.7,39.2,30.4,223,673,IV,71.0,0.468,,0.066,0.062
VOLKSWAGEN,New Passat  Saloon,V6 4MOTION (193 bhp),,QA5,2771,Petrol,16.4,8.0,11.1,17.2,35.3,25.4,266,805,IV,73.0,0.295,,0.052,0.012
VOLKSWAGEN,New Passat  Saloon,V6 4MOTION (193 bhp),,QM5,2771,Petrol,15.4,8.1,10.8,18.3,34.9,26.2,259,781,IV,72.0,0.275,,0.028,0.023
VOLKSWAGEN,New Passat Estate,2.0  (115 bhp),,A4,1984,Petrol,13.8,7.8,10.0,20.5,36.2,28.2,240,725,IV,71.0,0.536,,0.041,0.017
VOLKSWAGEN,New Passat Estate,2.0  (115 bhp),,M5,1984,Petrol,12.3,6.9,8.8,23.0,40.9,32.1,211,637,IV,73.0,0.337,,0.023,0.016
VOLKSWAGEN,New Passat Estate,1.8T (150 bhp),,A5,1781,Petrol,13.7,7.4,9.8,20.6,38.2,28.8,235,710,IV,71.0,0.392,,0.041,0.037
VOLKSWAGEN,New Passat Estate,1.8T (150 bhp),,M5,1781,Petrol,11.8,6.8,8.6,23.9,41.5,32.8,206,624,IV,72.0,0.350,,0.032,0.037
VOLKSWAGEN,New Passat Estate,2.3 V5 (170 bhp),,A5,2324,Petrol,15.3,7.3,10.3,18.5,38.7,27.4,247,747,IV,71.0,0.593,,0.065,0.040
VOLKSWAGEN,New Passat Estate,2.3 V5 (170 bhp),,M5,2324,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,226,680,IV,71.0,0.468,,0.066,0.062
VOLKSWAGEN,New Passat Estate,V6 4MOTION (193 bhp),,QA5,2771,Petrol,16.7,8.2,11.3,16.9,34.4,25.0,271,818,IV,73.0,0.295,,0.052,0.012
VOLKSWAGEN,New Passat Estate,V6 4MOTION (193 bhp),,QM5,2771,Petrol,15.5,8.2,10.9,18.2,34.4,25.9,262,790,IV,72.0,0.275,,0.028,0.023
VOLKSWAGEN,Sharan,2.0 (115 bhp),,A4,1984,Petrol,14.8,8.7,11.0,19.1,32.5,25.7,264,796,IV,73.0,0.775,,0.088,0.066
VOLKSWAGEN,Sharan,2.0 (115 bhp),,M6,1984,Petrol,13.1,7.7,9.7,21.6,36.7,29.1,233,703,IV,74.0,0.814,,0.067,0.070
VOLKSWAGEN,Sharan,1.8T (150 bhp),,A5,1781,Petrol,14.7,8.6,10.8,19.2,32.8,26.2,259,781,IV,70.0,0.348,,0.091,0.050
VOLKSWAGEN,Sharan,1.8T (150 bhp),,M6,1781,Petrol,13.3,7.6,9.7,21.2,37.2,29.1,233,703,IV,74.0,0.545,,0.061,0.017
VOLKSWAGEN,Sharan,2.8 V6 (204 bhp),,A5,2792,Petrol,16.8,9.2,12.0,16.8,30.7,23.5,288,871,IV,73.0,0.449,,0.061,0.016
VOLKSWAGEN,Sharan,2.8 V6 (204 bhp),,M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,781,IV,73.0,0.280,,0.071,0.059
VOLKSWAGEN,Sharan,V6 4MOTION (204 bhp),,QM6,2792,Petrol,15.5,9.3,11.6,18.2,30.4,24.4,278,838,IV,74.0,0.348,,0.059,0.054
VOLKSWAGEN,Caddy Kombi,1.4 P (75 bhp),,M5,1390,Petrol,9.9,6.7,7.9,28.5,42.2,35.8,190,571,IV,73.0,0.526,0.155,0.095,0.060
VOLVO,New V70 Model Year 2001 - 02,2.4 (170 bhp),,M5,2435,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,637,IV,72.0,0.636,0.072,0.047,0.025
VOLVO,New V70 Model Year 2001 - 02,2.4 (170 bhp),,A5,2435,Petrol,13.2,7.2,9.4,21.4,39.2,30.1,224,680,IV,73.0,0.376,0.057,0.031,0.026
VOLVO,New V70 Model Year 2001 - 02,2.4 (140 bhp),,M5,2435,Petrol,11.7,6.8,8.6,24.1,41.5,32.8,205,624,IV,73.0,0.558,0.054,0.037,0.017
VOLVO,New V70 Model Year 2001 - 02,2.4 (140 bhp),,A5,2435,Petrol,13.1,7.1,9.3,21.6,39.8,30.4,222,673,IV,73.0,0.433,0.071,0.036,0.035
VOLVO,S80 Model Year 2001 - 02,2.9,,M5,2922,Petrol,14.7,7.6,10.2,19.2,37.2,27.7,246,739,IV,71.0,0.187,0.071,0.061,0.010
VOLVO,S80 Model Year 2001 - 02,2.9,,A4,2922,Petrol,15.3,7.6,10.4,18.5,37.2,27.2,251,752,IV,72.0,0.205,0.075,0.071,0.004
VOLVO,S80 Model Year 2001 - 02,2.4 (170 bhp),,M5,2435,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,210,637,IV,72.0,0.472,0.064,0.034,0.030
VOLVO,S80 Model Year 2001 - 02,2.4 (170 bhp),,A5,2435,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,680,IV,73.0,0.406,0.075,0.037,0.038
VOLVO,S80 Model Year 2001 - 02,2.4 (140 bhp),,M5,2435,Petrol,11.8,6.7,8.6,23.9,42.2,32.8,205,624,IV,73.0,0.526,0.061,0.038,0.023
VOLVO,S80 Model Year 2001 - 02,2.4 (140 bhp),,A5,2435,Petrol,13.3,7.0,9.3,21.2,40.4,30.4,222,673,IV,74.0,0.467,0.069,0.038,0.031
