Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,A6 Saloon (Available From July 2001),2.4 V6 Multitronic (170 bhp),,AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,703,IV,73.0,0.274,,0.050,0.035
AUDI,A6 Saloon (Available From July 2001),2.4 V6 Quattro (170 bhp),,QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,796,IV,73.0,0.257,,0.044,0.026
AUDI,A6 Saloon (Available From July 2001),2.4 V6 Quattro (170 bhp),,QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25.0,271,818,IV,73.0,0.184,,0.049,0.037
AUDI,A6 Saloon (Available From July 2001),4.2 V8 Quattro (340 bhp),,QA5,4172,Petrol,14.1,7.2,9.7,20.0,39.2,29.1,233,703,IV,74.0,0.514,,0.055,0.029
AUDI,A6 Saloon (Available From July 2001),S6 4.2 V8 Quattro (340 bhp),,QA5,4172,Petrol,16.6,8.4,11.4,17.0,33.6,24.8,274,825,IV,73.0,0.348,,0.035,0.047
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T (150 bhp),,M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,624,IV,72.0,0.350,,0.032,0.037
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T Multitronic (150 bhp),,AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,629,IV,72.0,0.496,,0.053,0.040
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",1.8 20v T Quattro (150 bhp),,QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,696,IV,74.0,0.420,,0.042,0.040
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 (165 bhp),,M5,2393,Petrol,14.2,7.7,10.1,19.9,36.7,28.0,242,731,IV,72.0,0.229,,0.047,0.036
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 Multitronic (165 bhp),,AV,2393,Petrol,14.4,7.2,9.8,19.6,39.2,28.8,235,710,IV,73.0,0.274,,0.050,0.035
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),,QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,796,IV,73.0,0.257,,0.044,0.026
AUDI,"Audi A6 Avant (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),,QA5,2393,Petrol,16.5,8.3,11.4,17.1,34.0,24.8,274,825,IV,73.0,0.184,,0.049,0.037
