Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
TOYOTA,Land Cruiser,Invincible,A5x2,2982,Diesel,11.4,8.2,9.4,24.8,34.4,30.1,248,1685,76,0.07,,0.47,0.47,0.055
VAUXHALL,Vivaro,9 Seat Combi,M6,1870,Diesel,9.3,6.8,7.7,30.4,41.5,36.7,205,1382,72,0.295,,0.704,0.728,0.083
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,83 PS TDI 2.5 Axle Ratio 4.111,M5,2461,Diesel,12.4,8.1,9.5,22.8,34.9,29.7,257,1708,74,0.212,,0.661,0.713,0.069
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,83 PS TDI 2.5 Axle Ratio 4.375,M5,2461,Diesel,12.7,8.3,9.7,22.2,34,29.1,262,1743,74,0.212,,0.661,0.713,0.069
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,95 PS TDI 2.5 Axle Ratio 3.455 Option,M5,2461,Diesel,11.1,7.8,9,25.4,36.2,31.4,243,1616,74,0.204,,0.703,0.75,0.078
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,95 PS TDI 2.5 Axle Ratio 3.727,M5,2461,Diesel,11.9,8,9.3,23.7,35.3,30.4,251,1669,74,0.204,,0.703,0.75,0.078
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,95 PS TDI 2.5 Axle Ratio 4.111 Option,M5,2461,Diesel,12.6,8.2,9.7,22.4,34.4,29.1,262,1743,74,0.209,,0.691,0.744,0.075
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,109 PS TDI 2.5 Axle Ratio 3.455,M5,2461,Diesel,11.3,7.6,9,25,37.2,31.4,243,1616,74,0.434,,0.763,0.855,0.065
VOLKSWAGEN C.V.,LT 28 Window Van SWB Low Roof,109 PS TDI 2.5 Axle Ratio 3.727 Option,M5,2461,Diesel,12.1,7.8,9.3,23.3,36.2,30.4,251,1669,74,0.434,,0.763,0.855,0.065
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,83 PS TDI 2.5 Axle Ratio 4.375,M5,2461,Diesel,12.4,8.1,9.5,22.8,34.9,29.7,257,1708,74,0.212,,0.661,0.713,0.069
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,95 PS TDI 2.5 Axle Ratio 4.111,M5,2461,Diesel,12.1,8,9.4,23.3,35.3,30.1,254,1685,74,0.209,,0.691,0.744,0.075
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,95 PS TDI 2.5 Axle Ratio 4.375 Option,M5,2461,Diesel,12.6,8.2,9.7,22.4,34.4,29.1,262,1743,74,0.209,,0.691,0.744,0.075
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,109 PS TDI 2.5 Axle Ratio 4.111,M5,2461,Diesel,12.3,7.8,9.4,23,36.2,30.1,254,1685,74,0.306,,0.693,0.772,0.077
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,109 PS TDI 2.5 Axle Ratio 3.727 Option,M5,2461,Diesel,11.3,7.6,9,25,37.2,31.4,243,1616,74,0.434,,0.763,0.855,0.065
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,109 PS TDI 2.5 Axle Ratio 4.375 Option,M5,2461,Diesel,12.8,8,9.7,22.1,35.3,29.1,262,1743,74,0.308,,0.693,0.772,0.077
VOLKSWAGEN C.V.,LT 35 Window Van MWB Low Roof,158 PS TDI 2.8 Axle Ratio 3.727,M5,2799,Diesel,13.3,8.3,10.2,21.2,34,27.7,275,1832,75,0.538,,0.527,0.602,0.065
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,83 PS TDI 2.5 Axle Ratio 4.375,M5,2461,Diesel,12.4,8.1,9.5,22.8,34.9,29.7,257,1708,74,0.212,,0.661,0.713,0.069
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,95 PS TDI 2.5 Axle Ratio 4.111,M5,2461,Diesel,12.1,8,9.4,23.3,35.3,30.1,254,1685,74,0.209,,0.691,0.744,0.075
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,95 PS TDI 2.5 Axle Ratio 4.375 Option,M5,2461,Diesel,12.6,8.2,9.7,22.4,34.4,29.1,262,1743,74,0.209,,0.691,0.744,0.075
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,109 PS TDI 2.5 Axle Ratio 4.375 Option,M5,2461,Diesel,12.8,8,9.7,22.1,35.3,29.1,262,1743,74,0.308,,0.693,0.772,0.077
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,109 PS TDI 2.5 Axle Ratio 3.727 Option,M5,2461,Diesel,11.3,7.6,9,25,37.2,31.4,243,1616,74,0.434,,0.763,0.855,0.065
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,109 PS TDI 2.5 Axle Ratio 4.111,M5,2461,Diesel,12.3,7.8,9.4,23,36.2,30.1,254,1685,74,0.308,,0.693,0.772,0.077
VOLKSWAGEN C.V.,LT 35 Window Van MWB + LWB High Roof,158 PS TDI 2.8 Axle Ratio 3.727,M5,2799,Diesel,13.3,8.3,10.2,21.2,34,27.7,275,1832,75,0.538,,0.527,0.602,0.065
