Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
ALFA ROMEO,Alfa 147,1.6 (120 bhp),M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1380,74,0.131,0.048,0.023,,
ALFA ROMEO,Alfa 147,2,M5,1970,Petrol,12.1,7,8.9,23.3,40.4,31.7,211,1497,74,0.364,0.055,0.06,,
ALFA ROMEO,Alfa 147,1.9 JTDM,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,153,1042,72,0.138,,0.209,0.233,0.024
ALFA ROMEO,Alfa 147,1.9 JTDM 16v,M6,1910,Diesel,8,4.7,5.9,35.3,60.1,47.9,157,1059,74,0.199,,0.216,0.262,0.024
ALFA ROMEO,Alfa GT,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1460,73,0.512,0.066,0.064,,
ALFA ROMEO,Alfa GT,3.2 V6 24v,M6,3179,Petrol,18.6,8.7,12.4,15.2,32.5,22.8,295,2082,74,0.267,0.034,0.061,,
ALFA ROMEO,Alfa GT,1.9 JTDM 16v,M6,1910,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,165,1113,74.5,0.214,,0.221,0.276,0.024
ALFA ROMEO,Alfa 159,1.9 JTS,M6,1859,Petrol,12.2,6.6,8.7,23.2,42.8,32.5,205,1460,73,0.485,0.085,0.057,,
ALFA ROMEO,Alfa 159,2.2 JTS,M6,2198,Petrol,13,7.3,9.4,21.7,38.7,30.1,221,1577,73,0.568,0.028,0.055,,
ALFA ROMEO,Alfa 159,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,273,1929,72,0.566,0.068,0.019,,
ALFA ROMEO,Alfa 159,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,289,2046,71,0.358,0.078,0.046,,
ALFA ROMEO,Alfa 159,1.9 16v JTDM,M6,1910,Diesel,8.1,4.8,6,34.9,58.9,47.1,159,1077,74,0.475,,0.22,0.268,0.003
ALFA ROMEO,Alfa 159,1.9 16v JTDM Qtronic,A6,1910,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,187,1275,74,0.052,,0.214,0.224,0.004
ALFA ROMEO,Alfa 159,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1222,75,0.33,,0.231,0.268,0.005
ALFA ROMEO,Alfa 159,2.4 JTDM Qtronic,A6,2387,Diesel,11.6,5.9,8,24.4,47.9,35.3,210,1437,72,0.172,,0.21,0.237,0.004
ALFA ROMEO,Alfa 159 Sportwagon,1.9 16v,M6,1859,Petrol,12.4,6.7,8.8,22.8,42.2,32.1,209,1479,73,0.485,0.085,0.057,,
ALFA ROMEO,Alfa 159 Sportwagon,2.2 16v,M6,2198,Petrol,13.2,7.3,9.5,21.4,38.7,29.7,224,1598,73,0.568,0.028,0.055,,
ALFA ROMEO,Alfa 159 Sportwagon,3.2 JTS V6 Q4,M6,3195,Petrol,17.1,8.5,11.6,16.5,33.2,24.4,275,1945,72,0.566,0.068,0.019,,
ALFA ROMEO,Alfa 159 Sportwagon,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.6,8.6,12.3,15.2,32.8,23,291,2063,71,0.358,0.078,0.046,,
ALFA ROMEO,Alfa 159 Sportwagon,1.9 JTDM 16v,M6,1910,Diesel,8.3,4.8,6.1,34,58.9,46.3,162,1096,74,0.475,,0.22,0.268,0.003
ALFA ROMEO,Alfa 159 Sportwagon,1.9 16v JTDM QTronic,A6,1910,Diesel,10.1,5.6,7.2,28,50.4,39.2,190,1294,74,0.052,,0.214,0.224,0.004
ALFA ROMEO,Alfa 159 Sportwagon,2.4 JTDM,M6,2387,Diesel,9.4,5.6,7,30.1,50.4,40.4,185,1256,75,0.33,,0.231,0.268,0.005
ALFA ROMEO,Alfa 159 Sportwagon,2.4 JTDM Qtronic,A6,2387,Diesel,11.8,6,8.1,23.9,47.1,34.9,215,1454,72,0.172,,0.21,0.237,0.004
ALFA ROMEO,Alfa Brera,2.2 JTS,M6,2198,Petrol,13,7.3,9.4,21.7,38.7,30.1,221,1577,73,0.398,0.066,0.03,,
ALFA ROMEO,Alfa Brera,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,273,1929,73,0.691,0.05,0.032,,
ALFA ROMEO,Alfa Brera,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,289,2046,71,0.358,0.078,0.046,,
ALFA ROMEO,Alfa Brera,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1222,75,0.124,,0.231,0.248,0.004
ALFA ROMEO,Alfa Spider,2.2 JTS,M6,2198,Petrol,13,7.3,9.4,21.7,38.7,30.1,221,1577,73,0.398,0.066,0.03,,
ALFA ROMEO,Alfa Spider,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,273,1929,73,0.691,0.05,0.032,,
ALFA ROMEO,Alfa Spider,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,289,2046,71,0.358,0.078,0.046,,
ALFA ROMEO,Alfa Spider,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1222,75,0.124,,0.231,0.248,0.004
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,24.9,11.7,16.5,11.3,24.1,17.1,394,2775,74,0.453,0.051,0.001,,
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,M6,5935,Petrol,26.4,12.8,17.8,10.7,22.1,15.8,421,3004,75,0.636,0.054,0.012,,
ASTON MARTIN LAGONDA,Vanquish,V12 Vanquish S,M6,5935,Petrol,28.2,13.4,18.9,10,21.1,14.9,448,3185,75,0.491,0.054,0.008,,
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4282,Petrol,22.5,10.6,15,12.5,26.6,18.8,358,2524,74,0.528,0.085,0.03,,
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible, ASM  ,4282,Petrol,23.2,10.4,15.1,12.2,27.1,18.7,360,2538,74,0.734,0.073,0.043,,
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps  ,M5,1595,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,169,1192,70,0.761,0.064,0.032,,
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 102ps Tiptronic,A6,1595,Petrol,10.9,5.9,7.7,25.9,47.9,36.7,183,1293,72,0.494,0.074,0.04,,
AUDI,A3 (from NOV 06 Wk 45 >) ,1.6 FSI 115ps,M6,1598,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,158,1109,73,0.066,0.025,0.046,,
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps,M6,1781,Petrol,10,5.7,7.3,28.2,49.6,38.7,174,1226,74,0.658,0.058,0.028,,
AUDI,A3 (from NOV 06 Wk 45 >) ,1.8 TFSI 160ps S-Tronic,D6,1781,Petrol,10.4,5.8,7.5,27.2,48.7,37.7,179,1259,73,0.617,0.058,0.026,,
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps,M6,1984,Petrol,10.3,5.8,7.4,27.4,48.7,38.2,177,1242,71,0.308,0.053,0.042,,
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 FSI 150ps Tiptronic,A6,1984,Petrol,11.5,6,8,24.6,47.1,35.3,192,1344,74,0.179,0.052,0.043,,
AUDI,A3 (from NOV 06 Wk 45 >) ,2.0 TFSI 200ps,M6,1984,Petrol,10.9,6,7.8,25.9,47.1,36.2,186,1311,75,0.356,0.06,0.024,,
