Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
FORD,New Mondeo,2.0i 16V 4 Door (non LX) and 5 Door Saloon,M5,1999,Petrol,11.5,6.0,8.0,24.6,47.1,35.3,192,556,III,72.0,0.284,,0.056,0.080,
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon (18 inch tyre),M5,1999,Petrol,11.8,6.3,8.3,23.9,44.8,34.0,199,578,III,72.0,0.284,,0.056,0.080,
FORD,New Mondeo,2.0i 16V Estate,M5,1999,Petrol,11.6,6.2,8.1,24.4,45.6,34.9,194,563,III,72.0,0.284,,0.056,0.080,
FORD,New Mondeo,2.0i 16V Estate (18 inch tyre),M5,1999,Petrol,11.9,6.5,8.4,23.7,43.5,33.6,201,584,III,72.0,0.284,,0.056,0.080,
FORD,New Mondeo,2.0 TDdi 4/5 Door Saloon (115PS),M5,1998,Diesel,8.2,4.6,5.9,34.4,61.4,47.9,156,427,III,70.0,0.076,0.454,,0.430,0.044
FORD,New Mondeo,2.0 TDdi (115PS) 4/5 Door Saloon (18 inch tyre),M5,1998,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,164,449,III,70.0,0.076,0.454,,0.430,0.044
FORD,New Mondeo,2.0 TDdi Estate (115PS),M5,1998,Diesel,8.3,4.7,6.0,34.0,60.1,47.1,159,434,III,70.0,0.076,0.454,,0.430,0.044
FORD,New Mondeo,2.0 TDdi (115PS) Estate (18 inch tyre),M5,1998,Diesel,8.6,5.0,6.3,32.8,56.5,44.8,167,457,III,70.0,0.076,0.454,,0.430,0.044
FORD,New Mondeo,2.0 TDCi (130PS) 4/5 Door Saloon,M5,1998,Diesel,8.1,4.7,5.9,34.9,60.1,47.9,156,427,III,71.0,0.204,0.488,,0.443,0.026
FORD,New Mondeo,2.0 TDCi (130PS) 4/5 Door Saloon (18 inch tyre),M5,1998,Diesel,8.4,5.0,6.2,33.6,56.5,45.6,164,449,III,71.0,0.204,0.488,,0.443,0.026
FORD,New Mondeo,2.0 TDCi (130PS) Estate,M5,1998,Diesel,8.2,4.8,6.0,34.4,58.9,47.1,159,434,III,71.0,0.204,0.488,,0.443,0.026
FORD,New Mondeo,2.0 TDCi (130PS) Estate (18 inch tyre),M5,1998,Diesel,8.5,5.1,6.3,33.2,54.3,44.8,167,457,III,71.0,0.204,0.488,,0.443,0.026
FORD,New Mondeo,2.0 TDCi (130PS) 4-dr LX / Zetec; 5-dr LX Saloon,A5,1998,Diesel,10.2,5.8,7.4,27.7,48.7,38.2,196,536,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) 4-dr Saloon (18 inch tyre),A5,1998,Diesel,10.5,6.1,7.7,26.9,46.3,36.7,203,557,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) 4-dr Saloon Ghia/Ghia X,A5,1998,Diesel,10.3,5.9,7.5,27.4,47.9,37.7,198,543,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) 5-dr Saloon Zetec; Ghia/Ghia X,A5,1998,Diesel,10.3,5.9,7.5,27.4,47.9,37.7,198,543,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) 5-dr Saloon (18 inch tyre),A5,1998,Diesel,10.6,6.2,7.8,26.6,45.6,36.2,206,565,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) Estate,A5,1998,Diesel,10.4,6.0,7.6,27.2,47.1,37.2,201,550,III,69.0,0.177,0.438,,0.408,0.034
FORD,New Mondeo,2.0 TDCi (130PS) Estate (18 inch tyre),A5,1998,Diesel,10.7,6.3,7.9,26.4,44.8,35.8,209,571,III,69.0,0.177,0.438,,0.408,0.034
FORD,Cougar,2.0i 16V,M5,1988,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,204,592,III,71.0,0.422,,0.073,0.056,
FORD,Cougar,2.5i V6 24V,M5,2495,Petrol,14.1,7.4,9.8,20.0,38.2,28.8,236,682,III,72.0,0.532,,0.077,0.010,
FORD,Cougar,2.5i V6 24V,A4,2495,Petrol,15.1,7.7,10.4,18.7,36.7,27.2,250,722,III,73.0,0.312,,0.107,0.013,
FORD,New Galaxy,2.3i 16V,M5,2295,Petrol,14.0,7.8,10.1,20.2,36.2,28.0,242,701,III,74.0,0.559,,0.128,0.078,
FORD,New Galaxy,2.3i 16V,A4,2295,Petrol,15.1,8.6,11.0,18.7,32.8,25.7,264,764,III,72.0,0.341,,0.106,0.084,
FORD,New Galaxy,1.9 PD TDi (90PS),M6,1896,Diesel,8.3,5.8,6.7,34.0,48.7,42.2,181,485,III,73.0,0.081,0.411,,0.387,0.025
FORD,New Galaxy,1.9 PD TDi (115PS),M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,478,III,74.0,0.463,0.464,,0.387,0.035
FORD,New Galaxy,1.9 PD TDi (115PS),A5,1896,Diesel,9.9,6.5,7.8,28.5,43.5,36.2,211,565,III,73.0,0.159,0.484,,0.457,0.026
FORD,New Maverick,2.0i 16V,M5,1988,Petrol,13.1,7.9,9.8,21.6,35.8,23.8,234,825,III,72.0,0.995,,0.066,0.022,
FORD,New Maverick,3.0 V6,A4,2967,Petrol,18.9,9.3,12.8,14.9,30.4,22.1,305,889,III,72.0,0.316,,0.102,0.070,
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (75PS) 4.23 FDR,M5,1998,Diesel,9.2,6.7,7.6,30.7,42.2,37.2,204,550,III,73.0,0.162,0.779,,0.679,0.071
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (75PS) 4.54 FDR,M5,1998,Diesel,9.6,6.9,7.9,29.4,40.9,35.8,211,571,III,73.0,0.235,0.766,,0.750,0.057
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (100PS) 4.23 FDR,M5,1998,Diesel,9.1,6.8,7.6,31.0,41.5,37.2,204,550,III,75.0,0.372,0.707,,0.664,0.070
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (100PS) 4.54 FDR,M5,1998,Diesel,9.6,7.0,7.9,29.4,40.4,35.8,211,571,III,75.0,0.266,0.666,,0.635,0.083
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (125PS) 4.23 FDR,M5,1998,Diesel,9.3,6.6,7.6,30.4,42.8,37.2,201,550,III,73.0,0.260,0.570,,0.550,0.080
FORD,New Transit Tourneo SWB Bus (FWD),2.0 Turbo Diesel (125PS) 4.54 FDR,M5,1998,Diesel,9.4,6.7,7.7,30.1,42.2,36.7,202,557,III,73.0,0.240,0.670,,0.630,0.090
HONDA,Accord 5 Door (2002 YM),1.8i VTEC S,M5,1850,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,189,556,III,71.0,0.725,,0.118,0.053,
HONDA,Accord 5 Door (2002 YM),1.8i VTEC S,4SS,1850,Petrol,13.2,7.3,9.5,21.4,38.7,29.7,224,661,III,69.0,0.690,,0.150,0.080,
HONDA,Accord 5 Door (2002 YM),1.8i SPORT,M5,1850,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,189,556,III,71.0,0.725,,0.118,0.053,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE,M5,1997,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,207,612,III,72.0,0.820,,0.080,0.050,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE,4SS,1997,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,219,640,III,70.0,0.650,,0.100,0.020,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE Executive,M5,1997,Petrol,12.1,6.9,8.8,23.3,40.9,32.1,209,612,III,72.0,0.790,,0.090,0.040,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE Executive (with Sat Nav),M5,1997,Petrol,12.1,6.9,8.8,23.3,40.9,32.1,209,612,III,72.0,0.790,,0.090,0.040,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE Executive,4SS,1997,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,219,640,III,70.0,0.650,,0.100,0.020,
HONDA,Accord 5 Door (2002 YM),2.0i VTEC SE Executive (with Sat Nav),4SS,1997,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,219,640,III,70.0,0.650,,0.100,0.020,
HONDA,Accord 5 Door (2002 YM),2.3i Type - V,M5,2254,Petrol,11.9,7.0,8.8,23.7,40.4,32.1,209,612,III,73.0,0.633,0.121,0.081,0.039,
HONDA,Accord 5 Door (2002 YM),2.3i Type - V (with Sat Nav),M5,2254,Petrol,11.9,7.0,8.8,23.7,40.4,32.1,209,612,III,73.0,0.633,0.121,0.081,0.039,
HONDA,Accord 5 Door (2002 YM),2.3i Type - V,4SS,2254,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,224,652,III,70.0,0.648,0.109,0.078,0.031,
HONDA,Accord 5 Door (2002 YM),2.3i Type - V (with Sat Nav),4SS,2254,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,224,652,III,70.0,0.648,0.109,0.078,0.031,
HONDA,Accord 4 Door (2002 YM),1.8i VTEC S,M5,1850,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,189,556,III,71.0,0.725,,0.118,0.053,
HONDA,Accord 4 Door (2002 YM),1.8i VTEC S,4SS,1850,Petrol,13.0,7.2,9.3,21.7,39.2,30.4,221,646,III,69.0,0.500,,0.120,0.070
HONDA,Accord 4 Door (2002 YM),1.8i SPORT,M5,1850,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,189,556,III,71.0,0.725,,0.118,0.053
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE,M5,1997,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,207,612,III,72.0,0.820,,0.080,0.050
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE,4SS,1997,Petrol,12.7,7.1,9.2,22.2,39.8,30.7,218,640,III,70.0,0.580,,0.090,0.040
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE Executive,M5,1997,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,207,612,III,72.0,0.820,,0.080,0.050
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE Executive (with Sat Nav),M5,1997,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,207,612,III,72.0,0.820,,0.080,0.050
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE Executive,4SS,1997,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,219,640,III,70.0,0.650,,0.100,0.020
HONDA,Accord 4 Door (2002 YM),2.0i VTEC SE Executive (with Sat Nav),4SS,1997,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,219,640,III,70.0,0.650,,0.100,0.020
HONDA,Accord 4 Door (2002 YM),2.2i Type - R,M5,2157,Petrol,12.9,7.8,9.6,21.9,36.2,29.4,229,668,III,72.0,0.704,,0.108,0.076
HONDA,Accord 4 Door (2002 YM),2.3i Type - V,M5,2254,Petrol,11.9,7.0,8.8,23.7,40.4,32.1,209,612,III,73.0,0.633,0.121,0.081,0.039
HONDA,Accord 4 Door (2002 YM),2.3i Type - V (with Sat Nav),M5,2254,Petrol,11.9,7.0,8.8,23.7,40.4,32.1,209,612,III,73.0,0.633,0.121,0.081,0.039
HONDA,Accord 4 Door (2002 YM),2.3i Type - V,4SS,2254,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,224,652,III,70.0,0.648,0.109,0.078,0.031
HONDA,Accord 4 Door (2002 YM),2.3i Type - V (with Sat Nav),4SS,2254,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,224,652,III,70.0,0.648,0.109,0.078,0.031
HONDA,Accord Coupé (2001 YM),2.0i ES Coupé,M5,1997,Petrol,12.3,7.2,9.1,23.0,39.2,31.0,215,634,III,72.2,1.108,,0.119,0.037
HONDA,Accord Coupé (2001 YM),2.0i ES Coupé,A4,1997,Petrol,14.0,7.6,10.0,20.2,37.2,28.2,235,696,III,69.8,1.268,,0.129,0.039
HONDA,Accord Coupé (2001 YM),3.0i V6 Coupé,A4,2997,Petrol,15.2,8.2,10.8,18.6,34.4,26.2,256,750,III,71.9,0.503,,0.112,0.084
HONDA,Civic Coupé (2002 YM),1.7i VTEC,M5,1668,Petrol,8.8,5.5,6.7,32.1,51.4,42.2,159,465,III,72.8,0.379,,0.105,0.046
HONDA,Civic Coupé (2002 YM),1.7i VTEC,A4,1668,Petrol,9.7,5.7,7.2,29.1,49.6,39.2,170,501,III,71.9,0.405,,0.112,0.088
HONDA,Civic 5 Door (2001 YM),1.4i S,M5,1396,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,445,III,71.3,0.311,,0.134,0.046
HONDA,Civic 5 Door (2001 YM),1.4i SE,5MT,1396,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,445,III,71.3,0.311,,0.134,0.046
HONDA,Civic 5 Door (2001 YM),1.4i SE,4AT,1396,Petrol,9.9,5.7,7.2,28.5,49.6,39.2,172,501,III,68.6,0.443,,0.157,0.064
HONDA,Civic 5 Door (2001 YM),1.6i VTEC S,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,71.5,0.329,,0.113,0.041
HONDA,Civic 5 Door (2001 YM),1.6i VTEC S,4AT,1590,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,169,493,III,69.9,0.383,,0.114,0.080
HONDA,Civic 5 Door (2001 YM),1.6i VTEC SE,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,71.5,0.329,,0.113,0.041
HONDA,Civic 5 Door (2001 YM),1.6i VTEC SE,4AT,1590,Petrol,9.8,5.8,7.2,28.8,48.7,39.2,172,501,III,69.9,0.383,,0.114,0.080
HONDA,Civic 5 Door (2001 YM),1.6i VTEC SE Executive,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,71.5,0.329,,0.113,0.041
HONDA,Civic 5 Door (2001 YM),1.6i  VTEC SE Executive,4AT,1590,Petrol,9.8,5.8,7.2,28.8,48.7,39.2,172,501,III,69.9,0.393,,0.114,0.080
HONDA,Civic 5 Door (2001 YM),1.4i E,5MT,1396,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,445,III,71.3,0.311,,0.134,0.046
HONDA,CR-V (2001 YM),2.0i LS,M5,1973,Petrol,11.9,8.4,9.7,23.7,33.6,29.1,229,675,III,71.9,0.957,,0.137,0.044
HONDA,CR-V (2001 YM),2.0i LS,A4,1973,Petrol,12.7,8.4,9.9,22.2,33.6,28.5,235,689,III,71.9,1.347,,0.138,0.056
HONDA,CR-V (2001 YM),2.0i ES,M5,1973,Petrol,11.9,8.4,9.7,23.7,33.6,29.1,229,675,III,73.7,0.957,,0.137,0.444
HONDA,CR-V (2001 YM),2.0i ES,A4,1973,Petrol,12.7,8.4,9.9,22.2,33.6,28.5,235,689,III,73.7,1.347,,0.138,0.056
HONDA,HR-V (2002 YM),HR-V 4wd (3 Door),M5,1590,Petrol,10.4,7.6,8.6,27.2,37.2,32.8,204,599,III,73.0,1.217,,0.108,0.041
HONDA,HR-V (2002 YM),HR-V 4wd (3 Door),CVT,1590,Petrol,9.9,7.5,8.4,28.5,37.7,33.6,201,584,III,71.2,1.262,,0.113,0.047
HONDA,HR-V (2002 YM),HR-V 4wd VTEC (3 Door),M5,1590,Petrol,10.4,7.6,8.6,27.2,37.2,32.8,205,599,III,71.7,1.141,,0.120,0.062
HONDA,HR-V (2002 YM),HR-V 4wd (5 Door),CVT,1590,Petrol,9.9,7.5,8.4,28.5,37.7,33.6,201,584,III,71.2,1.388,,0.119,0.038
HONDA,HR-V (2002 YM),HR-V 4wd (5 Door),M5,1590,Petrol,10.4,7.6,8.6,27.2,37.2,32.8,204,599,III,73.0,1.057,,0.102,0.046
HONDA,HR-V (2002 YM),HR-V 4wd VTEC (5 Door),M5,1590,Petrol,10.4,7.6,8.6,27.2,37.2,32.8,205,599,III,71.7,1.141,,0.120,0.062
HONDA,HONDA S2000 (2002 YM),Convertible,M6,1997,Petrol,13.7,8.0,10.0,20.6,35.3,28.2,237,696,III,72.6,1.022,,0.080,0.075
HONDA,Insight (2001 YM),Insight,M5,995,Petrol,4.1,3.0,3.4,68.9,94.2,83.1,80,236,III,69.0,0.179,0.116,0.084,0.032
HONDA,Legend (2002 YM),3.5 V6 (4 Door),A4,3474,Petrol,17.2,9.3,12.2,16.4,30.4,23.2,291,846,III,67.4,1.020,,0.140,0.050
HONDA,NSX (2002 YM),3.2i Coupé,M6,3179,Petrol,17.9,9.1,12.4,15.8,31.0,22.8,291,861,III,72.0,0.740,,0.087,0.053
HONDA,NSX (2002 YM),3.2i Targe (Open Top),M6,3179,Petrol,17.9,9.1,12.4,15.8,31.0,22.8,291,861,III,72.0,0.740,,0.087,0.053
HONDA,NSX (2002 YM),3.0i Coupé,A4,2156,Petrol,18.3,8.8,12.3,15.4,32.1,23.0,287,854,III,73.0,1.009,,0.096,0.037
HONDA,NSX (2002 YM),3.0i Targe (Open Top),A4,2156,Petrol,18.3,8.8,12.3,15.4,32.1,23.0,287,854,III,73.0,1.009,,0.096,0.037
HONDA,STREAM (2001 YM),1.7i SE,M5,1668,Petrol,9.9,6.5,7.7,28.5,43.5,36.7,183,535,III,73.1,0.605,,0.083,0.043
HONDA,STREAM (2001 YM),2.0i SE SPORT,M5,1998,Petrol,11.3,7.0,8.6,25.0,40.4,32.8,203,599,III,73.1,1.050,,0.059,0.022
HONDA,STREAM (2001 YM),2.0i SE SPORT,SS5,1998,Petrol,12.7,7.1,9.1,22.2,39.8,31.0,216,634,III,71.8,0.995,,0.074,0.015
HONDA,Civic 3 Door (2001 YM),1.6i VTEC S,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,73.0,0.424,,0.125,0.038
HONDA,Civic 3 Door (2001 YM),1.6i VTEC S,4AT,1590,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,169,493,III,71.6,0.606,,0.106,0.051
HONDA,Civic 3 Door (2001 YM),1.6i VTEC SE,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,73.0,0.424,,0.125,0.038
HONDA,Civic 3 Door (2001 YM),1.6i VTEC SE,4AT,1590,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,169,493,III,71.6,0.606,,0.106,0.051
HONDA,Civic 3 Door (2001 YM),1.6i VTEC SE Sport,5MT,1590,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,III,73.0,0.424,,0.125,0.038
HONDA,Civic 3 Door (2001 YM),1.6i VTEC SE Sport,4AT,1590,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,169,493,III,71.6,0.606,,0.106,0.051
HONDA,Civic 3 Door (2001 YM),Type-R,M6,1998,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,212,620,III,72.0,0.475,,0.050,0.028
HONDA,Civic 3 Door (2001 YM),1.4i S,5MT,1396,Petrol,8.0,5.4,6.3,35.3,52.3,44.8,150,438,III,71.8,0.391,,0.126,0.036
HONDA,Civic 3 Door (2001 YM),1.4i E,5MT,1396,Petrol,8.0,5.4,6.3,35.3,52.3,44.8,150,438,III,71.8,0.391,,0.126,0.036
HONDA,CR-V (2002 YM),2.0 i-VTEC SE,5MT,1998,Petrol,11.7,7.7,9.1,24.1,36.7,31.0,216,634,III,73.0,0.981,,0.084,0.014
HONDA,CR-V (2002 YM),2.0 i-VTEC SE,4AT,1998,Petrol,12.2,7.6,9.3,23.2,37.2,30.4,220,646,III,72.0,0.762,,0.093,0.019
HONDA,CR-V (2002 YM),2.0 i-VTEC SE Sport,5MT,1998,Petrol,11.7,7.7,9.1,24.1,36.7,31.0,216,634,III,73.0,0.981,,0.084,0.014
HONDA,CR-V (2002 YM),2.0 i-VTEC SE Sport,4AT,1998,Petrol,12.2,7.6,9.3,23.0,37.2,30.4,220,646,III,72.0,0.310,,0.051,0.017
HONDA,CR-V (2002 YM),2.0 i-VTEC SE Sport (with Satellite Navigation),5MT,1998,Petrol,11.7,7.7,9.1,24.1,36.7,31.0,216,634,III,73.0,0.582,,0.036,0.022
HONDA,CR-V (2002 YM),2.0 i-VTEC SE Sport (with Satellite Navigation),4AT,1998,Petrol,12.2,7.6,9.3,23.0,37.2,30.4,220,646,III,72.0,0.310,,0.051,0.017
HONDA,Jazz (2002 YM),1.4 i-DSI S,5MT,1339,Petrol,6.9,4.9,5.7,40.9,57.6,49.6,134,396,III,70.7,0.376,,0.083,0.014
HONDA,Jazz (2002 YM),1.4 i-DSI SE,5MT,1339,Petrol,6.9,4.9,5.7,40.9,57.6,49.6,134,396,III,70.7,0.376,,0.083,0.014,
HONDA,Jazz (2002 YM),1.4 i-DSI SE Sport,5MT,1339,Petrol,7.3,5.1,5.8,38.7,55.4,48.7,137,403,III,70.7,0.376,,0.083,0.014,
HONDA,Civic 3 Door (2002 YM),3 Door 1.7 SE ,M5,1686,Diesel,6.3,4.4,5.0,44.8,64.2,56.5,134,362,III,71.0,0.220,0.450,,0.400,0.024
HONDA,Civic 5 Door (2002 YM),5 Door S ,M5,1686,Diesel,6.3,4.4,5.0,44.8,64.2,56.5,134,362,III,71.0,0.220,0.450,,0.400,0.024
HONDA,Civic 5 Door (2002 YM),5 Door SE ,M5,1686,Diesel,6.3,4.4,5.0,44.8,64.2,56.5,134,362,III,71.0,0.220,0.450,,0.400,0.024
HYUNDAI,Amica,1.0 SOHC,M5,999,Petrol,7.5,5.3,6.1,37.7,53.3,46.3,146,424,III,72.0,0.420,,0.052,0.012,
HYUNDAI,Amica,1.0 SOHC,A4,999,Petrol,8.6,5.7,6.8,32.8,49.6,41.5,161,473,III,69.0,0.432,,0.054,0.048,
HYUNDAI,Accent,1.3 SOHC,M5,1341,Petrol,8.3,5.3,6.4,34.0,53.3,44.1,154,445,III,70.0,0.490,,0.044,0.010,
HYUNDAI,Accent,1.3 SOHC,A4,1341,Petrol,9.8,5.9,7.3,28.8,47.9,38.7,176,507,III,69.0,0.650,,0.070,0.010,
HYUNDAI,Accent,1.5 SOHC,M5,1495,Petrol,9.4,5.5,6.9,30.1,51.4,40.9,166,480,III,71.0,0.200,,0.018,0.020,
HYUNDAI,Accent,1.5 SOHC,A4,1495,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,188,543,III,69.0,0.460,,0.043,0.020,
HYUNDAI,Accent,1.5 DOHC (MVI),M5,1495,Petrol,9.2,5.5,6.8,30.7,51.4,41.5,164,473,III,73.0,0.444,,0.058,0.036,
HYUNDAI,Matrix,1.5l TD,M5,1493,Diesel,7.6,5.0,6.0,37.2,56.5,47.1,158,434,III,74.0,0.160,,0.011,0.417,0.036
HYUNDAI,Matrix,1.6l DOHC,M5,1599,Petrol,10.3,6.6,8.0,27.4,42.8,35.3,191,556,III,74.0,0.470,,0.053,0.036,
HYUNDAI,Matrix,1.6l DOHC,A4,1599,Petrol,12.2,6.9,8.8,23.2,40.9,32.1,211,612,III,74.0,0.650,,0.089,0.024,
HYUNDAI,Matrix,1.8l DOHC,M5,1795,Petrol,11.5,6.9,8.5,24.6,40.9,33.2,205,592,III,74.0,0.490,,0.035,0.012,
HYUNDAI,Matrix,1.8l DOHC,A4,1795,Petrol,12.5,7.2,9.1,22.6,39.2,31.0,219,634,III,72.0,0.500,,0.052,0.012,
HYUNDAI,Elantra,1.6 DOHC,M5,1599,Petrol,9.4,6.2,7.4,30.1,45.6,38.2,176,514,III,71.0,0.528,,0.042,0.024,
HYUNDAI,Elantra,1.6 DOHC,A4,1599,Petrol,11.3,6.3,8.2,25.0,44.8,34.4,196,571,III,73.0,0.432,,0.035,0.024,
HYUNDAI,Elantra,2.0 DOHC 4 Door,M5,1975,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,III,72.0,0.384,,0.029,0.024,
HYUNDAI,Elantra,2.0 DOHC 5 Door,M5,1975,Petrol,11.1,6.5,8.2,25.4,43.5,34.4,196,571,III,72.0,0.384,,0.029,0.024,
HYUNDAI,Elantra,2.0 DOHC 4 Door,A4,1975,Petrol,11.8,6.7,8.6,23.9,42.2,32.8,206,599,III,73.0,0.220,,0.031,0.024,
HYUNDAI,Elantra,2.0 DOHC 5 Door,A4,1975,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,211,612,III,73.0,0.220,,0.031,0.024,
HYUNDAI,Elantra,2.0 Turbo Diesel,M5,1991,Diesel,8.6,5.1,6.4,32.8,55.4,44.1,169,464,III,74.0,0.134,0.348,0.021,0.327,0.035
HYUNDAI,Coupé,1.6l DOHC (New 2002 Model),M5,1599,Petrol,9.8,6.3,7.6,28.8,44.8,37.2,182,528,III,73.0,0.204,,0.034,0.108,
HYUNDAI,Coupé,2.0l DOHC (New 2002 Model),M5,1975,Petrol,11.4,6.6,8.4,24.8,42.8,33.6,202,584,III,71.0,0.252,,0.024,0.084,
HYUNDAI,Coupé,2.0l DOHC (New 2002 Model),A4,1975,Petrol,12.5,7.1,9.1,22.6,39.8,31.0,218,634,III,71.0,0.168,,0.038,0.072,
HYUNDAI,Coupé,2.7l V6 (New 2002 Model),M6,2656,Petrol,14.6,7.9,10.4,19.3,35.8,27.2,250,722,III,73.0,0.144,,0.020,0.048,
HYUNDAI,Coupé,2.7l V6 (New 2002 Model),A4,2656,Petrol,14.2,8.0,10.3,19.9,35.3,27.4,247,717,III,71.0,0.108,,0.036,0.000,
HYUNDAI,Sonata,2.0l DOHC (2002 MY Facelift),M5,1997,Petrol,12.4,7.1,9.0,22.8,39.8,31.4,215,625,III,74.0,0.680,,0.071,0.012,
HYUNDAI,Sonata,2.0l DOHC (2002 MY Facelift),A4,1997,Petrol,13.4,7.3,9.5,21.1,38.7,29.7,228,661,III,71.0,1.210,,0.088,0.012,
HYUNDAI,Sonata,2.7l V6 (2002 MY Facelift),A4,2657,Petrol,14.7,8.3,10.7,19.2,34.0,26.4,256,744,III,71.0,0.560,,0.046,0.000,
HYUNDAI,Trajet,2.0 DOHC,M5,1997,Petrol,12.9,7.2,9.3,21.9,39.2,30.4,223,646,III,73.0,0.410,,0.090,0.050,
HYUNDAI,Trajet,2.0 DOHC,A4,1997,Petrol,14.1,8.0,10.3,20.0,35.3,27.4,247,717,III,72.0,0.360,,0.070,0.050,
HYUNDAI,Trajet,2.0 Turbo Diesel,M5,1991,Diesel,9.3,6.0,7.2,30.4,47.1,39.2,192,522,III,75.0,0.406,0.588,0.042,0.546,0.047
HYUNDAI,Trajet,2.0 Turbo Diesel,A4,1991,Diesel,10.8,7.0,8.4,26.2,40.4,33.6,224,609,III,73.0,0.044,0.565,0.003,0.562,0.039
HYUNDAI,Trajet,2.7 V6 DOHC,A4,2656,Petrol,15.8,8.7,11.3,17.9,32.5,25.0,271,786,III,73.0,0.372,,0.056,0.012,
HYUNDAI,Santa Fe,2.0 Turbo Diesel,M5,1991,Diesel,9.5,6.5,7.6,29.7,43.5,37.2,202,550,III,74.0,0.201,0.643,0.019,0.624,0.047
HYUNDAI,Santa Fe,2.4,M5,2351,Petrol,13.1,7.8,9.8,21.6,36.2,28.8,235,682,III,73.0,0.552,,0.054,0.012,
HYUNDAI,Santa Fe,2.7 V6,A4,2656,Petrol,14.9,9.4,11.4,19.0,30.1,24.8,274,792,III,72.0,0.746,,0.114,0.012,
HYUNDAI,XG,3.0 DOHC,A5,2972,Petrol,16.1,8.5,11.3,17.5,33.2,25.0,270,786,III,70.0,0.490,,0.110,0.010,
