Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
RENAULT,Scénic,2.0T 165 (JM0W06),M6,1998,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1407,III,70.9,0.692,0.072,0.061,,
RENAULT,Scénic,2.0 VVT (JM1N06),M6,1998,Petrol,10.9,6.4,8,25.9,44.1,35.3,192,1391,III,70.7,0.355,0.05,0.034,,
RENAULT,Scénic,1.5 dCi 80 (JMRF05),M5,1461,Diesel,6.4,4.4,5,44.1,64.2,56.5,135,908,III,71.7,0.358,,0.335,0.359,0.042
RENAULT,Scénic,1.5 dCi 100 (JM0205),M5,1461,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,135,926,III,71.8,0.186,,0.417,0.432,0.04
RENAULT,Scénic,1.9 dCi 120 (JM0G06),M6,1870,Diesel,7.4,5,5.8,38.2,56.5,48.7,154,1053,III,71.8,0.163,,0.421,0.441,0.035
RENAULT,Grand Scénic,1.6 VVT 115 (JM0CDH),M5,1598,Petrol,9.5,6.2,7.4,29.7,45.6,38.2,177,1285,III,70.5,0.652,0.128,0.086,,
RENAULT,Grand Scénic,2.0 VVT 136 (JM1NE6),M6,1998,Petrol,11.1,6.6,8.2,25.4,42.8,34.4,196,1427,III,70.7,0.355,0.05,0.034,,
RENAULT,Grand Scénic,2.0T VVT 165 (JM0WD6),M6,1998,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1407,III,71.9,0.692,0.072,0.061,,
RENAULT,Grand Scénic,1.5 dCi 100 (JM02D5),M5,1461,Diesel,6.5,4.6,5.3,43.5,61.4,53.3,140,962,III,70.1,0.186,,0.417,0.432,0.04
RENAULT,Grand Scénic,1.9 dCi 120 (JM0GD6),M6,1870,Diesel,7.4,5,5.8,38.2,56.6,48.7,154,1053,III,71.8,0.163,,0.421,0.441,0.035
RENAULT,Laguna II Hatchback ,1.6 16V (BG0A05),M5,1598,Petrol,9.9,5.7,7.2,28.5,49.6,39.2,173,1252,III,70.5,1.028,0.137,0.042,,
RENAULT,Laguna II Hatchback ,1.8 16V (BG0B05),M5,1783,Petrol,10,6.1,7.5,28.2,46.3,37.7,180,1302,III,71,0.647,0.115,0.072,,
RENAULT,Laguna II Hatchback ,1.8 16V Auto (BG0J0A),A4,1783,Petrol,11.7,6.4,8.3,24.1,44.1,34,199,1444,III,70.6,0.38,0.114,0.083,,
RENAULT,Laguna II Hatchback ,2.0T 16V (BG0S06),M6,1998,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,196,1427,III,71,0.424,0.072,0.031,,
RENAULT,Laguna II Hatchback ,2.0T 16V Auto (BG0S0B),A5,1998,Petrol,13.6,6.4,9.1,20.8,44.2,31.1,217,1579,III,70.5,0.382,0.085,0.029,,
RENAULT,Laguna II Hatchback ,3.0 V6 24V (BG0D0B),A5,2946,Petrol,14.9,7.3,10.1,18.9,38.7,28,240,1753,III,71,0.388,0.07,0.047,,
RENAULT,Laguna II Hatchback ,1.9 dCi 100 (BG0E05),M5,1870,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,144,980,III,71.9,0.256,,0.317,0.346,0.034
RENAULT,Laguna II Hatchback ,1.9 dCi 120 (BG0G06),M6,1870,Diesel,7.2,4.6,5.5,39.2,61.4,51.4,150,998,III,71.2,0.179,,0.478,0.503,0.047
RENAULT,Laguna II Hatchback ,2.2 dCi 16V (BG0F06),M6,2188,Diesel,8.6,5.3,6.5,32.8,53.4,43.5,174,1179,III,70.5,0.297,,0.466,0.489,0.042
RENAULT,Laguna II Hatchback ,2.2 dCi 16V  Auto (BG0F0B),A5,2188,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1378,III,69.6,0.043,,0.465,0.482,0.046
RENAULT,Laguna II Ph 2 Hatchback,1.9 dCi 120 (BG1/CGB6),M6,1870,Diesel,7.2,4.6,5.5,39.2,61.4,51.3,150,1000,III,71.2,0.53,,0.465,0.508,0.038
RENAULT,Laguna II Ph 2 Hatchback,2.2 dCi 150 (BG1FB6),M6,2188,Diesel,8.6,5.3,6.5,32.8,53.3,43.4,174,1182,III,70.5,0.436,,0.445,0.517,0.04
RENAULT,Laguna II Ph 2 Hatchback,2.2 dCi 150 Auto (BG1FBB),A5,2188,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1378,III,69.6,0.051,,0.485,0.504,0.041
RENAULT,Laguna II Sport Tourer ,1.8 16V (KG0B05),M5,1783,Petrol,10.1,6.3,7.7,28,44.8,36.7,184,1338,III,71,0.647,0.115,0.072,,
RENAULT,Laguna II Sport Tourer ,1.8 16V Auto (KG0J0A),A4,1783,Petrol,12,6.7,8.6,23.5,42.2,32.8,205,1497,III,70.6,0.38,0.114,0.083,,
RENAULT,Laguna II Sport Tourer ,2.0T 16V (KG0S06),M6,1998,Petrol,11.6,6.7,8.5,24.4,42.2,33.3,203,1474,III,71,0.424,0.072,0.031,,
RENAULT,Laguna II Sport Tourer ,2.0T 16V Auto (KG0S0B),A5,1998,Petrol,13.7,6.5,9.2,20.6,43.5,30.7,220,1599,III,70.5,0.382,0.085,0.029,,
RENAULT,Laguna II Sport Tourer ,3.0 V6 24V (KG0D0B),A5,2946,Petrol,15.1,7.5,10.3,18.3,37.7,27.4,247,1792,III,71,0.388,0.07,0.047,,
RENAULT,Laguna II Sport Tourer ,1.9 dCi 120 (KG0G06),M6,1872,Diesel,7.2,4.8,5.6,39.2,58.9,50.4,152,1017,III,71.2,0.179,,0.478,0.503,0.047
RENAULT,Laguna II Sport Tourer ,2.2 dCi 16V (KG0F06),M6,2188,Diesel,8.7,5.3,6.6,32.5,52.3,42.8,176,1198,III,70.5,0.297,,0.466,0.489,0.042
RENAULT,Laguna II Sport Tourer ,2.2 dCi 16V Auto (KG0F0B),A5,2188,Diesel,8.7,5.3,6.6,32.5,52.3,42.8,176,1198,III,69.6,0.043,,0.465,0.482,0.046
RENAULT,Laguna II Ph 2 Sport Tourer,1.9 dCi 120 (KG1/CGB6),M6,1870,Diesel,7.2,4.8,5.6,39.2,58.8,50.4,152,1017,III,71.2,0.53,,0.465,0.508,0.038
RENAULT,Laguna II Ph 2 Sport Tourer,2.2 dCi 150 (KG1FB6),M6,2188,Diesel,8.7,5.4,6.6,32.5,52.3,42.8,176,1198,III,70.5,0.436,,0.445,0.517,0.04
RENAULT,Laguna II Ph 2 Sport Tourer,2.2 dCi 150 Auto (KG1FBB),A5,2188,Diesel,10.6,6,7.7,26.6,47.1,36.7,204,1397,III,69.6,0.051,,0.485,0.504,0.041
RENAULT,Espace,2.0T 16V 165 (JK0BA6),M6,1998,Petrol,12.9,7.9,9.7,21.9,35.8,29.2,232,1681,III,70.8,0.722,0.07,0.037,,
RENAULT,Espace,2.0T 16V 165 (JK0BB6) (w/sunroof),M6,1998,Petrol,12.9,7.9,9.7,21.9,35.8,29.2,232,1681,III,70.8,0.722,0.07,0.037,,
RENAULT,Espace,2.0T 16V 165 Auto (JK0BA6),A5,1998,Petrol,15.3,8.1,10.7,18.5,34.9,26.4,251,1860,III,67.6,0.88,0.078,0.044,,
RENAULT,Espace,2.0T 16V 165 Auto (JK0BB6) (w/sunroof),A5,1998,Petrol,15.3,8.1,10.7,18.5,34.9,26.4,251,1860,III,67.6,0.88,0.078,0.044,,
RENAULT,Espace,3.5 V6 24V Auto (JK0FAB),A5,3498,Petrol,17.3,9.3,12.2,16.3,30.4,23.2,292,2116,III,71,0.462,0.047,0.067,,
RENAULT,Espace,3.5 V6 24V Auto (JK0FBB) (w/sunroof),A5,3498,Petrol,17.5,9.5,12.4,16.2,29.8,22.8,297,2153,III,71,0.462,0.047,0.067,,
RENAULT,Espace,1.9 dCi (JK0GA6),M6,1870,Diesel,8.6,5.8,6.8,32.9,48.8,41.6,183,1233,III,72,0.337,,0.694,0.724,0.068
RENAULT,Espace,1.9 dCi (JK0GB6) (w/sunroof),M6,1870,Diesel,8.9,6,7,31.8,47.1,40.4,187,1269,III,72,0.337,,0.694,0.724,0.068
RENAULT,Espace,2.2 dCi (JK0HA6),M6,2188,Diesel,10.3,6.3,7.7,27.4,44.8,36.7,206,1397,III,70.9,0.288,,0.594,0.668,0.065
RENAULT,Espace,2.2 dCi (JK0HB6) (w/sunroof),M6,2188,Diesel,10.5,6.5,7.9,26.9,43.5,35.8,211,1432,III,70.9,0.288,,0.594,0.668,0.065
RENAULT,Espace,2.2 dCi Auto (JK0HAB),A5,2188,Diesel,11.8,7.3,8.9,24,38.7,31.8,238,1613,III,69.9,0.112,,0.591,0.612,0.065
RENAULT,Espace,2.2 dCi Auto (JK0HBB) (w/sunroof),A5,2188,Diesel,12,7.5,9.1,23.5,37.7,31,244,1654,III,69.9,0.112,,0.591,0.612,0.065
RENAULT,Espace,3.0 dCi Auto (JK0JA/BB) (w/w.o.sunroof),A5,2958,Diesel,13.3,7.4,9.5,21.2,38.2,29.7,252,1727,III,70.6,0.427,,0.475,0.531,0.068
RENAULT,Grand Espace,2.0T 16V 165 (JK0BC6),M6,1998,Petrol,12.9,7.9,9.7,21.9,35.8,29.1,232,1687,III,70.8,0.722,0.07,0.037,,
RENAULT,Grand Espace,2.0T 16V Auto (JK0BCB),A5,1998,Petrol,14.8,8.1,10.5,19.1,34.9,26.9,251,1825,III,67.6,0.88,0.078,0.044,,
RENAULT,Grand Espace,2.0T 16V 165 (JK0BD6) (w/sunroof),M6,1998,Petrol,12.9,7.9,9.7,21.9,35.8,29.1,232,1687,III,70.8,0.722,0.07,0.037,,
RENAULT,Grand Espace,3.5 V6 24V Auto (JK0FCB),A5,3498,Petrol,17.5,9.5,12.4,16.1,29.7,22.8,297,2153,III,71,0.462,0.047,0.067,,
RENAULT,Grand Espace,3.5 V6 24V Auto (JK0FDB) (w/sunroof),A5,3498,Petrol,17.5,9.5,12.4,16.1,29.7,22.8,297,2153,III,71,0.462,0.047,0.067,,
RENAULT,Grand Espace,2.2 dCi (JK0HC/D6) (w/w.o.sunroof),M6,2188,Diesel,10.5,6.5,7.9,26.9,43.5,35.8,211,1432,III,70.9,0.288,,0.594,0.668,0.065
RENAULT,Grand Espace,2.2 dCi Auto (JK0HC/DB) (w/w.o.sunroof),A5,2188,Diesel,12,7.5,9.1,23.6,37.7,31.1,244,1649,III,69.9,0.112,,0.591,0.612,0.065
RENAULT,Grand Espace,3.0 dCi Auto (JK0JCB),A5,2958,Diesel,13.3,7.4,9.5,21.2,38.2,29.7,252,1727,III,70.6,0.427,,0.475,0.531,0.068
RENAULT,Grand Espace,3.0 dCi Auto (JK0JDB) (w/sunroof),A5,2958,Diesel,13.5,7.6,9.7,21,37.2,29.2,257,1756,III,70.6,0.427,,0.475,0.531,0.068
RENAULT,Grand Espace,2.0T 16V Auto (JKOBDB) (w/sunroof),A6,1999,Petrol,15.5,8.3,10.9,18.2,34,25.9,255,1896,III,67.6,0.88,0.078,0.044,,
RENAULT,Vel Satis,2.0 Turbo (BJ0P06),M6,1998,Petrol,12.6,7.6,9.4,22.4,37.2,30.1,225,1631,III,70.9,0.577,0.064,0.038,,
RENAULT,Vel Satis,2.0 Turbo (BJ0P0B),A5,1998,Petrol,14.5,7.7,10.2,19.5,36.7,27.7,243,1772,III,66.7,0.632,0.102,0.044,,
RENAULT,Vel Satis,3.5 V6 Auto (BJ0V0B),A5,3498,Petrol,16.8,8.5,11.5,16.8,33.3,24.6,275,1996,III,71,0.55,0.047,0.028,,
RENAULT,Vel Satis,2.2 dCi (BJ0E06),M6,2188,Diesel,9.2,5.9,7.1,30.7,47.9,39.8,192,1288,III,71.3,0.485,,0.397,0.457,0.04
RENAULT,Vel Satis,3.0 V6 dCi (BJ0J0B),A5,2958,Diesel,12,6.8,8.7,23.5,41.5,32.5,232,1578,III,70.3,0.542,,0.442,0.536,0.036
RENAULT,Avantime,2.0 16V Turbo (DE0U06),M6,1998,Petrol,12.6,7.3,9.2,22.4,38.7,30.7,218,1599,III,72.3,0.404,0.059,0.023,,
RENAULT,Avantime,3.0 V6 24V (DE0T06),M6,2946,Petrol,15.9,8.9,11.3,17.7,31.7,24.9,266,1972,III,72.8,0.728,0.084,0.022,,
RENAULT,Avantime,3.0 V6 24V Auto (DE0402),A5,2946,Petrol,16.3,8.8,11.5,17.3,32.1,24.6,271,1996,III,73.5,0.413,0.092,0.084,,
SEAT,Cordoba,1.9 TDI (100 PS),M5,1896,Diesel,6.5,4.1,5,43.5,68.9,56.5,135,908,III,73,0.073,,0.403,0.424,0.02
SEAT,Cordoba,1.9 TDI (130 PS),M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,980,III,73,0.147,,0.413,0.43,0.048
SEAT,Leon,1.8 20V (125 PS),M5,1781,Petrol,10.8,6.4,8,26.2,44.1,35.3,192,1391,III,72,0.874,0.078,0.036,,
SEAT,Leon,1.8 20V (125 PS),A4,1781,Petrol,12.1,7,8.9,23.3,40.4,31.7,214,1549,III,72,1.85,0.164,0.11,,
SEAT,Leon,1.9 TDI (90 PS),M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,944,III,73,0.117,,0.369,0.403,0.029
SKODA,Fabia Hatch,1.4 TDI PD (75 bhp),M5,1422,Diesel,5.7,4.1,4.6,49.6,68.9,61.4,124,835,III,74,0.079,,0.386,0.397,0.025
SKODA,Fabia Hatch,1.9 SDI (64 bhp),M5,1896,Diesel,6.4,4.1,4.9,44.8,68.9,57.6,132,890,III,74,0.236,,0.363,0.396,0.011
SKODA,Fabia Hatch,1.9 TDI (100 bhp),M5,1896,Diesel,6.5,4.1,5,43.5,68.9,56.5,135,908,III,74,0.052,,0.381,0.395,0.018
SKODA,Fabia Estate,1.4 TDI PD (75 bhp),M5,1422,Diesel,5.7,4.1,4.6,49.6,68.9,61.4,124,835,III,74,0.079,,0.379,0.386,0.025
SKODA,Fabia Estate,1.9 SDI (64 bhp),M5,1896,Diesel,6.4,4.1,4.9,44.1,68.9,57.6,132,890,III,74,0.236,,0.363,0.396,0.011
SKODA,Fabia Estate,1.9 TDI (100 bhp),M5,1896,Diesel,6.5,4.1,5,43.5,68.9,56.5,135,908,III,74,0.052,,0.381,0.395,0.018
SKODA,Octavia Hatch,1.9 TDI (90 bhp) ,M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,944,III,73,0.117,,0.369,0.403,0.029
SKODA,Octavia Estate,1.9 TDI (90 bhp),M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,944,III,73,0.117,,0.369,0.403,0.029
SKODA,Superb,1.9 TDI (100 bhp) ,M5,1896,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,151,1017,III,73,0.151,,0.41,0.434,0.029
SKODA,Superb,1.9 TDI (130 bhp) ,M5,1896,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1053,III,75,0.151,,0.382,0.412,0.036
SKODA,Superb,1.9 TDI (130 bhp),A5,1896,Diesel,10.1,5.6,7.2,28,50.4,39.2,194,1308,III,69,0.131,,0.412,0.44,0.032
smart,fortwo cabrio,Crossblade,A6,599,Petrol,6.2,5.3,5.7,45.6,53.3,49.6,136,990,III,71,0.523,0.144,0.069,,
SSANGYONG,Rexton,RX290 S Manual,M5,2874,Diesel,12.5,7.2,9.3,22.6,39.3,30.4,244,1687,III,74.1,0.66,,0.47,0.52,0.09
SSANGYONG,Rexton,RX290 SE Manual,M5,2874,Diesel,12.5,7.2,9.3,22.6,39.3,30.4,244,1687,III,74.1,0.66,,0.47,0.52,0.09
SSANGYONG,Rexton,RX290 SE Auto,A4,2874,Diesel,15,9.3,11.3,18.8,30.4,25,302,2051,III,73.3,0.94,,0.57,0.68,0.09
SSANGYONG,Rexton,RX290 S Auto,A4,2874,Diesel,15,9.3,11.3,18.8,30.4,25,302,2051,III,73.3,0.94,,0.57,0.68,0.09
SSANGYONG,Rexton,RX320 SX Auto,A4,3199,Petrol,19.2,12.7,15,14.7,22.2,18.8,352,2612,III,71,0.96,0.11,0.05,,
SSANGYONG,Rexton,270 SE Manual,M5,2696,Diesel,10.7,7.4,8.6,26.4,38.2,32.9,228,1559,III,74.8,0.78,,0.58,0.64,0.06
SSANGYONG,Rexton,270 SE Auto,A5,2696,Diesel,11.8,8,9.4,23.9,35.3,30,250,1709,III,70.4,0.2,,0.63,0.66,0.06
SSANGYONG,Rexton,270 SX Manual,M5,2696,Diesel,10.9,7.7,8.9,25.9,36.7,31.7,237,1618,III,74.8,0.78,,0.58,0.64,0.06
SSANGYONG,Rexton,270 SX Auto,A5,2696,Diesel,12.6,8.4,9.9,22.4,33.6,28.5,266,1799,III,71.2,0.2,,0.63,0.66,0.06
SSANGYONG,Rodius,270 S Auto,A5,2696,Diesel,12,8.3,9.6,23.5,34,29.4,258,1744,III,70.4,0.26,,0.61,0.65,0.06
SSANGYONG,Rodius,270 S Manual,M5,2696,Diesel,10.7,7.3,8.6,26.4,38.7,32.8,229,1563,III,74.8,0.72,,0.52,0.57,0.08
SSANGYONG,Rodius,270 SE Auto,A5,2696,Diesel,12.4,8.6,9.9,22.3,32.9,28.5,267,1799,III,70.3,0.28,,0.61,0.66,0.08
SSANGYONG,Rodius,270 SE Manual,M5,2696,Diesel,11,7.2,8.6,25.7,39.2,32.9,230,1559,III,73.5,0.69,,0.58,0.69,0.07
SSANGYONG,Rodius,270 SX Auto 4 x 4,A5,2696,Diesel,12.5,8.4,9.9,22.6,33.6,28.5,264,1799,III,70.9,0.3,,0.62,0.68,0.06
SSANGYONG,Sports Pickup,2.9 TD Manual,M5,2874,Diesel,13,8.6,10.2,21.7,32.8,27.7,275,1851,III,76.5,0.88,,0.69,0.78,0.09
SSANGYONG,Sports Pickup,2.9 TD Auto,A4,2874,Diesel,12.9,9.2,10.5,21.9,30.7,26.9,282,1906,III,70.5,0.39,,0.47,0.52,0.08
SSANGYONG,Kyron,2.0 S (4WD) Manual ,M5,1998,Diesel,9.9,6.3,7.7,28.5,44.8,36.7,197,1397,III,74.4,0.27,,0.48,0.51,0.07
SSANGYONG,Kyron,2.0 S (2WD) Manual ,M5,1998,Diesel,9.9,6.3,7.7,28.5,44.8,36.7,197,1397,III,74.4,0.27,,0.48,0.51,0.07
SSANGYONG,Kyron,2.0 SE (4WD) Manual ,M5,1998,Diesel,9.9,6.3,7.7,28.5,44.8,36.7,197,1397,III,74.4,0.27,,0.48,0.51,0.07
SSANGYONG,Kyron,2.0 SE (4WD) Auto ,A5,1998,Diesel,10.6,7.1,8.4,26.7,39.8,33.6,217,1526,III,72.2,0.11,,0.63,0.64,0.08
SSANGYONG,Kyron,2.0 SX (4WD) Auto ,A5,1998,Diesel,10.6,7.1,8.4,26.7,39.8,33.6,217,1526,III,72.2,0.11,,0.63,0.64,0.08
SSANGYONG,Kyron,2.0 S (4WD) Auto ,A5,1998,Diesel,10.6,7.1,8.4,26.7,39.8,33.6,217,1526,III,72.2,0.11,,0.63,0.64,0.08
SUBARU,Impreza (2005 Model Year),2.0 GX Sport AWD 4/5 Door,M5,1994,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,206,1497,III,71.3,1.598,0.109,0.024,0.133,
SUBARU,Impreza (2005 Model Year),2.0 GX Sport AWD 4/5 Door,A4,1994,Petrol,11.9,6.4,8.4,23.7,44.1,33.6,201,1461,III,69.7,0.534,0.12,0.046,0.166,
SUBARU,Impreza (2005 Model Year),2.0 WRX AWD 4/5 Door ,M5,1994,Petrol,12.7,7.1,9.2,22.2,39.8,30.7,219,1599,III,70,1.356,0.103,0.035,0.138,
SUBARU,Impreza (2005 Model Year),2.0 WRX STi AWD 4 Door,M6,1994,Petrol,15.5,8.5,11.1,18.2,33.2,25.4,265,1933,III,71.5,1.38,0.084,0.049,0.133,
SUBARU,Forester (2005 Model Year),2.0 AWD 5 Door,M5,1994,Petrol,11.5,6.8,8.5,24.6,41.5,33.2,204,1479,III,71.9,0.96,0.09,0.04,0.13,
SUBARU,Forester (2005 Model Year),2.0 AWD 5 Door,A4,1994,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,1461,III,70,0.6,0.12,0.03,0.15,
SUBARU,Forester (2005 Model Year),2.0 AWD Turbo 5 Door,M5,1994,Petrol,13.1,7.7,9.7,21.6,36.7,29.1,232,1687,III,71.9,0.96,0.11,0.04,0.15,
SUBARU,Forester (2005 Model Year),2.0 AWD Turbo 5 Door,A4,1994,Petrol,13.4,7.4,9.6,21.1,38.2,29.4,230,1670,III,71.4,0.98,0.1,0.02,0.12,
SUBARU,Forester (2005 Model Year),2.5 AWD Turbo 5 Door,M5,2457,Petrol,15,8.7,11,18.8,32.5,25.7,261,1910,III,71.2,1.13,0.07,0.03,0.1,
SUBARU,Legacy (2005 Model Year),2.0 AWD Saloon,M5,1994,Petrol,10.5,6,7.6,26.9,47.1,37.2,182,1320,III,71.2,0.598,0.118,0.032,0.15,
SUBARU,Legacy (2005 Model Year),2.0 AWD Saloon,A4,1994,Petrol,10.4,5.9,7.5,27.2,47.9,37.7,178,1302,III,69.8,0.844,0.127,0.054,0.181,
SUBARU,Legacy (2005 Model Year),2.0 AWD Sports Tourer,M5,1994,Petrol,10.6,6.1,7.7,26.7,46.3,36.7,183,1338,III,71.2,0.598,0.118,0.032,0.15,
SUBARU,Legacy (2005 Model Year),2.0 AWD Sports Tourer,A4,1994,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,183,1338,III,69.8,0.844,0.127,0.054,0.181,
TOYOTA,Avensis,Verso 2.0 D-4D,M5,1995,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,173,1179,III,73.7,0.04,,0.43,0.43,0.034
TOYOTA,Previa,2.0 D-4D,M5,1995,Diesel,9,6.1,7.2,31.4,46.3,39.2,191,1308,III,73.9,0.12,,0.42,0.43,0.024
TOYOTA,MR2,1.8 VVT-i,M6,1794,Petrol,10.1,5.9,7.4,28,47.9,38.2,178,1285,III,72,1.01,0.06,0.01,,
TOYOTA,Celica,1.8 VVT-i,M6,1794,Petrol,10.3,6.2,7.7,27.4,45.6,36.7,185,1338,III,73,1.22,0.13,0.03,,
TOYOTA,Celica,1.8 VVTL-i 190,M6,1796,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,1461,III,72,1.23,0.1,0.04,,
TOYOTA,RAV4,2.0 D-4D 3 door,M5,1995,Diesel,8.9,6.1,7.1,31.7,46.3,39.8,190,1288,III,72.9,0.08,,0.44,0.44,0.036
TOYOTA,Land Cruiser,3.0 D-4D 3-door,M6x2,2982,Diesel,11,7.9,9,25.7,35.8,31.4,242,1633,III,73.6,0.32,,0.38,0.43,0.061
TOYOTA,Land Cruiser,3.0 D-4D 5-door,M6x2,2982,Diesel,11.1,7.9,9.1,25.4,35.8,31,244,1654,III,73.6,0.32,,0.38,0.43,0.061
TOYOTA,Land Cruiser,3.0 D-4D 5-door,A5x2,2982,Diesel,11.6,7.5,9,24.4,37.7,31.4,243,1633,III,71,0.07,,0.47,0.47,0.055
TOYOTA,Land Cruiser,4.0 VVT-i V6,A5x2,3956,Petrol,17.7,10.2,12.7,16,27.7,22.2,305,2212,III,73,0.63,0.1,0.01,,
TOYOTA,Land Cruiser,Amazon 4.2 24v TD,M5x2,4164,Diesel,14.1,9.3,11.1,20,30.4,25.4,292,2019,III,75.2,0.62,,0.58,0.62,0.078
TOYOTA,Land Cruiser,Amazon 4.2 24v TD,A5x2,4164,Diesel,13.4,9,10.6,21.1,31.4,26.6,282,1928,III,72.7,0.37,,0.61,0.64,0.07
TOYOTA,Land Cruiser,Amazon 4.7i V8,A5x2,4664,Petrol,21.5,13.4,16.3,13.1,21.1,17.3,387,2838,III,72.2,2,0.16,0.09,,
VAUXHALL,"Combo, MY2005",1.3CDTi 16v 2000 6 Door Crew Van,M5,1248,Diesel,6.5,4.3,5.1,43.5,65.7,55.4,138,926,III,72,0.17,,0.428,0.444,0.023
VAUXHALL,"Meriva, MY2005",1.7DI 16v 5 Door MPV,M5,1686,Diesel,6.9,4.5,5.4,40.9,62.7,52.3,146,980,III,73,0.416,,0.394,0.436,0.028
VAUXHALL,"Signum, MY2005","2.0DTi 16v 5 Door Hatchback with 16""/17"" tyre",M5,1995,Diesel,7.9,4.8,5.9,35.7,58.8,47.8,159,1073,III,71,0.244,,0.32,0.342,0.036
VAUXHALL,"Signum, MY2005","2.0DTi 16v 5 Door Hatchback with 19"" tyre",M5,1995,Diesel,8,4.9,6,35.3,57.6,47,162,1091,III,71,0.244,,0.32,0.342,0.036
VAUXHALL,"Signum, MY2005",3.0CDTi V6 24v 5 Door Hatchback,M6,2959,Diesel,10.1,5.7,7.3,27.9,49.5,38.6,197,1328,III,73,0.111,,0.432,0.477,0.031
VAUXHALL,"Signum, MY2005",3.0CDTi V6 24v 5 Door Hatchback,A5,2959,Diesel,11,5.8,7.7,25.6,48.7,36.6,208,1401,III,73,0.091,,0.344,0.372,0.031
VAUXHALL,"Vectra, MY2005",2.0DTi 16v 4 Door Saloon,M5,1995,Diesel,7.6,4.5,5.6,37.1,62.7,50.4,151,1017,III,73,0.221,,0.417,0.437,0.027
VAUXHALL,"Vectra, MY2005",2.0DTi 16v 5 Door Hatchback,M5,1995,Diesel,7.6,4.5,5.6,37.1,62.7,50.4,151,1017,III,73,0.221,,0.417,0.437,0.027
VAUXHALL,"Vectra, MY2005",2.0DTi 16v 5 Door Estate,M5,1995,Diesel,7.9,4.8,5.9,35.7,58.8,47.8,159,1073,III,71,0.244,,0.32,0.342,0.036
VAUXHALL,"Vectra, MY2005",3.0CDTi V6 24v 4 Door Saloon,A5,2959,Diesel,10.8,5.6,7.5,26.1,50.4,37.6,203,1364,III,74,0.091,,0.344,0.372,0.031
VAUXHALL,"Vectra, MY2005",3.0CDTi V6 24v 5 Door Hatchback,M6,2959,Diesel,9.9,5.5,7.1,28.5,51.3,39.7,192,1292,III,73,0.111,,0.432,0.477,0.031
VAUXHALL,"Vectra, MY2005",3.0CDTi V6 24v 5 Door Hatchback,A5,2959,Diesel,10.8,5.6,7.5,26.1,50.4,37.6,203,1364,III,74,0.091,,0.344,0.372,0.031
VAUXHALL,"Vectra, MY2005",3.0CDTi V6 24v 5 Door Estate,M6,2959,Diesel,10.1,5.7,7.3,27.9,49.5,38.6,197,1328,III,73,0.111,,0.432,0.477,0.031
VAUXHALL,"Vectra, MY2005",3.0CDTi V6 24v 5 Door Estate,A5,2959,Diesel,11,5.8,7.7,25.6,48.7,36.6,208,1401,III,73,0.091,,0.344,0.372,0.031
VAUXHALL,"Zafira, MY2005",2.0DTi 16v 5 Door MPV,M5,1995,Diesel,8,5.3,6.3,35.3,53.2,44.8,169,1145,IV,72,0.15,,0.414,0.442,0.024
VAUXHALL,"Zafira, MY2005",2.0DTi 16v 5 Door MPV From VIN: W0L0TGF7552012682,A4,1995,Diesel,9.5,6,7.3,29.7,47,38.6,196,1328,IV,71,0.074,,0.356,0.366,0.041
VAUXHALL,"Zafira, MY2005",2.0DTi 16v 5 Door MPV From VIN: W0L0TGF7552094366,A4,1995,Diesel,9.5,6,7.3,29.7,47,38.6,196,1328,IV,73,0.074,,0.356,0.366,0.041
VAUXHALL,"New Zafira, MY2005",1.9CDTi 120PS 5 Door MPV,M6,1910,Diesel,7.7,5.2,6.1,36.6,54.3,46.3,165,1108,III,74,0.056,,0.161,0.183,0.042
VAUXHALL,"New Zafira, MY2005",1.9CDTi 150PS 5 Door MPV,M6,1910,Diesel,7.8,5.3,6.2,36.2,53.2,45.5,167,1127,III,73,0.035,,0.283,0.301,0.022
