Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,145 Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.1,6.5,8.2,25.4,43.5,34.4,195,634,II,74.0,0.980,0.278,0.000,0.000,0.000
ALFA ROMEO,145 Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,649,II,74.0,1.105,0.305,0.000,0.000,0.000
ALFA ROMEO,145 Range,Cloverleaf,M5,1970,Petrol,12.4,6.6,8.8,22.8,42.8,32.1,210,680,II,74.0,1.103,0.287,0.000,0.000,0.000
ALFA ROMEO,146 Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.3,6.6,8.3,25.0,42.8,34.0,195,642,II,73.0,0.980,0.278,0.000,0.000,0.000
ALFA ROMEO,146 Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,649,II,74.0,1.105,0.305,0.000,0.000,0.000
ALFA ROMEO,146 Range,Ti,M5,1970,Petrol,12.4,6.6,8.8,22.8,42.8,32.1,210,680,II,74.0,1.103,0.287,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,634,II,74.0,0.919,0.186,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,634,II,74.0,1.069,0.299,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,2.0 Twin Spark 16v,M5,1970,Petrol,11.7,6.6,8.5,24.1,42.8,33.2,202,657,II,73.5,1.078,0.286,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,2.0 Selespeed,SAT5,1970,Petrol,11.7,6.6,8.5,24.1,42.8,33.2,202,657,II,73.5,1.078,0.286,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,2.5 V6,M6,2492,Petrol,16.5,8.4,11.4,17.1,33.6,24.8,271,880,II,74.0,1.200,0.301,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,921,II,71.0,1.570,0.296,0.000,0.000,0.000
ALFA ROMEO,156 Saloon Range,2.4 JTD,M5,2387,Diesel,8.9,5.4,6.7,31.7,52.3,42.2,178,530,II,74.0,0.666,0.573,0.000,0.000,0.062
ALFA ROMEO,156 Sportwagon Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,198,642,II,74.0,1.097,0.329,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.7,6.4,8.4,24.1,44.1,33.6,199,649,II,74.0,0.848,0.194,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,2.0 Twin Spark 16v,M5,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,209,680,II,73.5,1.444,0.412,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,2.0 Selespeed,SAT5,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,209,680,II,73.5,1.296,0.376,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,2.5 V6,M6,2492,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,280,905,II,74.0,1.518,0.312,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,2.5 V6 Q-System,A4,2492,Petrol,17.7,8.7,12.0,16.0,32.5,23.5,287,929,II,71.0,1.267,0.349,0.000,0.000,0.000
ALFA ROMEO,156 Sportwagon Range,2.4 JTD,M5,2387,Diesel,9.0,5.6,6.8,31.4,50.4,41.5,180,539,II,74.0,0.894,0.648,0.000,0.000,0.056
ALFA ROMEO,166 Range,2.0 Twin Spark 16v,M5,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,230,750,II,73.5,1.171,0.288,0.000,0.000,0.000
ALFA ROMEO,166 Range,2.5 V6 24v,M5,2492,Petrol,16.3,8.6,11.4,17.3,32.8,24.8,271,880,II,73.0,1.170,0.293,0.000,0.000,0.000
ALFA ROMEO,166 Range,2.5 V6 24v Sportronic,A4,2492,Petrol,17.5,9.1,12.2,16.1,31.0,23.2,289,941,II,72.0,1.177,0.271,0.000,0.000,0.000
ALFA ROMEO,166 Range,3.0 V6 24v Super,M6,2959,Petrol,18.3,9.1,12.5,15.4,31.0,22.6,296,966,II,74.0,1.214,0.288,0.000,0.000,0.000
ALFA ROMEO,166 Range,3.0 V6 24v Sportronic,A4,2959,Petrol,19.4,9.3,13.0,14.6,30.4,21.7,308,1006,II,72.0,1.220,0.268,0.000,0.000,0.000
ALFA ROMEO,Spider/GTV,Spider/GTV 2.0 Twin Spark 16v,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,711,II,74.0,1.292,0.295,0.000,0.000,0.000
ALFA ROMEO,Spider/GTV,GTV V6 24v,M5,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,905,II,75.0,1.222,0.284,0.000,0.000,0.000
ALFA ROMEO,Spider/GTV,GTV V6 24v,M6,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,905,II,74.0,1.256,0.294,0.000,0.000,0.000
CHEVROLET,Camaro STS Model Year 2000,3.8L V6 A pack Coupé/ Convertible,A4,3800,Petrol,16.5,8.8,11.7,17.1,32.0,24.1,275,905,II,74.0,1.423,0.216,0.000,0.000,0.000
CHEVROLET,Camaro STS Model Year 2000,3.8L V6 B pack Coupé/ Convertible,A4,3800,Petrol,17.2,9.6,12.4,16.4,29.4,22.7,294,961,II,74.0,0.540,0.292,0.000,0.000,0.000
